ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18538001,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Paul,Terry,ATT,24
18538002,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Paul,Terry,YDS,110
18538003,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Paul,Terry,TD,0
18538004,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Paul,Terry,LONG,14
18538005,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Wyatt,Strand,ATT,26
18538006,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Wyatt,Strand,YDS,103
18538007,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Wyatt,Strand,TD,2
18538008,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Wyatt,Strand,LONG,33
18538009,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Darryl,Wiggins,ATT,4
18538010,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Darryl,Wiggins,YDS,31
18538011,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Darryl,Wiggins,TD,0
18538012,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Darryl,Wiggins,LONG,15
18538013,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,V,Walker,ATT,1
18538014,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,V,Walker,YDS,15
18538015,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,V,Walker,TD,1
18538016,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,V,Walker,LONG,15
18538017,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Tyreick,Branch,ATT,2
18538018,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Tyreick,Branch,YDS,11
18538019,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Tyreick,Branch,TD,0
18538020,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Tyreick,Branch,LONG,10
18538021,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Currie,Thomason,ATT,1
18538022,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Currie,Thomason,YDS,6
18538023,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Currie,Thomason,TD,0
18538024,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Currie,Thomason,LONG,6
18538025,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Johnny,Smith,ATT,7
18538026,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Johnny,Smith,YDS,5
18538027,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Johnny,Smith,TD,0
18538028,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,Johnny,Smith,LONG,7
18538029,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,J,Manyweather,ATT,1
18538030,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,J,Manyweather,YDS,1
18538031,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,J,Manyweather,TD,0
18538032,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,J,Manyweather,LONG,1
18538033,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,M,Askew-betts,ATT,1
18538034,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,M,Askew-betts,YDS,1
18538035,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,M,Askew-betts,TD,0
18538036,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RUSHING,M,Askew-betts,LONG,1
18538037,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PASSING,Wyatt,Strand,CP-ATT-INT,5-15-0
18538038,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PASSING,Wyatt,Strand,YDS,48
18538039,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PASSING,Wyatt,Strand,TD,0
18538040,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PASSING,Wyatt,Strand,LONG,22
18538041,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Johnny,Smith,REC,2
18538042,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Johnny,Smith,YDS,33
18538043,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Johnny,Smith,TD,0
18538044,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Johnny,Smith,LONG,22
18538045,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Zachery,Fields,REC,1
18538046,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Zachery,Fields,YDS,9
18538047,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Zachery,Fields,TD,0
18538048,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Zachery,Fields,LONG,9
18538049,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Darryl,Wiggins,REC,1
18538050,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Darryl,Wiggins,YDS,3
18538051,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Darryl,Wiggins,TD,0
18538052,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Darryl,Wiggins,LONG,3
18538053,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Paul,Terry,REC,1
18538054,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Paul,Terry,YDS,3
18538055,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Paul,Terry,TD,0
18538056,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,RECEIVING,Paul,Terry,LONG,3
18538057,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PUNTING,Tyler,Vargas,NO,5
18538058,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PUNTING,Tyler,Vargas,YDS,179
18538059,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PUNTING,Tyler,Vargas,AVG,35.8
18538060,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,PUNTING,Tyler,Vargas,LONG,45
18538061,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Dylan,Tucker,NO,1
18538062,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Dylan,Tucker,YDS,17
18538063,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Dylan,Tucker,AVG,17.0
18538064,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Dylan,Tucker,LONG,17
18538065,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Johnny,Smith,NO,2
18538066,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Johnny,Smith,YDS,45
18538067,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Johnny,Smith,AVG,22.5
18538068,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Johnny,Smith,LONG,34
18538069,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,J,Manyweather,NO,2
18538070,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,J,Manyweather,YDS,8
18538071,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,J,Manyweather,AVG,4.0
18538072,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,J,Manyweather,LONG,6
18538073,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Ricky,Barfield,NO,1
18538074,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Ricky,Barfield,YDS,2
18538075,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Ricky,Barfield,AVG,2.0
18538076,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,KICK RETURNS,Ricky,Barfield,LONG,0
18538077,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,TOT,2
18538078,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,SOLO,
18538079,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,SACKS,2
18538080,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,TFL,
18538081,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,INT,
18538082,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,FF,
18538083,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,De'john,Burns,FR,1
18538084,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,TOT,9
18538085,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,SOLO,
18538086,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,SACKS,6
18538087,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,TFL,1
18538088,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,INT,
18538089,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,FF,
18538090,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Charles,Countee,FR,
18538091,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,TOT,1
18538092,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,SOLO,
18538093,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,SACKS,0
18538094,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,TFL,
18538095,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,INT,
18538096,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,FF,
18538097,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Roope,Henry,FR,
18538098,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,TOT,1
18538099,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,SOLO,
18538100,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,SACKS,1
18538101,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,TFL,
18538102,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,INT,
18538103,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,FF,
18538104,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Dexter,Carter,FR,
18538105,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,TOT,3
18538106,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,SOLO,
18538107,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,SACKS,2
18538108,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,TFL,
18538109,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,INT,
18538110,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,FF,
18538111,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Lamontre,Huval,FR,1
18538112,9/21/2019,D-II,Eastern N.M.,Tex. A&M-Commerce,DEFENSE,Malik,Goss,TOT,1
