ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18569001,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,J,Epperson,ATT,15
18569002,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,J,Epperson,YDS,47
18569003,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,J,Epperson,TD,1
18569004,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,J,Epperson,LONG,7
18569005,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,Z,Masoli,ATT,5
18569006,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,Z,Masoli,YDS,24
18569007,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,Z,Masoli,TD,1
18569008,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,Z,Masoli,LONG,12
18569009,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,D,Addo,ATT,4
18569010,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,D,Addo,YDS,2
18569011,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,D,Addo,TD,0
18569012,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,D,Addo,LONG,4
18569013,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,K,Saddler,ATT,1
18569014,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,K,Saddler,YDS,0
18569015,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,K,Saddler,TD,0
18569016,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,K,Saddler,LONG,0
18569017,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,,Team,ATT,4
18569018,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,,Team,YDS,-12
18569019,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,,Team,TD,0
18569020,9/26/2019,D-II,Augustana (SD),Sioux Falls,RUSHING,,Team,LONG,0
18569021,9/26/2019,D-II,Augustana (SD),Sioux Falls,PASSING,K,Saddler,CP-ATT-INT,6-22-0
18569022,9/26/2019,D-II,Augustana (SD),Sioux Falls,PASSING,K,Saddler,YDS,78
18569023,9/26/2019,D-II,Augustana (SD),Sioux Falls,PASSING,K,Saddler,TD,0
18569024,9/26/2019,D-II,Augustana (SD),Sioux Falls,PASSING,K,Saddler,LONG,23
18569025,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Epperson,REC,2
18569026,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Epperson,YDS,39
18569027,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Epperson,TD,0
18569028,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Epperson,LONG,23
18569029,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,L,Uttecht,REC,1
18569030,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,L,Uttecht,YDS,13
18569031,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,L,Uttecht,TD,0
18569032,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,L,Uttecht,LONG,13
18569033,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,N,Meyers,REC,1
18569034,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,N,Meyers,YDS,9
18569035,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,N,Meyers,TD,0
18569036,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,N,Meyers,LONG,9
18569037,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,A,Karmazyn,REC,1
18569038,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,A,Karmazyn,YDS,9
18569039,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,A,Karmazyn,TD,0
18569040,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,A,Karmazyn,LONG,9
18569041,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Welsheimer,REC,1
18569042,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Welsheimer,YDS,8
18569043,9/26/2019,D-II,Augustana (SD),Sioux Falls,RECEIVING,J,Welsheimer,TD,0
