ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18636001,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Querale,Hall,ATT,11
18636002,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Querale,Hall,YDS,60
18636003,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Querale,Hall,TD,0
18636004,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Querale,Hall,LONG,20
18636005,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Logan,Moragne,ATT,9
18636006,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Logan,Moragne,YDS,36
18636007,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Logan,Moragne,TD,1
18636008,9/28/2019,D-II,Henderson St.,Harding,RUSHING,Logan,Moragne,LONG,31
18636009,9/28/2019,D-II,Henderson St.,Harding,PASSING,R,Stammetti,CP-ATT-INT,12-27-2
18636010,9/28/2019,D-II,Henderson St.,Harding,PASSING,R,Stammetti,YDS,139
18636011,9/28/2019,D-II,Henderson St.,Harding,PASSING,R,Stammetti,TD,0
18636012,9/28/2019,D-II,Henderson St.,Harding,PASSING,R,Stammetti,LONG,28
18636013,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,L'liott,Curry,REC,5
18636014,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,L'liott,Curry,YDS,76
18636015,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,L'liott,Curry,TD,0
18636016,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,L'liott,Curry,LONG,28
18636017,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Logan,Moragne,REC,3
18636018,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Logan,Moragne,YDS,23
18636019,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Logan,Moragne,TD,0
18636020,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Logan,Moragne,LONG,14
18636021,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Chase,Lodree,REC,2
18636022,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Chase,Lodree,YDS,21
18636023,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Chase,Lodree,TD,0
18636024,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Chase,Lodree,LONG,21
18636025,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Doug,Johnson,REC,1
18636026,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Doug,Johnson,YDS,11
18636027,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Doug,Johnson,TD,0
18636028,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,Doug,Johnson,LONG,11
18636029,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,R,Frederiksen,REC,1
18636030,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,R,Frederiksen,YDS,8
18636031,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,R,Frederiksen,TD,0
18636032,9/28/2019,D-II,Henderson St.,Harding,RECEIVING,R,Frederiksen,LONG,8
18636033,9/28/2019,D-II,Henderson St.,Harding,PUNTING,Tristan,Heaton,NO,5
18636034,9/28/2019,D-II,Henderson St.,Harding,PUNTING,Tristan,Heaton,YDS,209
18636035,9/28/2019,D-II,Henderson St.,Harding,PUNTING,Tristan,Heaton,AVG,41.8
