ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18578001,9/28/2019,D-II,St. Anselm,Pace,RUSHING,,Team,ATT,18
18578002,9/28/2019,D-II,St. Anselm,Pace,RUSHING,,Team,YDS,49
18578003,9/28/2019,D-II,St. Anselm,Pace,RUSHING,,Team,TD,0
18578004,9/28/2019,D-II,St. Anselm,Pace,RUSHING,,Team,LONG,11
18578005,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Vincent,Wagner,ATT,6
18578006,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Vincent,Wagner,YDS,39
18578007,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Vincent,Wagner,TD,0
18578008,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Vincent,Wagner,LONG,21
18578009,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Charles,Elliott,ATT,4
18578010,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Charles,Elliott,YDS,17
18578011,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Charles,Elliott,TD,0
18578012,9/28/2019,D-II,St. Anselm,Pace,RUSHING,Charles,Elliott,LONG,6
18578013,9/28/2019,D-II,St. Anselm,Pace,RUSHING,E,Fairweather,ATT,13
18578014,9/28/2019,D-II,St. Anselm,Pace,RUSHING,E,Fairweather,YDS,14
18578015,9/28/2019,D-II,St. Anselm,Pace,RUSHING,E,Fairweather,TD,1
18578016,9/28/2019,D-II,St. Anselm,Pace,RUSHING,E,Fairweather,LONG,9
18578017,9/28/2019,D-II,St. Anselm,Pace,RUSHING,N,Fiorillo,ATT,1
18578018,9/28/2019,D-II,St. Anselm,Pace,RUSHING,N,Fiorillo,YDS,2
18578019,9/28/2019,D-II,St. Anselm,Pace,RUSHING,N,Fiorillo,TD,1
18578020,9/28/2019,D-II,St. Anselm,Pace,RUSHING,N,Fiorillo,LONG,2
18578021,9/28/2019,D-II,St. Anselm,Pace,PASSING,E,Fairweather,CP-ATT-INT,21-45-4
18578022,9/28/2019,D-II,St. Anselm,Pace,PASSING,E,Fairweather,YDS,196
18578023,9/28/2019,D-II,St. Anselm,Pace,PASSING,E,Fairweather,TD,1
18578024,9/28/2019,D-II,St. Anselm,Pace,PASSING,E,Fairweather,LONG,18
18578025,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,N,Fiorillo,REC,8
18578026,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,N,Fiorillo,YDS,64
18578027,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,N,Fiorillo,TD,0
18578028,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,N,Fiorillo,LONG,11
18578029,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Shawn,Donovan,REC,5
18578030,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Shawn,Donovan,YDS,45
18578031,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Shawn,Donovan,TD,0
18578032,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Shawn,Donovan,LONG,15
18578033,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Anthony,Brown,REC,2
18578034,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Anthony,Brown,YDS,29
18578035,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Anthony,Brown,TD,0
18578036,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Anthony,Brown,LONG,18
18578037,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Charles,Elliott,REC,3
18578038,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Charles,Elliott,YDS,27
18578039,9/28/2019,D-II,St. Anselm,Pace,RECEIVING,Charles,Elliott,TD,1
