ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
18588001,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dylan,Lucas,ATT,16
18588002,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dylan,Lucas,YDS,63
18588003,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dylan,Lucas,TD,0
18588004,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dylan,Lucas,LONG,26
18588005,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Donovan,Riddick,ATT,2
18588006,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Donovan,Riddick,YDS,28
18588007,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Donovan,Riddick,TD,1
18588008,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Donovan,Riddick,LONG,26
18588009,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Keedrick,Cunnin,ATT,2
18588010,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Keedrick,Cunnin,YDS,17
18588011,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Keedrick,Cunnin,TD,0
18588012,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Keedrick,Cunnin,LONG,15
18588013,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Taylor,Carter,ATT,3
18588014,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Taylor,Carter,YDS,13
18588015,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Taylor,Carter,TD,0
18588016,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Taylor,Carter,LONG,8
18588017,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dant'e,Jones,ATT,1
18588018,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dant'e,Jones,YDS,9
18588019,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dant'e,Jones,TD,0
18588020,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Dant'e,Jones,LONG,9
18588021,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Austin,Hensley,ATT,2
18588022,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Austin,Hensley,YDS,7
18588023,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Austin,Hensley,TD,0
18588024,9/28/2019,D-II,West Virginia St.,Concord,RUSHING,Austin,Hensley,LONG,6
18588025,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Austin,Hensley,CP-ATT-INT,11-25-2
18588026,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Austin,Hensley,YDS,168
18588027,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Austin,Hensley,TD,2
18588028,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Austin,Hensley,LONG,49
18588029,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Donovan,Riddick,CP-ATT-INT,1-1-0
18588030,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Donovan,Riddick,YDS,21
18588031,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Donovan,Riddick,TD,1
18588032,9/28/2019,D-II,West Virginia St.,Concord,PASSING,Donovan,Riddick,LONG,21
