ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19854001,10/11/2013,D-III,Methodist,Averett,RUSHING,Vaughn,Cross,ATT,1
19854002,10/11/2013,D-III,Methodist,Averett,RUSHING,Vaughn,Cross,YDS,0
19854003,10/11/2013,D-III,Methodist,Averett,RUSHING,Vaughn,Cross,TD,0
19854004,10/11/2013,D-III,Methodist,Averett,RUSHING,Vaughn,Cross,LONG,0
19854005,10/11/2013,D-III,Methodist,Averett,RUSHING,Max,Reber,ATT,15
19854006,10/11/2013,D-III,Methodist,Averett,RUSHING,Max,Reber,YDS,107
19854007,10/11/2013,D-III,Methodist,Averett,RUSHING,Max,Reber,TD,0
19854008,10/11/2013,D-III,Methodist,Averett,RUSHING,Max,Reber,LONG,25
19854009,10/11/2013,D-III,Methodist,Averett,RUSHING,Jordan,Vann,ATT,3
19854010,10/11/2013,D-III,Methodist,Averett,RUSHING,Jordan,Vann,YDS,1
19854011,10/11/2013,D-III,Methodist,Averett,RUSHING,Jordan,Vann,TD,1
19854012,10/11/2013,D-III,Methodist,Averett,RUSHING,Jordan,Vann,LONG,1
19854013,10/11/2013,D-III,Methodist,Averett,RUSHING,John,Papillion,ATT,8
19854014,10/11/2013,D-III,Methodist,Averett,RUSHING,John,Papillion,YDS,48
19854015,10/11/2013,D-III,Methodist,Averett,RUSHING,John,Papillion,TD,0
19854016,10/11/2013,D-III,Methodist,Averett,RUSHING,John,Papillion,LONG,28
19854017,10/11/2013,D-III,Methodist,Averett,RUSHING,Marquies,Hall,ATT,14
19854018,10/11/2013,D-III,Methodist,Averett,RUSHING,Marquies,Hall,YDS,142
19854019,10/11/2013,D-III,Methodist,Averett,RUSHING,Marquies,Hall,TD,2
19854020,10/11/2013,D-III,Methodist,Averett,RUSHING,Marquies,Hall,LONG,47
19854021,10/11/2013,D-III,Methodist,Averett,RUSHING,Darius,Page,ATT,21
19854022,10/11/2013,D-III,Methodist,Averett,RUSHING,Darius,Page,YDS,114
19854023,10/11/2013,D-III,Methodist,Averett,RUSHING,Darius,Page,TD,1
19854024,10/11/2013,D-III,Methodist,Averett,RUSHING,Darius,Page,LONG,11
19854025,10/11/2013,D-III,Methodist,Averett,PASSING,Max,Reber,CP-ATT-INT,12-17-0
19854026,10/11/2013,D-III,Methodist,Averett,PASSING,Max,Reber,YDS,145
19854027,10/11/2013,D-III,Methodist,Averett,PASSING,Max,Reber,TD,2
19854028,10/11/2013,D-III,Methodist,Averett,PASSING,Max,Reber,LONG,55
19854029,10/11/2013,D-III,Methodist,Averett,RECEIVING,Blake,Scott,REC,1
19854030,10/11/2013,D-III,Methodist,Averett,RECEIVING,Blake,Scott,YDS,55
19854031,10/11/2013,D-III,Methodist,Averett,RECEIVING,Blake,Scott,TD,1
19854032,10/11/2013,D-III,Methodist,Averett,RECEIVING,Blake,Scott,LONG,55
19854033,10/11/2013,D-III,Methodist,Averett,RECEIVING,Vaughn,Cross,REC,5
19854034,10/11/2013,D-III,Methodist,Averett,RECEIVING,Vaughn,Cross,YDS,30
19854035,10/11/2013,D-III,Methodist,Averett,RECEIVING,Vaughn,Cross,TD,1
19854036,10/11/2013,D-III,Methodist,Averett,RECEIVING,Vaughn,Cross,LONG,9
19854037,10/11/2013,D-III,Methodist,Averett,RECEIVING,Patrick,Jacobs,REC,4
19854038,10/11/2013,D-III,Methodist,Averett,RECEIVING,Patrick,Jacobs,YDS,33
19854039,10/11/2013,D-III,Methodist,Averett,RECEIVING,Patrick,Jacobs,TD,0
19854040,10/11/2013,D-III,Methodist,Averett,RECEIVING,Patrick,Jacobs,LONG,12
19854041,10/11/2013,D-III,Methodist,Averett,RECEIVING,Devonte,Watkins,REC,1
19854042,10/11/2013,D-III,Methodist,Averett,RECEIVING,Devonte,Watkins,YDS,-1
19854043,10/11/2013,D-III,Methodist,Averett,RECEIVING,Devonte,Watkins,TD,0
19854044,10/11/2013,D-III,Methodist,Averett,RECEIVING,Devonte,Watkins,LONG,8
19854045,10/11/2013,D-III,Methodist,Averett,RECEIVING,Anthondy,Radke,REC,1
19854046,10/11/2013,D-III,Methodist,Averett,RECEIVING,Anthondy,Radke,YDS,28
19854047,10/11/2013,D-III,Methodist,Averett,RECEIVING,Anthondy,Radke,TD,0
19854048,10/11/2013,D-III,Methodist,Averett,RECEIVING,Anthondy,Radke,LONG,28
19854049,10/11/2013,D-III,Methodist,Averett,PUNTING,Max,Reber,NO,2
19854050,10/11/2013,D-III,Methodist,Averett,PUNTING,Max,Reber,YDS,58
