ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19932001,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Bobby,Brown,ATT,10
19932002,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Bobby,Brown,YDS,-15
19932003,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Bobby,Brown,TD,1
19932004,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Bobby,Brown,LONG,10
19932005,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Cody,Cole,ATT,16
19932006,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Cody,Cole,YDS,53
19932007,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Cody,Cole,TD,0
19932008,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Cody,Cole,LONG,24
19932009,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Dylan,Barrett,ATT,16
19932010,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Dylan,Barrett,YDS,70
19932011,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Dylan,Barrett,TD,0
19932012,10/18/2013,D-III,Buena Vista,Central (Iowa),RUSHING,Dylan,Barrett,LONG,24
19932013,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,Bobby,Brown,CP-ATT-INT,19-38-1
19932014,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,Bobby,Brown,YDS,289
19932015,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,Bobby,Brown,TD,0
19932016,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,Bobby,Brown,LONG,50
19932017,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,,Team,CP-ATT-INT,0-1-0
19932018,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,,Team,YDS,0
19932019,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,,Team,TD,0
19932020,10/18/2013,D-III,Buena Vista,Central (Iowa),PASSING,,Team,LONG,0
19932021,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,J,Henningsen,REC,4
19932022,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,J,Henningsen,YDS,35
19932023,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,J,Henningsen,TD,0
19932024,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,J,Henningsen,LONG,12
19932025,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Gunner,Gilland,REC,2
19932026,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Gunner,Gilland,YDS,27
19932027,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Gunner,Gilland,TD,0
19932028,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Gunner,Gilland,LONG,16
19932029,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,C,Cottingham,REC,3
19932030,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,C,Cottingham,YDS,37
19932031,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,C,Cottingham,TD,0
19932032,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,C,Cottingham,LONG,23
19932033,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Adam,Cave,REC,6
19932034,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Adam,Cave,YDS,99
19932035,10/18/2013,D-III,Buena Vista,Central (Iowa),RECEIVING,Adam,Cave,TD,0
