ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20049001,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Cameron,Griffin,ATT,16
20049002,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Cameron,Griffin,YDS,36
20049003,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Cameron,Griffin,TD,0
20049004,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Cameron,Griffin,LONG,8
20049005,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Steven,Kohr,ATT,6
20049006,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Steven,Kohr,YDS,3
20049007,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Steven,Kohr,TD,1
20049008,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Steven,Kohr,LONG,3
20049009,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Trey,Reynolds,ATT,15
20049010,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Trey,Reynolds,YDS,81
20049011,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Trey,Reynolds,TD,0
20049012,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Trey,Reynolds,LONG,16
20049013,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Caleb,Cunha,ATT,5
20049014,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Caleb,Cunha,YDS,5
20049015,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Caleb,Cunha,TD,0
20049016,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Caleb,Cunha,LONG,3
20049017,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Nick,Gott,ATT,3
20049018,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Nick,Gott,YDS,8
20049019,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Nick,Gott,TD,0
20049020,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,Nick,Gott,LONG,4
20049021,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,,Team,ATT,1
20049022,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,,Team,YDS,-1
20049023,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,,Team,TD,0
20049024,10/25/2013,D-III,Claremont-M-S,Whittier,RUSHING,,Team,LONG,0
20049025,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Matthew,Bradley,CP-ATT-INT,0-1-0
20049026,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Matthew,Bradley,YDS,0
20049027,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Matthew,Bradley,TD,0
20049028,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Matthew,Bradley,LONG,0
20049029,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Trey,Reynolds,CP-ATT-INT,22-43-0
20049030,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Trey,Reynolds,YDS,239
20049031,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Trey,Reynolds,TD,5
20049032,10/25/2013,D-III,Claremont-M-S,Whittier,PASSING,Trey,Reynolds,LONG,46
20049033,10/25/2013,D-III,Claremont-M-S,Whittier,RECEIVING,Kris,Otterholt,REC,8
20049034,10/25/2013,D-III,Claremont-M-S,Whittier,RECEIVING,Kris,Otterholt,YDS,81
20049035,10/25/2013,D-III,Claremont-M-S,Whittier,RECEIVING,Kris,Otterholt,TD,2
