ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19709001,10/4/2013,D-III,Greenville,Crown,RUSHING,Carson,Guzman,ATT,5
19709002,10/4/2013,D-III,Greenville,Crown,RUSHING,Carson,Guzman,YDS,34
19709003,10/4/2013,D-III,Greenville,Crown,RUSHING,Carson,Guzman,TD,0
19709004,10/4/2013,D-III,Greenville,Crown,RUSHING,Carson,Guzman,LONG,10
19709005,10/4/2013,D-III,Greenville,Crown,RUSHING,B,Chambers,ATT,14
19709006,10/4/2013,D-III,Greenville,Crown,RUSHING,B,Chambers,YDS,130
19709007,10/4/2013,D-III,Greenville,Crown,RUSHING,B,Chambers,TD,1
19709008,10/4/2013,D-III,Greenville,Crown,RUSHING,B,Chambers,LONG,44
19709009,10/4/2013,D-III,Greenville,Crown,RUSHING,Jacob,Stull,ATT,18
19709010,10/4/2013,D-III,Greenville,Crown,RUSHING,Jacob,Stull,YDS,67
19709011,10/4/2013,D-III,Greenville,Crown,RUSHING,Jacob,Stull,TD,0
19709012,10/4/2013,D-III,Greenville,Crown,RUSHING,Jacob,Stull,LONG,16
19709013,10/4/2013,D-III,Greenville,Crown,RUSHING,Shawn,Mcknight,ATT,12
19709014,10/4/2013,D-III,Greenville,Crown,RUSHING,Shawn,Mcknight,YDS,72
19709015,10/4/2013,D-III,Greenville,Crown,RUSHING,Shawn,Mcknight,TD,1
19709016,10/4/2013,D-III,Greenville,Crown,RUSHING,Shawn,Mcknight,LONG,25
19709017,10/4/2013,D-III,Greenville,Crown,RUSHING,Z,Washington,ATT,4
19709018,10/4/2013,D-III,Greenville,Crown,RUSHING,Z,Washington,YDS,5
19709019,10/4/2013,D-III,Greenville,Crown,RUSHING,Z,Washington,TD,0
19709020,10/4/2013,D-III,Greenville,Crown,RUSHING,Z,Washington,LONG,2
19709021,10/4/2013,D-III,Greenville,Crown,PASSING,B,Chambers,CP-ATT-INT,11-19-0
19709022,10/4/2013,D-III,Greenville,Crown,PASSING,B,Chambers,YDS,169
19709023,10/4/2013,D-III,Greenville,Crown,PASSING,B,Chambers,TD,1
19709024,10/4/2013,D-III,Greenville,Crown,PASSING,B,Chambers,LONG,57
19709025,10/4/2013,D-III,Greenville,Crown,RECEIVING,Carson,Guzman,REC,1
19709026,10/4/2013,D-III,Greenville,Crown,RECEIVING,Carson,Guzman,YDS,5
19709027,10/4/2013,D-III,Greenville,Crown,RECEIVING,Carson,Guzman,TD,1
19709028,10/4/2013,D-III,Greenville,Crown,RECEIVING,Carson,Guzman,LONG,5
19709029,10/4/2013,D-III,Greenville,Crown,RECEIVING,Jacob,Stull,REC,1
19709030,10/4/2013,D-III,Greenville,Crown,RECEIVING,Jacob,Stull,YDS,6
19709031,10/4/2013,D-III,Greenville,Crown,RECEIVING,Jacob,Stull,TD,0
19709032,10/4/2013,D-III,Greenville,Crown,RECEIVING,Jacob,Stull,LONG,6
19709033,10/4/2013,D-III,Greenville,Crown,RECEIVING,Shawn,Mcknight,REC,4
19709034,10/4/2013,D-III,Greenville,Crown,RECEIVING,Shawn,Mcknight,YDS,34
19709035,10/4/2013,D-III,Greenville,Crown,RECEIVING,Shawn,Mcknight,TD,0
19709036,10/4/2013,D-III,Greenville,Crown,RECEIVING,Shawn,Mcknight,LONG,12
19709037,10/4/2013,D-III,Greenville,Crown,RECEIVING,Nicholas,Newton,REC,5
19709038,10/4/2013,D-III,Greenville,Crown,RECEIVING,Nicholas,Newton,YDS,124
19709039,10/4/2013,D-III,Greenville,Crown,RECEIVING,Nicholas,Newton,TD,0
19709040,10/4/2013,D-III,Greenville,Crown,RECEIVING,Nicholas,Newton,LONG,57
19709041,10/4/2013,D-III,Greenville,Crown,PUNTING,Josh,Frewin,NO,5
19709042,10/4/2013,D-III,Greenville,Crown,PUNTING,Josh,Frewin,YDS,179
