ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19790001,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Germany,Woods,ATT,9
19790002,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Germany,Woods,YDS,21
19790003,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Germany,Woods,TD,1
19790004,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Germany,Woods,LONG,5
19790005,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Mason,Minnich,ATT,8
19790006,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Mason,Minnich,YDS,39
19790007,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Mason,Minnich,TD,1
19790008,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Mason,Minnich,LONG,10
19790009,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Kevin,Burke,ATT,8
19790010,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Kevin,Burke,YDS,62
19790011,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Kevin,Burke,TD,0
19790012,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Kevin,Burke,LONG,18
19790013,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Taurice,Scott,ATT,2
19790014,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Taurice,Scott,YDS,99
19790015,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Taurice,Scott,TD,1
19790016,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Taurice,Scott,LONG,65
19790017,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Bj,Mitchell,ATT,7
19790018,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Bj,Mitchell,YDS,82
19790019,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Bj,Mitchell,TD,0
19790020,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Bj,Mitchell,LONG,30
19790021,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Logan,Nemeth,ATT,4
19790022,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Logan,Nemeth,YDS,24
19790023,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Logan,Nemeth,TD,0
19790024,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,Logan,Nemeth,LONG,13
19790025,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,,Team,ATT,3
19790026,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,,Team,YDS,-5
19790027,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,,Team,TD,0
19790028,10/4/2013,D-III,Mount Union,Ohio Northern,RUSHING,,Team,LONG,0
19790029,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Kevin,Burke,CP-ATT-INT,18-21-0
19790030,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Kevin,Burke,YDS,304
19790031,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Kevin,Burke,TD,4
19790032,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Kevin,Burke,LONG,46
19790033,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Taurice,Scott,CP-ATT-INT,1-1-0
19790034,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Taurice,Scott,YDS,5
19790035,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Taurice,Scott,TD,0
19790036,10/4/2013,D-III,Mount Union,Ohio Northern,PASSING,Taurice,Scott,LONG,5
19790037,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Luc,Meacham,REC,4
19790038,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Luc,Meacham,YDS,110
19790039,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Luc,Meacham,TD,0
19790040,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Luc,Meacham,LONG,46
19790041,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Mason,Minnich,REC,1
19790042,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Mason,Minnich,YDS,10
19790043,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Mason,Minnich,TD,0
19790044,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Mason,Minnich,LONG,10
19790045,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Brian,Gainer,REC,3
19790046,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Brian,Gainer,YDS,45
19790047,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Brian,Gainer,TD,1
19790048,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Brian,Gainer,LONG,17
19790049,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Tervel,Parrish,REC,1
19790050,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Tervel,Parrish,YDS,5
19790051,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Tervel,Parrish,TD,0
19790052,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Tervel,Parrish,LONG,5
19790053,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Jack,Nicholls,REC,7
19790054,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Jack,Nicholls,YDS,91
19790055,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Jack,Nicholls,TD,2
19790056,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Jack,Nicholls,LONG,21
19790057,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Lane,Clark,REC,2
19790058,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Lane,Clark,YDS,33
19790059,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Lane,Clark,TD,1
19790060,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,Lane,Clark,LONG,26
19790061,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,S,Wilkinson,REC,1
19790062,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,S,Wilkinson,YDS,15
19790063,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,S,Wilkinson,TD,0
19790064,10/4/2013,D-III,Mount Union,Ohio Northern,RECEIVING,S,Wilkinson,LONG,15
19790065,10/4/2013,D-III,Mount Union,Ohio Northern,PUNTING,Edward,Ruhnke,NO,2
19790066,10/4/2013,D-III,Mount Union,Ohio Northern,PUNTING,Edward,Ruhnke,YDS,81
19790067,10/4/2013,D-III,Mount Union,Ohio Northern,PUNTING,Edward,Ruhnke,AVG,40.5
19790068,10/4/2013,D-III,Mount Union,Ohio Northern,PUNTING,Edward,Ruhnke,LONG,47
19790069,10/4/2013,D-III,Mount Union,Ohio Northern,PUNT RETURNS,Luc,Meacham,NO,5
19790070,10/4/2013,D-III,Mount Union,Ohio Northern,PUNT RETURNS,Luc,Meacham,YDS,26
19790071,10/4/2013,D-III,Mount Union,Ohio Northern,PUNT RETURNS,Luc,Meacham,AVG,5.2
19790072,10/4/2013,D-III,Mount Union,Ohio Northern,PUNT RETURNS,Luc,Meacham,LONG,18
19790073,10/4/2013,D-III,Mount Union,Ohio Northern,KICK RETURNS,Marco,Collie,NO,2
19790074,10/4/2013,D-III,Mount Union,Ohio Northern,KICK RETURNS,Marco,Collie,YDS,47
19790075,10/4/2013,D-III,Mount Union,Ohio Northern,KICK RETURNS,Marco,Collie,AVG,23.5
19790076,10/4/2013,D-III,Mount Union,Ohio Northern,KICK RETURNS,Marco,Collie,LONG,31
19790077,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,William,Bodden,ATT,10
19790078,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,William,Bodden,YDS,32
19790079,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,William,Bodden,TD,1
19790080,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,William,Bodden,LONG,16
19790081,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Magazine,ATT,2
19790082,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Magazine,YDS,1
19790083,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Magazine,TD,0
19790084,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Magazine,LONG,1
19790085,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Patrick,Angle,ATT,10
19790086,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Patrick,Angle,YDS,5
19790087,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Patrick,Angle,TD,0
19790088,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Patrick,Angle,LONG,7
19790089,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Buenger,ATT,2
19790090,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Buenger,YDS,-2
19790091,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Buenger,TD,0
19790092,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Justin,Buenger,LONG,2
19790093,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Zach,Runzo,ATT,1
19790094,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Zach,Runzo,YDS,2
19790095,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Zach,Runzo,TD,0
19790096,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Zach,Runzo,LONG,2
19790097,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Tony,Davis,ATT,5
19790098,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Tony,Davis,YDS,16
19790099,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Tony,Davis,TD,0
19790100,10/4/2013,D-III,Ohio Northern,Mount Union,RUSHING,Tony,Davis,LONG,6
19790101,10/4/2013,D-III,Ohio Northern,Mount Union,PASSING,Patrick,Angle,CP-ATT-INT,17-29-1
19790102,10/4/2013,D-III,Ohio Northern,Mount Union,PASSING,Patrick,Angle,YDS,106
19790103,10/4/2013,D-III,Ohio Northern,Mount Union,PASSING,Patrick,Angle,TD,0
19790104,10/4/2013,D-III,Ohio Northern,Mount Union,PASSING,Patrick,Angle,LONG,18
19790105,10/4/2013,D-III,Ohio Northern,Mount Union,RECEIVING,Devon,Price,REC,6
19790106,10/4/2013,D-III,Ohio Northern,Mount Union,RECEIVING,Devon,Price,YDS,27
