ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20175001,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Q,Williams,ATT,1
20175002,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Q,Williams,YDS,-1
20175003,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Q,Williams,TD,0
20175004,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Q,Williams,LONG,0
20175005,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Ryan,Bonheyo,ATT,7
20175006,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Ryan,Bonheyo,YDS,41
20175007,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Ryan,Bonheyo,TD,1
20175008,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Ryan,Bonheyo,LONG,21
20175009,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Darius,Flowers,ATT,1
20175010,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Darius,Flowers,YDS,55
20175011,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Darius,Flowers,TD,0
20175012,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Darius,Flowers,LONG,55
20175013,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Todd,Bonheyo,ATT,16
20175014,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Todd,Bonheyo,YDS,58
20175015,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Todd,Bonheyo,TD,1
20175016,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Todd,Bonheyo,LONG,49
20175017,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Mike,Hantge,ATT,4
20175018,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Mike,Hantge,YDS,15
20175019,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Mike,Hantge,TD,0
20175020,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Mike,Hantge,LONG,7
20175021,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Chris,Papacek,ATT,3
20175022,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Chris,Papacek,YDS,13
20175023,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Chris,Papacek,TD,0
20175024,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Chris,Papacek,LONG,9
20175025,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Bj,Flores,ATT,19
20175026,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Bj,Flores,YDS,71
20175027,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Bj,Flores,TD,1
20175028,11/1/2013,D-III,Gallaudet,Becker,RUSHING,Bj,Flores,LONG,15
20175029,11/1/2013,D-III,Gallaudet,Becker,RUSHING,,Team,ATT,1
20175030,11/1/2013,D-III,Gallaudet,Becker,RUSHING,,Team,YDS,-2
20175031,11/1/2013,D-III,Gallaudet,Becker,RUSHING,,Team,TD,0
20175032,11/1/2013,D-III,Gallaudet,Becker,RUSHING,,Team,LONG,0
20175033,11/1/2013,D-III,Gallaudet,Becker,PASSING,Todd,Bonheyo,CP-ATT-INT,2-5-0
20175034,11/1/2013,D-III,Gallaudet,Becker,PASSING,Todd,Bonheyo,YDS,42
20175035,11/1/2013,D-III,Gallaudet,Becker,PASSING,Todd,Bonheyo,TD,1
20175036,11/1/2013,D-III,Gallaudet,Becker,PASSING,Todd,Bonheyo,LONG,36
20175037,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Darius,Flowers,REC,1
20175038,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Darius,Flowers,YDS,36
20175039,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Darius,Flowers,TD,0
20175040,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Darius,Flowers,LONG,36
20175041,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Bj,Flores,REC,1
20175042,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Bj,Flores,YDS,6
20175043,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Bj,Flores,TD,1
20175044,11/1/2013,D-III,Gallaudet,Becker,RECEIVING,Bj,Flores,LONG,6
20175045,11/1/2013,D-III,Gallaudet,Becker,PUNTING,Chase,Magsig,NO,8
20175046,11/1/2013,D-III,Gallaudet,Becker,PUNTING,Chase,Magsig,YDS,263
20175047,11/1/2013,D-III,Gallaudet,Becker,PUNTING,Chase,Magsig,AVG,32.9
20175048,11/1/2013,D-III,Gallaudet,Becker,PUNTING,Chase,Magsig,LONG,45
20175049,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,John,Anderson,NO,1
20175050,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,John,Anderson,YDS,7
20175051,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,John,Anderson,AVG,7.0
20175052,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,John,Anderson,LONG,7
20175053,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Ryan,Bonheyo,NO,2
20175054,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Ryan,Bonheyo,YDS,44
20175055,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Ryan,Bonheyo,AVG,22.0
20175056,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Ryan,Bonheyo,LONG,29
20175057,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Nicholas,Elstad,NO,3
20175058,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Nicholas,Elstad,YDS,35
20175059,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Nicholas,Elstad,AVG,11.7
20175060,11/1/2013,D-III,Gallaudet,Becker,KICK RETURNS,Nicholas,Elstad,LONG,15
20175061,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Dylan,Mcguire,ATT,7
20175062,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Dylan,Mcguire,YDS,-26
20175063,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Dylan,Mcguire,TD,0
20175064,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Dylan,Mcguire,LONG,9
20175065,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Capri,Corn,ATT,4
20175066,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Capri,Corn,YDS,9
20175067,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Capri,Corn,TD,0
20175068,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Capri,Corn,LONG,3
20175069,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Robert,Baker,ATT,5
20175070,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Robert,Baker,YDS,13
20175071,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Robert,Baker,TD,0
20175072,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Robert,Baker,LONG,14
20175073,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Matthew,Romasco,ATT,15
20175074,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Matthew,Romasco,YDS,98
20175075,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Matthew,Romasco,TD,1
20175076,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Matthew,Romasco,LONG,72
20175077,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Romario,Vincent,ATT,3
20175078,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Romario,Vincent,YDS,19
20175079,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Romario,Vincent,TD,0
20175080,11/1/2013,D-III,Becker,Gallaudet,RUSHING,Romario,Vincent,LONG,15
20175081,11/1/2013,D-III,Becker,Gallaudet,PASSING,Dylan,Mcguire,CP-ATT-INT,10-23-0
20175082,11/1/2013,D-III,Becker,Gallaudet,PASSING,Dylan,Mcguire,YDS,154
20175083,11/1/2013,D-III,Becker,Gallaudet,PASSING,Dylan,Mcguire,TD,2
