ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20472001,11/16/2013,D-III,Franklin,Hanover,RUSHING,Grant,Welp,ATT,1
20472002,11/16/2013,D-III,Franklin,Hanover,RUSHING,Grant,Welp,YDS,21
20472003,11/16/2013,D-III,Franklin,Hanover,RUSHING,Grant,Welp,TD,0
20472004,11/16/2013,D-III,Franklin,Hanover,RUSHING,Grant,Welp,LONG,21
20472005,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kole,Stogner,ATT,9
20472006,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kole,Stogner,YDS,39
20472007,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kole,Stogner,TD,2
20472008,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kole,Stogner,LONG,16
20472009,11/16/2013,D-III,Franklin,Hanover,RUSHING,Eli,Moore,ATT,1
20472010,11/16/2013,D-III,Franklin,Hanover,RUSHING,Eli,Moore,YDS,1
20472011,11/16/2013,D-III,Franklin,Hanover,RUSHING,Eli,Moore,TD,0
20472012,11/16/2013,D-III,Franklin,Hanover,RUSHING,Eli,Moore,LONG,1
20472013,11/16/2013,D-III,Franklin,Hanover,RUSHING,Jonny,West,ATT,10
20472014,11/16/2013,D-III,Franklin,Hanover,RUSHING,Jonny,West,YDS,58
20472015,11/16/2013,D-III,Franklin,Hanover,RUSHING,Jonny,West,TD,0
20472016,11/16/2013,D-III,Franklin,Hanover,RUSHING,Jonny,West,LONG,21
20472017,11/16/2013,D-III,Franklin,Hanover,RUSHING,Ty'ronte,Files,ATT,3
20472018,11/16/2013,D-III,Franklin,Hanover,RUSHING,Ty'ronte,Files,YDS,11
20472019,11/16/2013,D-III,Franklin,Hanover,RUSHING,Ty'ronte,Files,TD,0
20472020,11/16/2013,D-III,Franklin,Hanover,RUSHING,Ty'ronte,Files,LONG,7
20472021,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kyle,Holzbog,ATT,5
20472022,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kyle,Holzbog,YDS,15
20472023,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kyle,Holzbog,TD,0
20472024,11/16/2013,D-III,Franklin,Hanover,RUSHING,Kyle,Holzbog,LONG,5
20472025,11/16/2013,D-III,Franklin,Hanover,RUSHING,Sam,Otley,ATT,2
20472026,11/16/2013,D-III,Franklin,Hanover,RUSHING,Sam,Otley,YDS,1
20472027,11/16/2013,D-III,Franklin,Hanover,RUSHING,Sam,Otley,TD,1
20472028,11/16/2013,D-III,Franklin,Hanover,RUSHING,Sam,Otley,LONG,1
20472029,11/16/2013,D-III,Franklin,Hanover,RUSHING,Joey,Pasquale,ATT,8
20472030,11/16/2013,D-III,Franklin,Hanover,RUSHING,Joey,Pasquale,YDS,49
20472031,11/16/2013,D-III,Franklin,Hanover,RUSHING,Joey,Pasquale,TD,2
20472032,11/16/2013,D-III,Franklin,Hanover,RUSHING,Joey,Pasquale,LONG,17
20472033,11/16/2013,D-III,Franklin,Hanover,PASSING,Grant,Welp,CP-ATT-INT,2-4-0
20472034,11/16/2013,D-III,Franklin,Hanover,PASSING,Grant,Welp,YDS,25
20472035,11/16/2013,D-III,Franklin,Hanover,PASSING,Grant,Welp,TD,0
20472036,11/16/2013,D-III,Franklin,Hanover,PASSING,Grant,Welp,LONG,20
20472037,11/16/2013,D-III,Franklin,Hanover,PASSING,Jonny,West,CP-ATT-INT,33-46-1
20472038,11/16/2013,D-III,Franklin,Hanover,PASSING,Jonny,West,YDS,452
20472039,11/16/2013,D-III,Franklin,Hanover,PASSING,Jonny,West,TD,3
20472040,11/16/2013,D-III,Franklin,Hanover,PASSING,Jonny,West,LONG,48
20472041,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Michael,Maloian,REC,5
20472042,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Michael,Maloian,YDS,131
20472043,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Michael,Maloian,TD,2
20472044,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Michael,Maloian,LONG,48
20472045,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kendal,Butler,REC,4
20472046,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kendal,Butler,YDS,65
20472047,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kendal,Butler,TD,0
20472048,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kendal,Butler,LONG,42
20472049,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kole,Stogner,REC,4
20472050,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kole,Stogner,YDS,47
20472051,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kole,Stogner,TD,0
20472052,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kole,Stogner,LONG,17
20472053,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Linville,REC,6
20472054,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Linville,YDS,88
20472055,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Linville,TD,1
20472056,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Linville,LONG,44
20472057,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Tyler,Swallen,REC,1
20472058,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Tyler,Swallen,YDS,5
20472059,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Tyler,Swallen,TD,0
20472060,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Tyler,Swallen,LONG,5
20472061,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Jonny,Hession,REC,5
20472062,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Jonny,Hession,YDS,43
20472063,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Jonny,Hession,TD,0
20472064,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Jonny,Hession,LONG,17
20472065,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Ty'ronte,Files,REC,1
20472066,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Ty'ronte,Files,YDS,20
20472067,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Ty'ronte,Files,TD,0
20472068,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Ty'ronte,Files,LONG,20
20472069,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Holzbog,REC,1
20472070,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Holzbog,YDS,9
20472071,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Holzbog,TD,0
20472072,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Kyle,Holzbog,LONG,9
20472073,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Joey,Pasquale,REC,3
20472074,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Joey,Pasquale,YDS,24
20472075,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Joey,Pasquale,TD,0
20472076,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Joey,Pasquale,LONG,13
20472077,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Dylan,Jenney,REC,5
20472078,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Dylan,Jenney,YDS,45
20472079,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Dylan,Jenney,TD,0
20472080,11/16/2013,D-III,Franklin,Hanover,RECEIVING,Dylan,Jenney,LONG,17
20472081,11/16/2013,D-III,Franklin,Hanover,PUNTING,Michael,Parks,NO,1
20472082,11/16/2013,D-III,Franklin,Hanover,PUNTING,Michael,Parks,YDS,35
20472083,11/16/2013,D-III,Franklin,Hanover,PUNTING,Michael,Parks,AVG,
20472084,11/16/2013,D-III,Franklin,Hanover,PUNTING,Michael,Parks,LONG,35
20472085,11/16/2013,D-III,Franklin,Hanover,PUNT RETURNS,Zack,Corpe,NO,1
20472086,11/16/2013,D-III,Franklin,Hanover,PUNT RETURNS,Zack,Corpe,YDS,10
20472087,11/16/2013,D-III,Franklin,Hanover,PUNT RETURNS,Zack,Corpe,AVG,10.0
20472088,11/16/2013,D-III,Franklin,Hanover,PUNT RETURNS,Zack,Corpe,LONG,10
20472089,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Zack,Corpe,NO,2
20472090,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Zack,Corpe,YDS,28
20472091,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Zack,Corpe,AVG,14.0
20472092,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Zack,Corpe,LONG,19
20472093,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Sam,Otley,NO,1
20472094,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Sam,Otley,YDS,12
20472095,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Sam,Otley,AVG,12.0
20472096,11/16/2013,D-III,Franklin,Hanover,KICK RETURNS,Sam,Otley,LONG,12
20472097,11/16/2013,D-III,Hanover,Franklin,RUSHING,Dexter,Britt,ATT,20
20472098,11/16/2013,D-III,Hanover,Franklin,RUSHING,Dexter,Britt,YDS,89
20472099,11/16/2013,D-III,Hanover,Franklin,RUSHING,Dexter,Britt,TD,1
20472100,11/16/2013,D-III,Hanover,Franklin,RUSHING,Dexter,Britt,LONG,49
20472101,11/16/2013,D-III,Hanover,Franklin,RUSHING,Timothy,Sutton,ATT,8
20472102,11/16/2013,D-III,Hanover,Franklin,RUSHING,Timothy,Sutton,YDS,9
20472103,11/16/2013,D-III,Hanover,Franklin,RUSHING,Timothy,Sutton,TD,0
20472104,11/16/2013,D-III,Hanover,Franklin,RUSHING,Timothy,Sutton,LONG,5
20472105,11/16/2013,D-III,Hanover,Franklin,RUSHING,C,J.taylor,ATT,1
20472106,11/16/2013,D-III,Hanover,Franklin,RUSHING,C,J.taylor,YDS,5
20472107,11/16/2013,D-III,Hanover,Franklin,RUSHING,C,J.taylor,TD,0
20472108,11/16/2013,D-III,Hanover,Franklin,RUSHING,C,J.taylor,LONG,5
20472109,11/16/2013,D-III,Hanover,Franklin,RUSHING,,Team,ATT,1
20472110,11/16/2013,D-III,Hanover,Franklin,RUSHING,,Team,YDS,-2
20472111,11/16/2013,D-III,Hanover,Franklin,RUSHING,,Team,TD,0
20472112,11/16/2013,D-III,Hanover,Franklin,RUSHING,,Team,LONG,0
20472113,11/16/2013,D-III,Hanover,Franklin,PASSING,Dexter,Britt,CP-ATT-INT,20-39-1
20472114,11/16/2013,D-III,Hanover,Franklin,PASSING,Dexter,Britt,YDS,197
20472115,11/16/2013,D-III,Hanover,Franklin,PASSING,Dexter,Britt,TD,2
20472116,11/16/2013,D-III,Hanover,Franklin,PASSING,Dexter,Britt,LONG,46
20472117,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Dontre,Woodruff,REC,3
20472118,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Dontre,Woodruff,YDS,25
20472119,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Dontre,Woodruff,TD,0
20472120,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Dontre,Woodruff,LONG,14
20472121,11/16/2013,D-III,Hanover,Franklin,RECEIVING,L,Taylor,REC,6
20472122,11/16/2013,D-III,Hanover,Franklin,RECEIVING,L,Taylor,YDS,82
20472123,11/16/2013,D-III,Hanover,Franklin,RECEIVING,L,Taylor,TD,0
20472124,11/16/2013,D-III,Hanover,Franklin,RECEIVING,L,Taylor,LONG,46
20472125,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Ricky,Windell,REC,2
20472126,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Ricky,Windell,YDS,29
20472127,11/16/2013,D-III,Hanover,Franklin,RECEIVING,Ricky,Windell,TD,1
