ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19510001,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,ATT,10
19510002,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,YDS,28
19510003,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,TD,0
19510004,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,LONG,8
19510005,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Cody,Titus,ATT,1
19510006,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Cody,Titus,YDS,3
19510007,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Cody,Titus,TD,0
19510008,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Cody,Titus,LONG,3
19510009,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Mike,Delaney,ATT,14
19510010,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Mike,Delaney,YDS,11
19510011,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Mike,Delaney,TD,1
19510012,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,Mike,Delaney,LONG,6
19510013,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,ATT,6
19510014,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,YDS,4
19510015,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,TD,0
19510016,9/20/2013,D-III,Fitchburg State,Framingham St.,RUSHING,,Team,LONG,4
19510017,9/20/2013,D-III,Fitchburg State,Framingham St.,PASSING,,Team,CP-ATT-INT,15-28-0
19510018,9/20/2013,D-III,Fitchburg State,Framingham St.,PASSING,,Team,YDS,178
19510019,9/20/2013,D-III,Fitchburg State,Framingham St.,PASSING,,Team,TD,2
19510020,9/20/2013,D-III,Fitchburg State,Framingham St.,PASSING,,Team,LONG,49
19510021,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,REC,6
19510022,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,YDS,129
19510023,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,TD,1
19510024,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,LONG,49
19510025,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Ty,Spencer,REC,4
19510026,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Ty,Spencer,YDS,15
19510027,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Ty,Spencer,TD,0
19510028,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Ty,Spencer,LONG,7
19510029,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,REC,1
19510030,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,YDS,-2
19510031,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,TD,0
19510032,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,,Team,LONG,0
19510033,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Jesse,Lastra,REC,4
19510034,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Jesse,Lastra,YDS,36
19510035,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Jesse,Lastra,TD,1
19510036,9/20/2013,D-III,Fitchburg State,Framingham St.,RECEIVING,Jesse,Lastra,LONG,18
19510037,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,Eric,Anastasio,NO,4
19510038,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,Eric,Anastasio,YDS,145
19510039,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,Eric,Anastasio,AVG,36.2
19510040,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,Eric,Anastasio,LONG,50
19510041,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,,Team,NO,4
19510042,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,,Team,YDS,171
19510043,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,,Team,AVG,42.8
19510044,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNTING,,Team,LONG,47
19510045,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNT RETURNS,Taylor,Wrice,NO,1
19510046,9/20/2013,D-III,Fitchburg State,Framingham St.,PUNT RETURNS,Taylor,Wrice,YDS,-2
