ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19550001,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,D,Richardson,ATT,1
19550002,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,D,Richardson,YDS,-3
19550003,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,D,Richardson,TD,0
19550004,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,D,Richardson,LONG,0
19550005,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Justin,Neff,ATT,2
19550006,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Justin,Neff,YDS,-2
19550007,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Justin,Neff,TD,0
19550008,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Justin,Neff,LONG,4
19550009,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Drew,Ferguson,ATT,5
19550010,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Drew,Ferguson,YDS,-6
19550011,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Drew,Ferguson,TD,0
19550012,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Drew,Ferguson,LONG,8
19550013,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,C,Mcmillian,ATT,1
19550014,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,C,Mcmillian,YDS,-12
19550015,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,C,Mcmillian,TD,0
19550016,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,C,Mcmillian,LONG,0
19550017,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Andrew,Smith,ATT,15
19550018,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Andrew,Smith,YDS,78
19550019,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Andrew,Smith,TD,0
19550020,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Andrew,Smith,LONG,36
19550021,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Josh,Wells,ATT,1
19550022,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Josh,Wells,YDS,-1
19550023,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Josh,Wells,TD,0
19550024,9/20/2013,D-III,Shenandoah,Chris. Newport,RUSHING,Josh,Wells,LONG,0
19550025,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Justin,Neff,CP-ATT-INT,13-20-0
19550026,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Justin,Neff,YDS,138
19550027,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Justin,Neff,TD,1
19550028,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Justin,Neff,LONG,28
19550029,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Drew,Ferguson,CP-ATT-INT,8-17-1
19550030,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Drew,Ferguson,YDS,75
19550031,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Drew,Ferguson,TD,0
19550032,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Drew,Ferguson,LONG,22
19550033,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Andrew,Smith,CP-ATT-INT,0-0-0
19550034,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Andrew,Smith,YDS,0
19550035,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Andrew,Smith,TD,0
19550036,9/20/2013,D-III,Shenandoah,Chris. Newport,PASSING,Andrew,Smith,LONG,0
19550037,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Byron,Mitchell,REC,1
19550038,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Byron,Mitchell,YDS,28
19550039,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Byron,Mitchell,TD,0
19550040,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Byron,Mitchell,LONG,28
19550041,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Brandon,Adams,REC,4
19550042,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Brandon,Adams,YDS,38
19550043,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Brandon,Adams,TD,1
19550044,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Brandon,Adams,LONG,19
19550045,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Cedrick,Delaney,REC,4
19550046,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Cedrick,Delaney,YDS,29
19550047,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Cedrick,Delaney,TD,0
19550048,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Cedrick,Delaney,LONG,10
19550049,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Qlyl,Middeljin,REC,2
19550050,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Qlyl,Middeljin,YDS,12
19550051,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Qlyl,Middeljin,TD,0
19550052,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Qlyl,Middeljin,LONG,7
19550053,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Andrew,Smith,REC,2
19550054,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Andrew,Smith,YDS,13
19550055,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Andrew,Smith,TD,0
19550056,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Andrew,Smith,LONG,7
19550057,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,E,Eastwood,REC,1
19550058,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,E,Eastwood,YDS,17
19550059,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,E,Eastwood,TD,0
19550060,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,E,Eastwood,LONG,17
19550061,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,David,Bell,REC,3
19550062,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,David,Bell,YDS,17
19550063,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,David,Bell,TD,0
19550064,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,David,Bell,LONG,8
19550065,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Miles,Green,REC,4
19550066,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Miles,Green,YDS,59
19550067,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Miles,Green,TD,0
19550068,9/20/2013,D-III,Shenandoah,Chris. Newport,RECEIVING,Miles,Green,LONG,26
19550069,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNTING,Justin,Neff,NO,6
19550070,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNTING,Justin,Neff,YDS,171
19550071,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNTING,Justin,Neff,AVG,28.5
19550072,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNTING,Justin,Neff,LONG,35
19550073,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNT RETURNS,Brandon,Adams,NO,1
19550074,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNT RETURNS,Brandon,Adams,YDS,0
19550075,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNT RETURNS,Brandon,Adams,AVG,0.0
19550076,9/20/2013,D-III,Shenandoah,Chris. Newport,PUNT RETURNS,Brandon,Adams,LONG,0
19550077,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,D,Richardson,NO,3
19550078,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,D,Richardson,YDS,88
19550079,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,D,Richardson,AVG,29.3
19550080,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,D,Richardson,LONG,31
19550081,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,Andrew,Smith,NO,1
19550082,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,Andrew,Smith,YDS,48
19550083,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,Andrew,Smith,AVG,48.0
19550084,9/20/2013,D-III,Shenandoah,Chris. Newport,KICK RETURNS,Andrew,Smith,LONG,48
19550085,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Lyndon,Garner,ATT,3
19550086,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Lyndon,Garner,YDS,-5
19550087,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Lyndon,Garner,TD,0
19550088,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Lyndon,Garner,LONG,9
19550089,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Daquan,Davis,ATT,5
19550090,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Daquan,Davis,YDS,33
19550091,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Daquan,Davis,TD,1
19550092,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Daquan,Davis,LONG,13
19550093,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Marcus,Morrast,ATT,4
19550094,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Marcus,Morrast,YDS,25
19550095,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Marcus,Morrast,TD,0
19550096,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Marcus,Morrast,LONG,15
19550097,9/20/2013,D-III,Chris. Newport,Shenandoah,RUSHING,Storm,Parker,ATT,15
