ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
19340001,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jj,Hanus,ATT,10
19340002,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jj,Hanus,YDS,54
19340003,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jj,Hanus,TD,1
19340004,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jj,Hanus,LONG,12
19340005,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jake,Haberman,ATT,10
19340006,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jake,Haberman,YDS,64
19340007,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jake,Haberman,TD,1
19340008,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Jake,Haberman,LONG,29
19340009,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Taylor,Jacobsme,ATT,4
19340010,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Taylor,Jacobsme,YDS,58
19340011,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Taylor,Jacobsme,TD,2
19340012,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Taylor,Jacobsme,LONG,39
19340013,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Brandon,Domeyer,ATT,13
19340014,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Brandon,Domeyer,YDS,55
19340015,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Brandon,Domeyer,TD,1
19340016,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Brandon,Domeyer,LONG,17
19340017,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Connor,O'brien,ATT,3
19340018,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Connor,O'brien,YDS,29
19340019,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Connor,O'brien,TD,0
19340020,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Connor,O'brien,LONG,13
19340021,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Matt,Kastli,ATT,4
19340022,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Matt,Kastli,YDS,41
19340023,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Matt,Kastli,TD,0
19340024,9/6/2013,D-III,Wartburg,MacMurray,RUSHING,Matt,Kastli,LONG,16
