ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21318001,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Greg,Lee,ATT,18
21318002,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Greg,Lee,YDS,77
21318003,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Greg,Lee,TD,1
21318004,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Greg,Lee,LONG,22
21318005,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Michael,Iacono,ATT,15
21318006,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Michael,Iacono,YDS,28
21318007,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Michael,Iacono,TD,0
21318008,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Michael,Iacono,LONG,10
21318009,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Austin,Swenson,ATT,2
21318010,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Austin,Swenson,YDS,2
21318011,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Austin,Swenson,TD,0
21318012,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,Austin,Swenson,LONG,1
21318013,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,John,Henderson,ATT,1
21318014,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,John,Henderson,YDS,0
21318015,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,John,Henderson,TD,0
21318016,10/25/2014,D-III,Rose-Hulman,Franklin,RUSHING,John,Henderson,LONG,0
21318017,10/25/2014,D-III,Rose-Hulman,Franklin,PASSING,Austin,Swenson,CP-ATT-INT,29-43-3
21318018,10/25/2014,D-III,Rose-Hulman,Franklin,PASSING,Austin,Swenson,YDS,266
21318019,10/25/2014,D-III,Rose-Hulman,Franklin,PASSING,Austin,Swenson,TD,2
21318020,10/25/2014,D-III,Rose-Hulman,Franklin,PASSING,Austin,Swenson,LONG,19
21318021,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Aaron,Abbott,REC,13
21318022,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Aaron,Abbott,YDS,120
21318023,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Aaron,Abbott,TD,0
21318024,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Aaron,Abbott,LONG,19
21318025,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Alec,Fisher,REC,6
21318026,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Alec,Fisher,YDS,52
21318027,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Alec,Fisher,TD,1
21318028,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Alec,Fisher,LONG,15
21318029,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Joe,Moehrle,REC,5
21318030,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Joe,Moehrle,YDS,41
21318031,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Joe,Moehrle,TD,0
21318032,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Joe,Moehrle,LONG,13
21318033,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Zac,Erba,REC,2
21318034,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Zac,Erba,YDS,26
21318035,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Zac,Erba,TD,0
21318036,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Zac,Erba,LONG,17
21318037,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,S,Mitchell,REC,1
21318038,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,S,Mitchell,YDS,14
21318039,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,S,Mitchell,TD,0
21318040,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,S,Mitchell,LONG,14
21318041,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Michael,Iacono,REC,1
21318042,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Michael,Iacono,YDS,7
21318043,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Michael,Iacono,TD,1
21318044,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Michael,Iacono,LONG,7
21318045,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Greg,Lee,REC,1
21318046,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Greg,Lee,YDS,6
21318047,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Greg,Lee,TD,0
21318048,10/25/2014,D-III,Rose-Hulman,Franklin,RECEIVING,Greg,Lee,LONG,6
21318049,10/25/2014,D-III,Rose-Hulman,Franklin,PUNTING,Craig,Larew,NO,6
21318050,10/25/2014,D-III,Rose-Hulman,Franklin,PUNTING,Craig,Larew,YDS,238
21318051,10/25/2014,D-III,Rose-Hulman,Franklin,PUNTING,Craig,Larew,AVG,39.7
21318052,10/25/2014,D-III,Rose-Hulman,Franklin,PUNTING,Craig,Larew,LONG,47
21318053,10/25/2014,D-III,Rose-Hulman,Franklin,KICK RETURNS,John,Henderson,NO,3
21318054,10/25/2014,D-III,Rose-Hulman,Franklin,KICK RETURNS,John,Henderson,YDS,54
21318055,10/25/2014,D-III,Rose-Hulman,Franklin,KICK RETURNS,John,Henderson,AVG,18.0
21318056,10/25/2014,D-III,Rose-Hulman,Franklin,KICK RETURNS,John,Henderson,LONG,20
21318057,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Joey,Pasquale,ATT,19
21318058,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Joey,Pasquale,YDS,66
21318059,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Joey,Pasquale,TD,1
21318060,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Joey,Pasquale,LONG,10
21318061,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Grant,Welp,ATT,20
21318062,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Grant,Welp,YDS,49
21318063,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Grant,Welp,TD,2
21318064,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Grant,Welp,LONG,19
21318065,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Zach,Cole,ATT,1
21318066,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Zach,Cole,YDS,11
21318067,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Zach,Cole,TD,0
21318068,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Zach,Cole,LONG,11
21318069,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Kole,Stogner,ATT,1
21318070,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Kole,Stogner,YDS,3
21318071,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Kole,Stogner,TD,0
21318072,10/25/2014,D-III,Franklin,Rose-Hulman,RUSHING,Kole,Stogner,LONG,3
21318073,10/25/2014,D-III,Franklin,Rose-Hulman,PASSING,Grant,Welp,CP-ATT-INT,32-45-1
21318074,10/25/2014,D-III,Franklin,Rose-Hulman,PASSING,Grant,Welp,YDS,345
21318075,10/25/2014,D-III,Franklin,Rose-Hulman,PASSING,Grant,Welp,TD,3
21318076,10/25/2014,D-III,Franklin,Rose-Hulman,PASSING,Grant,Welp,LONG,47
21318077,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Zach,Cole,REC,9
21318078,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Zach,Cole,YDS,93
21318079,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Zach,Cole,TD,2
21318080,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Zach,Cole,LONG,32
21318081,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Kendal,Butler,REC,8
21318082,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Kendal,Butler,YDS,84
21318083,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Kendal,Butler,TD,0
21318084,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Kendal,Butler,LONG,47
21318085,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Joey,Pasquale,REC,6
21318086,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Joey,Pasquale,YDS,74
21318087,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Joey,Pasquale,TD,0
21318088,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Joey,Pasquale,LONG,44
21318089,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Jonny,Hession,REC,5
21318090,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Jonny,Hession,YDS,51
21318091,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Jonny,Hession,TD,1
21318092,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Jonny,Hession,LONG,15
21318093,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Mason,Deal,REC,4
21318094,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Mason,Deal,YDS,43
21318095,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Mason,Deal,TD,0
21318096,10/25/2014,D-III,Franklin,Rose-Hulman,RECEIVING,Mason,Deal,LONG,19
21318097,10/25/2014,D-III,Franklin,Rose-Hulman,PUNTING,Cody,Beeks,NO,5
21318098,10/25/2014,D-III,Franklin,Rose-Hulman,PUNTING,Cody,Beeks,YDS,156
21318099,10/25/2014,D-III,Franklin,Rose-Hulman,PUNTING,Cody,Beeks,AVG,31.2
21318100,10/25/2014,D-III,Franklin,Rose-Hulman,PUNTING,Cody,Beeks,LONG,57
21318101,10/25/2014,D-III,Franklin,Rose-Hulman,PUNT RETURNS,T,Christensen,NO,3
21318102,10/25/2014,D-III,Franklin,Rose-Hulman,PUNT RETURNS,T,Christensen,YDS,13
21318103,10/25/2014,D-III,Franklin,Rose-Hulman,PUNT RETURNS,T,Christensen,AVG,4.3
21318104,10/25/2014,D-III,Franklin,Rose-Hulman,PUNT RETURNS,T,Christensen,LONG,7
21318105,10/25/2014,D-III,Franklin,Rose-Hulman,KICK RETURNS,Kole,Stogner,NO,1
21318106,10/25/2014,D-III,Franklin,Rose-Hulman,KICK RETURNS,Kole,Stogner,YDS,31
21318107,10/25/2014,D-III,Franklin,Rose-Hulman,KICK RETURNS,Kole,Stogner,AVG,31.0
21318108,10/25/2014,D-III,Franklin,Rose-Hulman,KICK RETURNS,Kole,Stogner,LONG,31
