ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21049001,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,N,Isham,ATT,15
21049002,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,N,Isham,YDS,127
21049003,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,N,Isham,TD,1
21049004,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,N,Isham,LONG,25
21049005,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Johnson,ATT,23
21049006,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Johnson,YDS,55
21049007,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Johnson,TD,2
21049008,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Johnson,LONG,9
21049009,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,D,Rico,ATT,5
21049010,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,D,Rico,YDS,34
21049011,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,D,Rico,TD,0
21049012,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,D,Rico,LONG,10
21049013,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,deLeon,ATT,5
21049014,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,deLeon,YDS,33
21049015,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,deLeon,TD,1
21049016,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,deLeon,LONG,16
21049017,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Camacho,ATT,6
21049018,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Camacho,YDS,20
21049019,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Camacho,TD,0
21049020,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,R,Camacho,LONG,12
21049021,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,I,Seymour,ATT,4
21049022,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,I,Seymour,YDS,15
21049023,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,I,Seymour,TD,0
21049024,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,I,Seymour,LONG,5
21049025,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,E,Edinburgh,ATT,1
21049026,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,E,Edinburgh,YDS,5
21049027,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,E,Edinburgh,TD,0
21049028,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,E,Edinburgh,LONG,5
21049029,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,Curiel,ATT,1
21049030,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,Curiel,YDS,1
21049031,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,Curiel,TD,0
21049032,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,J,Curiel,LONG,1
21049033,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,,Team,ATT,2
21049034,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,,Team,YDS,-10
21049035,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,,Team,TD,0
21049036,10/4/2014,D-III,Cal Lutheran,Whittier,RUSHING,,Team,LONG,0
21049037,10/4/2014,D-III,Cal Lutheran,Whittier,PASSING,N,Isham,CP-ATT-INT,12-19-0
21049038,10/4/2014,D-III,Cal Lutheran,Whittier,PASSING,N,Isham,YDS,153
21049039,10/4/2014,D-III,Cal Lutheran,Whittier,PASSING,N,Isham,TD,1
21049040,10/4/2014,D-III,Cal Lutheran,Whittier,PASSING,N,Isham,LONG,29
