ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21009001,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Tommy,Michals,ATT,32
21009002,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Tommy,Michals,YDS,170
21009003,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Tommy,Michals,TD,1
21009004,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Tommy,Michals,LONG,15
21009005,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Josh,Dasch,ATT,1
21009006,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Josh,Dasch,YDS,3
21009007,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Josh,Dasch,TD,0
21009008,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Josh,Dasch,LONG,3
21009009,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Mark,Myers,ATT,1
21009010,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Mark,Myers,YDS,0
21009011,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Mark,Myers,TD,0
21009012,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,Mark,Myers,LONG,0
21009013,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,,Team,ATT,2
21009014,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,,Team,YDS,-3
21009015,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,,Team,TD,0
21009016,10/4/2014,D-III,John Carroll,Ohio Northern,RUSHING,,Team,LONG,0
21009017,10/4/2014,D-III,John Carroll,Ohio Northern,PASSING,Mark,Myers,CP-ATT-INT,23-37-0
21009018,10/4/2014,D-III,John Carroll,Ohio Northern,PASSING,Mark,Myers,YDS,275
21009019,10/4/2014,D-III,John Carroll,Ohio Northern,PASSING,Mark,Myers,TD,1
21009020,10/4/2014,D-III,John Carroll,Ohio Northern,PASSING,Mark,Myers,LONG,39
21009021,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,A,Greenwood,REC,9
21009022,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,A,Greenwood,YDS,138
21009023,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,A,Greenwood,TD,1
21009024,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,A,Greenwood,LONG,39
21009025,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Zach,Strippy,REC,3
21009026,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Zach,Strippy,YDS,60
21009027,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Zach,Strippy,TD,0
21009028,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Zach,Strippy,LONG,24
21009029,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Marshall,Howell,REC,3
21009030,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Marshall,Howell,YDS,48
21009031,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Marshall,Howell,TD,0
21009032,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Marshall,Howell,LONG,26
21009033,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Brian,Kornowski,REC,2
21009034,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Brian,Kornowski,YDS,20
21009035,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Brian,Kornowski,TD,0
21009036,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Brian,Kornowski,LONG,11
21009037,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Tommy,Michals,REC,4
21009038,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Tommy,Michals,YDS,7
21009039,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Tommy,Michals,TD,0
21009040,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Tommy,Michals,LONG,9
21009041,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,B,Carozzoni,REC,1
21009042,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,B,Carozzoni,YDS,2
21009043,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,B,Carozzoni,TD,0
21009044,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,B,Carozzoni,LONG,2
21009045,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Josh,Dasch,REC,1
21009046,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Josh,Dasch,YDS,0
21009047,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Josh,Dasch,TD,0
21009048,10/4/2014,D-III,John Carroll,Ohio Northern,RECEIVING,Josh,Dasch,LONG,0
21009049,10/4/2014,D-III,John Carroll,Ohio Northern,PUNTING,Kyle,Rodriguez,NO,4
21009050,10/4/2014,D-III,John Carroll,Ohio Northern,PUNTING,Kyle,Rodriguez,YDS,186
