ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21040001,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,R,Johnson,ATT,24
21040002,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,R,Johnson,YDS,98
21040003,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,R,Johnson,TD,1
21040004,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,R,Johnson,LONG,15
21040005,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Zak,Thrasher,ATT,6
21040006,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Zak,Thrasher,YDS,42
21040007,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Zak,Thrasher,TD,0
21040008,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Zak,Thrasher,LONG,12
21040009,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Chandler,Loy,ATT,2
21040010,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Chandler,Loy,YDS,8
21040011,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Chandler,Loy,TD,0
21040012,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Chandler,Loy,LONG,5
21040013,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Joe,Mcchrystal,ATT,5
21040014,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Joe,Mcchrystal,YDS,7
21040015,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Joe,Mcchrystal,TD,0
21040016,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Joe,Mcchrystal,LONG,9
21040017,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Rashad,Sims,ATT,1
21040018,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Rashad,Sims,YDS,-4
21040019,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Rashad,Sims,TD,0
21040020,10/4/2014,D-III,Millsaps,Hendrix,RUSHING,Rashad,Sims,LONG,0
21040021,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Zak,Thrasher,CP-ATT-INT,23-35-1
21040022,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Zak,Thrasher,YDS,305
21040023,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Zak,Thrasher,TD,3
21040024,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Zak,Thrasher,LONG,36
21040025,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Joe,Mcchrystal,CP-ATT-INT,6-8-0
21040026,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Joe,Mcchrystal,YDS,74
21040027,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Joe,Mcchrystal,TD,0
21040028,10/4/2014,D-III,Millsaps,Hendrix,PASSING,Joe,Mcchrystal,LONG,27
21040029,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,R,Johnson,REC,7
21040030,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,R,Johnson,YDS,95
21040031,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,R,Johnson,TD,1
21040032,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,R,Johnson,LONG,30
21040033,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Rashad,Sims,REC,4
21040034,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Rashad,Sims,YDS,85
21040035,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Rashad,Sims,TD,1
21040036,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Rashad,Sims,LONG,27
21040037,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Beau,Wells,REC,5
21040038,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Beau,Wells,YDS,60
21040039,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Beau,Wells,TD,0
21040040,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Beau,Wells,LONG,28
21040041,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Nick,Glover,REC,3
21040042,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Nick,Glover,YDS,56
21040043,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Nick,Glover,TD,1
21040044,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Nick,Glover,LONG,36
21040045,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Matt,Wahl,REC,4
21040046,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Matt,Wahl,YDS,41
21040047,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Matt,Wahl,TD,0
21040048,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Matt,Wahl,LONG,12
21040049,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Zachary,Borne,REC,3
21040050,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Zachary,Borne,YDS,22
21040051,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Zachary,Borne,TD,0
21040052,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Zachary,Borne,LONG,12
21040053,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Chandler,Loy,REC,1
21040054,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Chandler,Loy,YDS,12
21040055,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Chandler,Loy,TD,0
21040056,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Chandler,Loy,LONG,12
21040057,10/4/2014,D-III,Millsaps,Hendrix,RECEIVING,Trevor,King,REC,1
