ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21000001,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Jeremy,Simmons,ATT,14
21000002,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Jeremy,Simmons,YDS,82
21000003,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Jeremy,Simmons,TD,1
21000004,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Jeremy,Simmons,LONG,16
21000005,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Mason,Blaschke,ATT,11
21000006,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Mason,Blaschke,YDS,24
21000007,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Mason,Blaschke,TD,0
21000008,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Mason,Blaschke,LONG,18
21000009,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Travis,Williams,ATT,4
21000010,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Travis,Williams,YDS,21
21000011,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Travis,Williams,TD,0
21000012,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Travis,Williams,LONG,7
21000013,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Desmond,King,ATT,1
21000014,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Desmond,King,YDS,13
21000015,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Desmond,King,TD,0
21000016,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Desmond,King,LONG,13
21000017,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Robert,Broyles,ATT,3
21000018,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Robert,Broyles,YDS,6
21000019,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Robert,Broyles,TD,0
21000020,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,Robert,Broyles,LONG,16
21000021,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,,Team,ATT,1
21000022,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,,Team,YDS,-20
21000023,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,,Team,TD,0
21000024,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,RUSHING,,Team,LONG,0
21000025,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Robert,Broyles,CP-ATT-INT,8-18-1
21000026,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Robert,Broyles,YDS,145
21000027,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Robert,Broyles,TD,1
21000028,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Robert,Broyles,LONG,77
21000029,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Mason,Blaschke,CP-ATT-INT,9-22-1
21000030,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Mason,Blaschke,YDS,124
21000031,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Mason,Blaschke,TD,0
21000032,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Mason,Blaschke,LONG,34
21000033,10/4/2014,D-III,Trinity (Texas),Hardin-Simmons,PASSING,Leandrew,Gordon,CP-ATT-INT,0-1-0
