ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20746001,9/20/2014,D-III,Albright,Widener,RUSHING,D,Randall,ATT,9
20746002,9/20/2014,D-III,Albright,Widener,RUSHING,D,Randall,YDS,46
20746003,9/20/2014,D-III,Albright,Widener,RUSHING,D,Randall,TD,0
20746004,9/20/2014,D-III,Albright,Widener,RUSHING,D,Randall,LONG,21
20746005,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,ATT,5
20746006,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,YDS,23
20746007,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,TD,0
20746008,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,LONG,18
20746009,9/20/2014,D-III,Albright,Widener,RUSHING,B,Wickkiser,ATT,6
20746010,9/20/2014,D-III,Albright,Widener,RUSHING,B,Wickkiser,YDS,6
20746011,9/20/2014,D-III,Albright,Widener,RUSHING,B,Wickkiser,TD,1
20746012,9/20/2014,D-III,Albright,Widener,RUSHING,B,Wickkiser,LONG,3
20746013,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,ATT,5
20746014,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,YDS,3
20746015,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,TD,0
20746016,9/20/2014,D-III,Albright,Widener,RUSHING,,Team,LONG,7
20746017,9/20/2014,D-III,Albright,Widener,PASSING,,Team,CP-ATT-INT,25-36-0
20746018,9/20/2014,D-III,Albright,Widener,PASSING,,Team,YDS,265
20746019,9/20/2014,D-III,Albright,Widener,PASSING,,Team,TD,2
20746020,9/20/2014,D-III,Albright,Widener,PASSING,,Team,LONG,43
20746021,9/20/2014,D-III,Albright,Widener,RECEIVING,V,Williams,REC,8
20746022,9/20/2014,D-III,Albright,Widener,RECEIVING,V,Williams,YDS,135
20746023,9/20/2014,D-III,Albright,Widener,RECEIVING,V,Williams,TD,0
20746024,9/20/2014,D-III,Albright,Widener,RECEIVING,V,Williams,LONG,43
20746025,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,REC,5
20746026,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,YDS,44
20746027,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,TD,1
20746028,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,LONG,16
20746029,9/20/2014,D-III,Albright,Widener,RECEIVING,B,Wickkiser,REC,1
20746030,9/20/2014,D-III,Albright,Widener,RECEIVING,B,Wickkiser,YDS,21
20746031,9/20/2014,D-III,Albright,Widener,RECEIVING,B,Wickkiser,TD,0
20746032,9/20/2014,D-III,Albright,Widener,RECEIVING,B,Wickkiser,LONG,21
20746033,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,REC,2
20746034,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,YDS,12
20746035,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,TD,0
20746036,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,LONG,8
20746037,9/20/2014,D-III,Albright,Widener,RECEIVING,D,Randall,REC,1
20746038,9/20/2014,D-III,Albright,Widener,RECEIVING,D,Randall,YDS,6
20746039,9/20/2014,D-III,Albright,Widener,RECEIVING,D,Randall,TD,0
20746040,9/20/2014,D-III,Albright,Widener,RECEIVING,D,Randall,LONG,6
20746041,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,REC,1
20746042,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,YDS,5
20746043,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,TD,0
20746044,9/20/2014,D-III,Albright,Widener,RECEIVING,,Team,LONG,5
20746045,9/20/2014,D-III,Albright,Widener,PUNTING,,Team,NO,6
20746046,9/20/2014,D-III,Albright,Widener,PUNTING,,Team,YDS,188
20746047,9/20/2014,D-III,Albright,Widener,PUNTING,,Team,AVG,31.3
20746048,9/20/2014,D-III,Albright,Widener,PUNTING,,Team,LONG,46
