ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20773001,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,D,Jones,ATT,26
20773002,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,D,Jones,YDS,177
20773003,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,D,Jones,TD,3
20773004,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,D,Jones,LONG,42
20773005,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,ATT,6
20773006,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,YDS,79
20773007,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,TD,1
20773008,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,LONG,54
20773009,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,A,Jones,ATT,3
20773010,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,A,Jones,YDS,73
20773011,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,A,Jones,TD,1
20773012,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,A,Jones,LONG,53
20773013,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,ATT,12
20773014,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,YDS,66
20773015,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,TD,0
20773016,9/20/2014,D-III,Willamette,Cal Lutheran,RUSHING,,Team,LONG,12
20773017,9/20/2014,D-III,Willamette,Cal Lutheran,PASSING,,Team,CP-ATT-INT,9-17-2
20773018,9/20/2014,D-III,Willamette,Cal Lutheran,PASSING,,Team,YDS,76
20773019,9/20/2014,D-III,Willamette,Cal Lutheran,PASSING,,Team,TD,0
20773020,9/20/2014,D-III,Willamette,Cal Lutheran,PASSING,,Team,LONG,17
20773021,9/20/2014,D-III,Willamette,Cal Lutheran,RECEIVING,,Team,REC,4
20773022,9/20/2014,D-III,Willamette,Cal Lutheran,RECEIVING,,Team,YDS,32
20773023,9/20/2014,D-III,Willamette,Cal Lutheran,RECEIVING,,Team,TD,0
20773024,9/20/2014,D-III,Willamette,Cal Lutheran,RECEIVING,,Team,LONG,12
20773025,9/20/2014,D-III,Willamette,Cal Lutheran,RECEIVING,A,Jones,REC,2
20773026,9/20/2014,D-III,Willamette,Cal Lutheran,RECEIVING,A,Jones,YDS,28
