ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20867001,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Raheem,Jackson,ATT,11
20867002,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Raheem,Jackson,YDS,59
20867003,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Raheem,Jackson,TD,0
20867004,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Raheem,Jackson,LONG,27
20867005,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Kenny,Adinkra,ATT,9
20867006,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Kenny,Adinkra,YDS,31
20867007,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Kenny,Adinkra,TD,0
20867008,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Kenny,Adinkra,LONG,12
20867009,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Nick,Kelly,ATT,8
20867010,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Nick,Kelly,YDS,28
20867011,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Nick,Kelly,TD,0
20867012,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Nick,Kelly,LONG,20
20867013,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Gene,Garay,ATT,1
20867014,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Gene,Garay,YDS,18
20867015,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Gene,Garay,TD,1
20867016,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Gene,Garay,LONG,18
20867017,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Myles,Gaines,ATT,4
20867018,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Myles,Gaines,YDS,17
20867019,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Myles,Gaines,TD,0
20867020,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Myles,Gaines,LONG,12
20867021,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,J,Mcgonagle,ATT,1
20867022,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,J,Mcgonagle,YDS,14
20867023,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,J,Mcgonagle,TD,1
20867024,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,J,Mcgonagle,LONG,14
20867025,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Reece,Foy,ATT,3
20867026,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Reece,Foy,YDS,6
20867027,9/27/2014,D-III,Amherst,Bowdoin,RUSHING,Reece,Foy,TD,0
