ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20924001,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Nathan,Callaway,ATT,27
20924002,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Nathan,Callaway,YDS,163
20924003,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Nathan,Callaway,TD,1
20924004,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Nathan,Callaway,LONG,24
20924005,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Eric,Northey,ATT,10
20924006,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Eric,Northey,YDS,75
20924007,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Eric,Northey,TD,1
20924008,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Eric,Northey,LONG,39
20924009,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Samuel,Northey,ATT,5
20924010,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Samuel,Northey,YDS,58
20924011,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Samuel,Northey,TD,1
20924012,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Samuel,Northey,LONG,26
20924013,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Kevin,Tran,ATT,1
20924014,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Kevin,Tran,YDS,24
20924015,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Kevin,Tran,TD,0
20924016,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Kevin,Tran,LONG,24
20924017,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Jacob,Battaglia,ATT,3
20924018,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Jacob,Battaglia,YDS,10
20924019,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Jacob,Battaglia,TD,0
20924020,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,Jacob,Battaglia,LONG,15
20924021,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,,Team,ATT,2
20924022,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,,Team,YDS,-8
20924023,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,,Team,TD,0
20924024,9/27/2014,D-III,Greenville,Martin Luther,RUSHING,,Team,LONG,0
20924025,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Eric,Northey,CP-ATT-INT,5-16-1
20924026,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Eric,Northey,YDS,108
20924027,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Eric,Northey,TD,0
20924028,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Eric,Northey,LONG,47
20924029,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Jacob,Battaglia,CP-ATT-INT,0-2-0
20924030,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Jacob,Battaglia,YDS,0
20924031,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Jacob,Battaglia,TD,0
20924032,9/27/2014,D-III,Greenville,Martin Luther,PASSING,Jacob,Battaglia,LONG,0
20924033,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,M,Williams,REC,2
20924034,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,M,Williams,YDS,58
20924035,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,M,Williams,TD,0
20924036,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,M,Williams,LONG,47
20924037,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Samuel,Northey,REC,2
20924038,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Samuel,Northey,YDS,44
20924039,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Samuel,Northey,TD,0
20924040,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Samuel,Northey,LONG,25
20924041,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Nathan,Butler,REC,1
20924042,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Nathan,Butler,YDS,6
20924043,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Nathan,Butler,TD,0
20924044,9/27/2014,D-III,Greenville,Martin Luther,RECEIVING,Nathan,Butler,LONG,6
20924045,9/27/2014,D-III,Greenville,Martin Luther,PUNTING,Matt,Edler,NO,3
20924046,9/27/2014,D-III,Greenville,Martin Luther,PUNTING,Matt,Edler,YDS,105
20924047,9/27/2014,D-III,Greenville,Martin Luther,PUNTING,Matt,Edler,AVG,35.0
20924048,9/27/2014,D-III,Greenville,Martin Luther,PUNTING,Matt,Edler,LONG,38
20924049,9/27/2014,D-III,Greenville,Martin Luther,PUNT RETURNS,Jarrid,Williams,NO,1
20924050,9/27/2014,D-III,Greenville,Martin Luther,PUNT RETURNS,Jarrid,Williams,YDS,30
20924051,9/27/2014,D-III,Greenville,Martin Luther,PUNT RETURNS,Jarrid,Williams,AVG,30.0
20924052,9/27/2014,D-III,Greenville,Martin Luther,PUNT RETURNS,Jarrid,Williams,LONG,30
20924053,9/27/2014,D-III,Greenville,Martin Luther,KICK RETURNS,Jacob,Tibbetts,NO,2
20924054,9/27/2014,D-III,Greenville,Martin Luther,KICK RETURNS,Jacob,Tibbetts,YDS,45
