ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20628001,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,,Team,ATT,8
20628002,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,,Team,YDS,77
20628003,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,,Team,TD,0
20628004,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,,Team,LONG,26
20628005,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tom,Hehre,ATT,5
20628006,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tom,Hehre,YDS,24
20628007,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tom,Hehre,TD,1
20628008,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tom,Hehre,LONG,13
20628009,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Kyle,Mcgrath,ATT,8
20628010,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Kyle,Mcgrath,YDS,18
20628011,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Kyle,Mcgrath,TD,0
20628012,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Kyle,Mcgrath,LONG,11
20628013,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tyler,Hartranft,ATT,7
20628014,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tyler,Hartranft,YDS,16
20628015,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tyler,Hartranft,TD,0
20628016,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,Tyler,Hartranft,LONG,8
20628017,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,John,Harris,ATT,3
20628018,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,John,Harris,YDS,9
20628019,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,John,Harris,TD,0
20628020,9/6/2014,D-III,King's (Pa.),Moravian,RUSHING,John,Harris,LONG,3
20628021,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tyler,Hartranft,CP-ATT-INT,17-34-3
20628022,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tyler,Hartranft,YDS,195
20628023,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tyler,Hartranft,TD,1
20628024,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tyler,Hartranft,LONG,33
20628025,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tom,Hehre,CP-ATT-INT,2-4-0
20628026,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tom,Hehre,YDS,13
20628027,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tom,Hehre,TD,0
20628028,9/6/2014,D-III,King's (Pa.),Moravian,PASSING,Tom,Hehre,LONG,11
20628029,9/6/2014,D-III,King's (Pa.),Moravian,RECEIVING,Dan,Kempa,REC,5
20628030,9/6/2014,D-III,King's (Pa.),Moravian,RECEIVING,Dan,Kempa,YDS,65
