ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
20587001,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Tim,Wade,ATT,25
20587002,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Tim,Wade,YDS,58
20587003,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Tim,Wade,TD,1
20587004,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Tim,Wade,LONG,14
20587005,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Kris,Stern,ATT,5
20587006,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Kris,Stern,YDS,24
20587007,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Kris,Stern,TD,0
20587008,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Kris,Stern,LONG,16
20587009,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Ian,Richardson,ATT,5
20587010,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Ian,Richardson,YDS,22
20587011,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Ian,Richardson,TD,0
20587012,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Ian,Richardson,LONG,14
20587013,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Nick,Crusco,ATT,8
20587014,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Nick,Crusco,YDS,9
20587015,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Nick,Crusco,TD,0
20587016,9/6/2014,D-III,Susquehanna,Lycoming,RUSHING,Nick,Crusco,LONG,10
20587017,9/6/2014,D-III,Susquehanna,Lycoming,PASSING,Nick,Crusco,CP-ATT-INT,13-25-2
20587018,9/6/2014,D-III,Susquehanna,Lycoming,PASSING,Nick,Crusco,YDS,148
20587019,9/6/2014,D-III,Susquehanna,Lycoming,PASSING,Nick,Crusco,TD,1
20587020,9/6/2014,D-III,Susquehanna,Lycoming,PASSING,Nick,Crusco,LONG,39
20587021,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Denzell,Walker,REC,4
20587022,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Denzell,Walker,YDS,60
20587023,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Denzell,Walker,TD,0
20587024,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Denzell,Walker,LONG,22
20587025,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Will,Howell,REC,1
20587026,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Will,Howell,YDS,39
20587027,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Will,Howell,TD,0
20587028,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Will,Howell,LONG,39
20587029,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Pat,Murtha,REC,3
20587030,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Pat,Murtha,YDS,27
20587031,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Pat,Murtha,TD,0
20587032,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Pat,Murtha,LONG,21
20587033,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Tim,Wade,REC,2
20587034,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Tim,Wade,YDS,17
20587035,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Tim,Wade,TD,0
20587036,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Tim,Wade,LONG,13
20587037,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Connor,Decker,REC,3
20587038,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Connor,Decker,YDS,5
20587039,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Connor,Decker,TD,1
20587040,9/6/2014,D-III,Susquehanna,Lycoming,RECEIVING,Connor,Decker,LONG,3
20587041,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,S,Hotaling,NO,6
20587042,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,S,Hotaling,YDS,260
20587043,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,S,Hotaling,AVG,43.3
20587044,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,S,Hotaling,LONG,54
20587045,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,,Team,NO,1
20587046,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,,Team,YDS,0
20587047,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,,Team,AVG,0.0
20587048,9/6/2014,D-III,Susquehanna,Lycoming,PUNTING,,Team,LONG,0
20587049,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Tommy,Bluj,NO,6
20587050,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Tommy,Bluj,YDS,165
20587051,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Tommy,Bluj,AVG,27.5
20587052,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Tommy,Bluj,LONG,76
20587053,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Joe,Scaglia,NO,1
20587054,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Joe,Scaglia,YDS,11
20587055,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Joe,Scaglia,AVG,11.0
20587056,9/6/2014,D-III,Susquehanna,Lycoming,KICK RETURNS,Joe,Scaglia,LONG,11
20587057,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,C,Needhammer,ATT,23
20587058,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,C,Needhammer,YDS,111
20587059,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,C,Needhammer,TD,3
20587060,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,C,Needhammer,LONG,29
20587061,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Blake,Bowman,ATT,13
20587062,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Blake,Bowman,YDS,54
20587063,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Blake,Bowman,TD,1
20587064,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Blake,Bowman,LONG,10
20587065,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Joe,Pawlowski,ATT,2
20587066,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Joe,Pawlowski,YDS,9
20587067,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Joe,Pawlowski,TD,0
20587068,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Joe,Pawlowski,LONG,7
20587069,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Tyler,Jenny,ATT,2
20587070,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Tyler,Jenny,YDS,3
20587071,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Tyler,Jenny,TD,0
20587072,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,Tyler,Jenny,LONG,2
20587073,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,,Team,ATT,1
20587074,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,,Team,YDS,-39
20587075,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,,Team,TD,0
20587076,9/6/2014,D-III,Lycoming,Susquehanna,RUSHING,,Team,LONG,0
20587077,9/6/2014,D-III,Lycoming,Susquehanna,PASSING,Tyler,Jenny,CP-ATT-INT,15-25-0
20587078,9/6/2014,D-III,Lycoming,Susquehanna,PASSING,Tyler,Jenny,YDS,230
20587079,9/6/2014,D-III,Lycoming,Susquehanna,PASSING,Tyler,Jenny,TD,1
20587080,9/6/2014,D-III,Lycoming,Susquehanna,PASSING,Tyler,Jenny,LONG,35
20587081,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Ryan,Umpleby,REC,5
20587082,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Ryan,Umpleby,YDS,94
20587083,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Ryan,Umpleby,TD,1
20587084,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Ryan,Umpleby,LONG,35
20587085,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,John,Sibel,REC,4
20587086,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,John,Sibel,YDS,54
20587087,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,John,Sibel,TD,0
20587088,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,John,Sibel,LONG,19
20587089,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Cam,Kriner,REC,2
20587090,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Cam,Kriner,YDS,34
20587091,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Cam,Kriner,TD,0
20587092,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Cam,Kriner,LONG,17
20587093,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,J,Rosborough,REC,2
20587094,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,J,Rosborough,YDS,23
20587095,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,J,Rosborough,TD,0
20587096,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,J,Rosborough,LONG,16
20587097,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Blake,Bowman,REC,1
20587098,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Blake,Bowman,YDS,17
20587099,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Blake,Bowman,TD,0
20587100,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Blake,Bowman,LONG,17
20587101,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Tyler,Botchie,REC,1
20587102,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Tyler,Botchie,YDS,8
20587103,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Tyler,Botchie,TD,0
20587104,9/6/2014,D-III,Lycoming,Susquehanna,RECEIVING,Tyler,Botchie,LONG,8
20587105,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,John,Sibel,NO,1
20587106,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,John,Sibel,YDS,32
20587107,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,John,Sibel,AVG,32.0
20587108,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,John,Sibel,LONG,32
20587109,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,Joe,Bernardini,NO,3
20587110,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,Joe,Bernardini,YDS,97
20587111,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,Joe,Bernardini,AVG,32.3
20587112,9/6/2014,D-III,Lycoming,Susquehanna,PUNTING,Joe,Bernardini,LONG,37
20587113,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,John,Sibel,NO,0
20587114,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,John,Sibel,YDS,10
20587115,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,John,Sibel,AVG,-
20587116,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,John,Sibel,LONG,10
20587117,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Ryan,Umpleby,NO,3
20587118,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Ryan,Umpleby,YDS,28
20587119,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Ryan,Umpleby,AVG,9.3
20587120,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Ryan,Umpleby,LONG,12
20587121,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Phil,Schron,NO,1
20587122,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Phil,Schron,YDS,11
20587123,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Phil,Schron,AVG,11.0
20587124,9/6/2014,D-III,Lycoming,Susquehanna,PUNT RETURNS,Phil,Schron,LONG,0
20587125,9/6/2014,D-III,Lycoming,Susquehanna,KICK RETURNS,C,Needhammer,NO,2
20587126,9/6/2014,D-III,Lycoming,Susquehanna,KICK RETURNS,C,Needhammer,YDS,61
20587127,9/6/2014,D-III,Lycoming,Susquehanna,KICK RETURNS,C,Needhammer,AVG,30.5
20587128,9/6/2014,D-III,Lycoming,Susquehanna,KICK RETURNS,C,Needhammer,LONG,35
