ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22369001,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jordan,Ratliffe,ATT,19
22369002,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jordan,Ratliffe,YDS,81
22369003,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jordan,Ratliffe,TD,0
22369004,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jordan,Ratliffe,LONG,11
22369005,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jarrod,Ware,ATT,5
22369006,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jarrod,Ware,YDS,30
22369007,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jarrod,Ware,TD,0
22369008,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Jarrod,Ware,LONG,15
22369009,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Canton,Larson,ATT,1
22369010,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Canton,Larson,YDS,-1
22369011,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Canton,Larson,TD,0
22369012,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Canton,Larson,LONG,0
22369013,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,,Team,ATT,1
22369014,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,,Team,YDS,-1
22369015,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,,Team,TD,0
22369016,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,,Team,LONG,0
22369017,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Chris,Nelson,ATT,6
22369018,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Chris,Nelson,YDS,-33
22369019,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Chris,Nelson,TD,1
22369020,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RUSHING,Chris,Nelson,LONG,3
22369021,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PASSING,Chris,Nelson,CP-ATT-INT,20-26-0
22369022,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PASSING,Chris,Nelson,YDS,150
22369023,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PASSING,Chris,Nelson,TD,0
22369024,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PASSING,Chris,Nelson,LONG,15
22369025,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Marcus,Hudson,REC,6
22369026,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Marcus,Hudson,YDS,58
22369027,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Marcus,Hudson,TD,0
22369028,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Marcus,Hudson,LONG,15
22369029,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Joe,Worth,REC,6
22369030,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Joe,Worth,YDS,50
22369031,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Joe,Worth,TD,0
22369032,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Joe,Worth,LONG,14
22369033,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Tony,Gumina,REC,6
22369034,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Tony,Gumina,YDS,29
22369035,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Tony,Gumina,TD,0
22369036,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Tony,Gumina,LONG,12
22369037,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Ryan,Storto,REC,2
22369038,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Ryan,Storto,YDS,13
22369039,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Ryan,Storto,TD,0
22369040,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,RECEIVING,Ryan,Storto,LONG,8
22369041,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PUNTING,Lake,Bachar,NO,7
22369042,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PUNTING,Lake,Bachar,YDS,242
22369043,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PUNTING,Lake,Bachar,AVG,34.6
22369044,10/10/2015,D-III,Wis.-Whitewater,Wis.-Oshkosh,PUNTING,Lake,Bachar,LONG,53
