ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22476001,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Tyler,Ward,ATT,14
22476002,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Tyler,Ward,YDS,159
22476003,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Tyler,Ward,TD,1
22476004,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Tyler,Ward,LONG,42
22476005,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Nick,Connell,ATT,16
22476006,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Nick,Connell,YDS,142
22476007,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Nick,Connell,TD,2
22476008,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Nick,Connell,LONG,59
22476009,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,T,N'dabian,ATT,5
22476010,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,T,N'dabian,YDS,57
22476011,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,T,N'dabian,TD,0
22476012,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,T,N'dabian,LONG,30
22476013,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Kevin,Degnan,ATT,8
22476014,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Kevin,Degnan,YDS,33
22476015,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Kevin,Degnan,TD,1
22476016,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Kevin,Degnan,LONG,12
22476017,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Dante,Aiken,ATT,3
22476018,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Dante,Aiken,YDS,26
22476019,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Dante,Aiken,TD,0
22476020,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Dante,Aiken,LONG,18
22476021,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mohamed,Camara,ATT,2
22476022,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mohamed,Camara,YDS,10
22476023,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mohamed,Camara,TD,0
22476024,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mohamed,Camara,LONG,9
22476025,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mike,Audibert,ATT,2
22476026,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mike,Audibert,YDS,10
22476027,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mike,Audibert,TD,0
22476028,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Mike,Audibert,LONG,6
22476029,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Justin,Townsend,ATT,1
22476030,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Justin,Townsend,YDS,9
22476031,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Justin,Townsend,TD,0
22476032,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Justin,Townsend,LONG,9
22476033,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Laron,Gunderway,ATT,1
22476034,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Laron,Gunderway,YDS,3
22476035,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Laron,Gunderway,TD,0
22476036,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Laron,Gunderway,LONG,3
22476037,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Sam,Olsson,ATT,1
22476038,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Sam,Olsson,YDS,-2
22476039,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Sam,Olsson,TD,0
22476040,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,Sam,Olsson,LONG,0
22476041,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,,Team,ATT,1
22476042,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,,Team,YDS,-3
22476043,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,,Team,TD,0
22476044,10/17/2015,D-III,Western New Eng.,Maine Maritime,RUSHING,,Team,LONG,0
22476045,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Tyler,Ward,CP-ATT-INT,7-14-1
22476046,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Tyler,Ward,YDS,124
22476047,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Tyler,Ward,TD,4
22476048,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Tyler,Ward,LONG,60
22476049,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Kevin,Peabody,CP-ATT-INT,0-1-0
22476050,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Kevin,Peabody,YDS,0
22476051,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Kevin,Peabody,TD,0
22476052,10/17/2015,D-III,Western New Eng.,Maine Maritime,PASSING,Kevin,Peabody,LONG,0
22476053,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,T,N'dabian,REC,1
22476054,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,T,N'dabian,YDS,60
22476055,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,T,N'dabian,TD,1
22476056,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,T,N'dabian,LONG,60
22476057,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Garrett,Jones,REC,1
22476058,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Garrett,Jones,YDS,17
22476059,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Garrett,Jones,TD,0
22476060,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Garrett,Jones,LONG,17
22476061,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Collin,Cioffi,REC,1
22476062,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Collin,Cioffi,YDS,14
22476063,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Collin,Cioffi,TD,1
22476064,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Collin,Cioffi,LONG,14
22476065,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Andy,stFleur,REC,1
22476066,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Andy,stFleur,YDS,13
22476067,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Andy,stFleur,TD,0
22476068,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Andy,stFleur,LONG,13
22476069,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mohamed,Camara,REC,1
22476070,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mohamed,Camara,YDS,12
22476071,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mohamed,Camara,TD,1
22476072,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mohamed,Camara,LONG,12
22476073,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Justin,Townsend,REC,1
22476074,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Justin,Townsend,YDS,5
22476075,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Justin,Townsend,TD,0
22476076,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Justin,Townsend,LONG,5
22476077,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mark,Dietrich,REC,1
22476078,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mark,Dietrich,YDS,3
22476079,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mark,Dietrich,TD,1
22476080,10/17/2015,D-III,Western New Eng.,Maine Maritime,RECEIVING,Mark,Dietrich,LONG,3
22476081,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNTING,Ej,Franskevicz,NO,2
22476082,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNTING,Ej,Franskevicz,YDS,68
22476083,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNTING,Ej,Franskevicz,AVG,34.0
22476084,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNTING,Ej,Franskevicz,LONG,35
22476085,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNT RETURNS,Obi,Etuka,NO,5
22476086,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNT RETURNS,Obi,Etuka,YDS,39
22476087,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNT RETURNS,Obi,Etuka,AVG,7.8
22476088,10/17/2015,D-III,Western New Eng.,Maine Maritime,PUNT RETURNS,Obi,Etuka,LONG,17
22476089,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,T,N'dabian,NO,1
22476090,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,T,N'dabian,YDS,6
22476091,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,T,N'dabian,AVG,6.0
22476092,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,T,N'dabian,LONG,6
22476093,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,Nick,Deternova,NO,1
22476094,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,Nick,Deternova,YDS,10
22476095,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,Nick,Deternova,AVG,10.0
22476096,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,Nick,Deternova,LONG,10
22476097,10/17/2015,D-III,Western New Eng.,Maine Maritime,KICK RETURNS,Dante,Aiken,NO,2
