ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22610001,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Sheehan,ATT,15
22610002,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Sheehan,YDS,84
22610003,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Sheehan,TD,0
22610004,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Sheehan,LONG,15
22610005,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Fisher,ATT,22
22610006,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Fisher,YDS,65
22610007,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Fisher,TD,1
22610008,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Fisher,LONG,13
22610009,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,ATT,3
22610010,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,YDS,10
22610011,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,TD,0
22610012,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,LONG,7
22610013,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Carroll,ATT,3
22610014,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Carroll,YDS,8
22610015,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Carroll,TD,0
22610016,10/24/2015,D-III,Bluffton,Manchester,RUSHING,D,Carroll,LONG,5
22610017,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Speice,ATT,2
22610018,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Speice,YDS,8
22610019,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Speice,TD,0
22610020,10/24/2015,D-III,Bluffton,Manchester,RUSHING,C,Speice,LONG,4
22610021,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,ATT,1
22610022,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,YDS,-1
22610023,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,TD,0
22610024,10/24/2015,D-III,Bluffton,Manchester,RUSHING,,Team,LONG,0
