ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22656001,10/24/2015,D-III,Middlebury,Bates,RUSHING,Jared,Lebowitz,ATT,2
22656002,10/24/2015,D-III,Middlebury,Bates,RUSHING,Jared,Lebowitz,YDS,40
22656003,10/24/2015,D-III,Middlebury,Bates,RUSHING,Jared,Lebowitz,TD,1
22656004,10/24/2015,D-III,Middlebury,Bates,RUSHING,Jared,Lebowitz,LONG,40
22656005,10/24/2015,D-III,Middlebury,Bates,RUSHING,Diego,Meritus,ATT,16
22656006,10/24/2015,D-III,Middlebury,Bates,RUSHING,Diego,Meritus,YDS,35
22656007,10/24/2015,D-III,Middlebury,Bates,RUSHING,Diego,Meritus,TD,0
22656008,10/24/2015,D-III,Middlebury,Bates,RUSHING,Diego,Meritus,LONG,7
22656009,10/24/2015,D-III,Middlebury,Bates,RUSHING,,Team,ATT,2
22656010,10/24/2015,D-III,Middlebury,Bates,RUSHING,,Team,YDS,-2
22656011,10/24/2015,D-III,Middlebury,Bates,RUSHING,,Team,TD,0
22656012,10/24/2015,D-III,Middlebury,Bates,RUSHING,,Team,LONG,0
22656013,10/24/2015,D-III,Middlebury,Bates,RUSHING,Matt,Milano,ATT,2
22656014,10/24/2015,D-III,Middlebury,Bates,RUSHING,Matt,Milano,YDS,-5
22656015,10/24/2015,D-III,Middlebury,Bates,RUSHING,Matt,Milano,TD,0
22656016,10/24/2015,D-III,Middlebury,Bates,RUSHING,Matt,Milano,LONG,0
22656017,10/24/2015,D-III,Middlebury,Bates,PASSING,Matt,Milano,CP-ATT-INT,31-53-3
22656018,10/24/2015,D-III,Middlebury,Bates,PASSING,Matt,Milano,YDS,405
22656019,10/24/2015,D-III,Middlebury,Bates,PASSING,Matt,Milano,TD,5
22656020,10/24/2015,D-III,Middlebury,Bates,PASSING,Matt,Milano,LONG,47
22656021,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Matthew,Minno,REC,10
22656022,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Matthew,Minno,YDS,138
22656023,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Matthew,Minno,TD,2
22656024,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Matthew,Minno,LONG,33
22656025,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Conrado,Banky,REC,5
22656026,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Conrado,Banky,YDS,112
22656027,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Conrado,Banky,TD,1
22656028,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Conrado,Banky,LONG,47
22656029,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Ryan,Rizzo,REC,7
22656030,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Ryan,Rizzo,YDS,61
22656031,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Ryan,Rizzo,TD,1
22656032,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Ryan,Rizzo,LONG,25
22656033,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Tanner,Contois,REC,3
22656034,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Tanner,Contois,YDS,44
22656035,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Tanner,Contois,TD,1
22656036,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Tanner,Contois,LONG,36
22656037,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Trevor,Miletich,REC,4
22656038,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Trevor,Miletich,YDS,28
22656039,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Trevor,Miletich,TD,0
22656040,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Trevor,Miletich,LONG,14
22656041,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Diego,Meritus,REC,2
22656042,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Diego,Meritus,YDS,22
22656043,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Diego,Meritus,TD,0
22656044,10/24/2015,D-III,Middlebury,Bates,RECEIVING,Diego,Meritus,LONG,15
22656045,10/24/2015,D-III,Middlebury,Bates,PUNTING,Charlie,Gordon,NO,4
22656046,10/24/2015,D-III,Middlebury,Bates,PUNTING,Charlie,Gordon,YDS,108
22656047,10/24/2015,D-III,Middlebury,Bates,PUNTING,Charlie,Gordon,AVG,27.0
22656048,10/24/2015,D-III,Middlebury,Bates,PUNTING,Charlie,Gordon,LONG,38
22656049,10/24/2015,D-III,Middlebury,Bates,PUNT RETURNS,Ryan,Rizzo,NO,2
22656050,10/24/2015,D-III,Middlebury,Bates,PUNT RETURNS,Ryan,Rizzo,YDS,1
22656051,10/24/2015,D-III,Middlebury,Bates,PUNT RETURNS,Ryan,Rizzo,AVG,0.5
22656052,10/24/2015,D-III,Middlebury,Bates,PUNT RETURNS,Ryan,Rizzo,LONG,1
22656053,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Jimmy,Martinez,NO,1
22656054,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Jimmy,Martinez,YDS,14
22656055,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Jimmy,Martinez,AVG,14.0
22656056,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Jimmy,Martinez,LONG,14
22656057,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Tanner,Contois,NO,3
22656058,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Tanner,Contois,YDS,73
22656059,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Tanner,Contois,AVG,24.3
22656060,10/24/2015,D-III,Middlebury,Bates,KICK RETURNS,Tanner,Contois,LONG,44
22656061,10/24/2015,D-III,Bates,Middlebury,RUSHING,F,Williams,ATT,9
22656062,10/24/2015,D-III,Bates,Middlebury,RUSHING,F,Williams,YDS,55
22656063,10/24/2015,D-III,Bates,Middlebury,RUSHING,F,Williams,TD,1
22656064,10/24/2015,D-III,Bates,Middlebury,RUSHING,F,Williams,LONG,39
22656065,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Nichol,ATT,3
22656066,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Nichol,YDS,47
22656067,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Nichol,TD,0
22656068,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Nichol,LONG,30
22656069,10/24/2015,D-III,Bates,Middlebury,RUSHING,I,Reese,ATT,13
22656070,10/24/2015,D-III,Bates,Middlebury,RUSHING,I,Reese,YDS,41
22656071,10/24/2015,D-III,Bates,Middlebury,RUSHING,I,Reese,TD,0
22656072,10/24/2015,D-III,Bates,Middlebury,RUSHING,I,Reese,LONG,12
22656073,10/24/2015,D-III,Bates,Middlebury,RUSHING,P,Dugan,ATT,14
22656074,10/24/2015,D-III,Bates,Middlebury,RUSHING,P,Dugan,YDS,22
22656075,10/24/2015,D-III,Bates,Middlebury,RUSHING,P,Dugan,TD,0
22656076,10/24/2015,D-III,Bates,Middlebury,RUSHING,P,Dugan,LONG,21
22656077,10/24/2015,D-III,Bates,Middlebury,RUSHING,S,Peterson,ATT,14
22656078,10/24/2015,D-III,Bates,Middlebury,RUSHING,S,Peterson,YDS,14
22656079,10/24/2015,D-III,Bates,Middlebury,RUSHING,S,Peterson,TD,0
22656080,10/24/2015,D-III,Bates,Middlebury,RUSHING,S,Peterson,LONG,5
22656081,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Decina,ATT,3
22656082,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Decina,YDS,13
22656083,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Decina,TD,0
22656084,10/24/2015,D-III,Bates,Middlebury,RUSHING,M,Decina,LONG,10
22656085,10/24/2015,D-III,Bates,Middlebury,RUSHING,R,Spillane,ATT,5
22656086,10/24/2015,D-III,Bates,Middlebury,RUSHING,R,Spillane,YDS,12
22656087,10/24/2015,D-III,Bates,Middlebury,RUSHING,R,Spillane,TD,0
22656088,10/24/2015,D-III,Bates,Middlebury,RUSHING,R,Spillane,LONG,5
22656089,10/24/2015,D-III,Bates,Middlebury,PASSING,P,Dugan,CP-ATT-INT,19-32-3
22656090,10/24/2015,D-III,Bates,Middlebury,PASSING,P,Dugan,YDS,217
22656091,10/24/2015,D-III,Bates,Middlebury,PASSING,P,Dugan,TD,2
22656092,10/24/2015,D-III,Bates,Middlebury,PASSING,P,Dugan,LONG,25
22656093,10/24/2015,D-III,Bates,Middlebury,PASSING,T,Lyons,CP-ATT-INT,1-1-0
22656094,10/24/2015,D-III,Bates,Middlebury,PASSING,T,Lyons,YDS,23
22656095,10/24/2015,D-III,Bates,Middlebury,PASSING,T,Lyons,TD,0
22656096,10/24/2015,D-III,Bates,Middlebury,PASSING,T,Lyons,LONG,23
22656097,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Riley,REC,10
22656098,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Riley,YDS,117
22656099,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Riley,TD,1
22656100,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Riley,LONG,25
22656101,10/24/2015,D-III,Bates,Middlebury,RECEIVING,S,Peterson,REC,4
22656102,10/24/2015,D-III,Bates,Middlebury,RECEIVING,S,Peterson,YDS,55
22656103,10/24/2015,D-III,Bates,Middlebury,RECEIVING,S,Peterson,TD,0
22656104,10/24/2015,D-III,Bates,Middlebury,RECEIVING,S,Peterson,LONG,23
22656105,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Nichol,REC,1
22656106,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Nichol,YDS,25
22656107,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Nichol,TD,0
22656108,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Nichol,LONG,25
22656109,10/24/2015,D-III,Bates,Middlebury,RECEIVING,J,Frake,REC,1
22656110,10/24/2015,D-III,Bates,Middlebury,RECEIVING,J,Frake,YDS,23
22656111,10/24/2015,D-III,Bates,Middlebury,RECEIVING,J,Frake,TD,0
22656112,10/24/2015,D-III,Bates,Middlebury,RECEIVING,J,Frake,LONG,23
22656113,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Ross,REC,2
22656114,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Ross,YDS,14
22656115,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Ross,TD,1
22656116,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Ross,LONG,11
22656117,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Decina,REC,1
22656118,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Decina,YDS,7
22656119,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Decina,TD,0
22656120,10/24/2015,D-III,Bates,Middlebury,RECEIVING,M,Decina,LONG,7
22656121,10/24/2015,D-III,Bates,Middlebury,RECEIVING,K,Flaherty,REC,1
22656122,10/24/2015,D-III,Bates,Middlebury,RECEIVING,K,Flaherty,YDS,-1
22656123,10/24/2015,D-III,Bates,Middlebury,RECEIVING,K,Flaherty,TD,0
22656124,10/24/2015,D-III,Bates,Middlebury,RECEIVING,K,Flaherty,LONG,0
22656125,10/24/2015,D-III,Bates,Middlebury,PUNTING,J,Foley,NO,4
22656126,10/24/2015,D-III,Bates,Middlebury,PUNTING,J,Foley,YDS,141
22656127,10/24/2015,D-III,Bates,Middlebury,PUNTING,J,Foley,AVG,35.3
22656128,10/24/2015,D-III,Bates,Middlebury,PUNTING,J,Foley,LONG,38
22656129,10/24/2015,D-III,Bates,Middlebury,PUNT RETURNS,T,Lyons,NO,1
22656130,10/24/2015,D-III,Bates,Middlebury,PUNT RETURNS,T,Lyons,YDS,3
22656131,10/24/2015,D-III,Bates,Middlebury,PUNT RETURNS,T,Lyons,AVG,3.0
22656132,10/24/2015,D-III,Bates,Middlebury,PUNT RETURNS,T,Lyons,LONG,3
22656133,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,B,Coulibaly,NO,2
22656134,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,B,Coulibaly,YDS,35
22656135,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,B,Coulibaly,AVG,17.5
22656136,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,B,Coulibaly,LONG,18
22656137,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,F,Williams,NO,3
22656138,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,F,Williams,YDS,51
22656139,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,F,Williams,AVG,17.0
22656140,10/24/2015,D-III,Bates,Middlebury,KICK RETURNS,F,Williams,LONG,24
