ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22285001,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,ATT,12
22285002,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,YDS,43
22285003,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,TD,0
22285004,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,LONG,14
22285005,10/3/2015,D-III,Rockford,Aurora,RUSHING,T,Berry,ATT,1
22285006,10/3/2015,D-III,Rockford,Aurora,RUSHING,T,Berry,YDS,6
22285007,10/3/2015,D-III,Rockford,Aurora,RUSHING,T,Berry,TD,0
22285008,10/3/2015,D-III,Rockford,Aurora,RUSHING,T,Berry,LONG,6
22285009,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,ATT,1
22285010,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,YDS,-3
22285011,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,TD,0
22285012,10/3/2015,D-III,Rockford,Aurora,RUSHING,,Team,LONG,0
22285013,10/3/2015,D-III,Rockford,Aurora,PASSING,,Team,CP-ATT-INT,16-30-1
22285014,10/3/2015,D-III,Rockford,Aurora,PASSING,,Team,YDS,147
22285015,10/3/2015,D-III,Rockford,Aurora,PASSING,,Team,TD,1
22285016,10/3/2015,D-III,Rockford,Aurora,PASSING,,Team,LONG,38
22285017,10/3/2015,D-III,Rockford,Aurora,RECEIVING,,Team,REC,5
22285018,10/3/2015,D-III,Rockford,Aurora,RECEIVING,,Team,YDS,76
22285019,10/3/2015,D-III,Rockford,Aurora,RECEIVING,,Team,TD,0
22285020,10/3/2015,D-III,Rockford,Aurora,RECEIVING,,Team,LONG,38
22285021,10/3/2015,D-III,Rockford,Aurora,PUNTING,A,Perez,NO,8
22285022,10/3/2015,D-III,Rockford,Aurora,PUNTING,A,Perez,YDS,228
22285023,10/3/2015,D-III,Rockford,Aurora,PUNTING,A,Perez,AVG,28.5
22285024,10/3/2015,D-III,Rockford,Aurora,PUNTING,A,Perez,LONG,38
22285025,10/3/2015,D-III,Rockford,Aurora,PUNT RETURNS,,Team,NO,1
22285026,10/3/2015,D-III,Rockford,Aurora,PUNT RETURNS,,Team,YDS,0
22285027,10/3/2015,D-III,Rockford,Aurora,PUNT RETURNS,,Team,AVG,0.0
22285028,10/3/2015,D-III,Rockford,Aurora,PUNT RETURNS,,Team,LONG,0
22285029,10/3/2015,D-III,Rockford,Aurora,KICK RETURNS,,Team,NO,3
22285030,10/3/2015,D-III,Rockford,Aurora,KICK RETURNS,,Team,YDS,45
22285031,10/3/2015,D-III,Rockford,Aurora,KICK RETURNS,,Team,AVG,15.0
22285032,10/3/2015,D-III,Rockford,Aurora,KICK RETURNS,,Team,LONG,24
22285033,10/3/2015,D-III,Aurora,Rockford,RUSHING,B,Evans,ATT,30
22285034,10/3/2015,D-III,Aurora,Rockford,RUSHING,B,Evans,YDS,173
22285035,10/3/2015,D-III,Aurora,Rockford,RUSHING,B,Evans,TD,1
22285036,10/3/2015,D-III,Aurora,Rockford,RUSHING,B,Evans,LONG,18
22285037,10/3/2015,D-III,Aurora,Rockford,RUSHING,J,Stokes,ATT,4
22285038,10/3/2015,D-III,Aurora,Rockford,RUSHING,J,Stokes,YDS,1
22285039,10/3/2015,D-III,Aurora,Rockford,RUSHING,J,Stokes,TD,0
22285040,10/3/2015,D-III,Aurora,Rockford,RUSHING,J,Stokes,LONG,2
22285041,10/3/2015,D-III,Aurora,Rockford,RUSHING,,Team,ATT,4
22285042,10/3/2015,D-III,Aurora,Rockford,RUSHING,,Team,YDS,-3
22285043,10/3/2015,D-III,Aurora,Rockford,RUSHING,,Team,TD,0
22285044,10/3/2015,D-III,Aurora,Rockford,RUSHING,,Team,LONG,0
22285045,10/3/2015,D-III,Aurora,Rockford,RUSHING,G,Rogers,ATT,6
22285046,10/3/2015,D-III,Aurora,Rockford,RUSHING,G,Rogers,YDS,-21
22285047,10/3/2015,D-III,Aurora,Rockford,RUSHING,G,Rogers,TD,0
22285048,10/3/2015,D-III,Aurora,Rockford,RUSHING,G,Rogers,LONG,7
22285049,10/3/2015,D-III,Aurora,Rockford,PASSING,G,Rogers,CP-ATT-INT,12-25-0
22285050,10/3/2015,D-III,Aurora,Rockford,PASSING,G,Rogers,YDS,150
22285051,10/3/2015,D-III,Aurora,Rockford,PASSING,G,Rogers,TD,1
22285052,10/3/2015,D-III,Aurora,Rockford,PASSING,G,Rogers,LONG,38
22285053,10/3/2015,D-III,Aurora,Rockford,RECEIVING,D,Logiurato,REC,4
22285054,10/3/2015,D-III,Aurora,Rockford,RECEIVING,D,Logiurato,YDS,48
22285055,10/3/2015,D-III,Aurora,Rockford,RECEIVING,D,Logiurato,TD,0
22285056,10/3/2015,D-III,Aurora,Rockford,RECEIVING,D,Logiurato,LONG,25
22285057,10/3/2015,D-III,Aurora,Rockford,RECEIVING,P,Rizzi,REC,1
22285058,10/3/2015,D-III,Aurora,Rockford,RECEIVING,P,Rizzi,YDS,38
22285059,10/3/2015,D-III,Aurora,Rockford,RECEIVING,P,Rizzi,TD,1
22285060,10/3/2015,D-III,Aurora,Rockford,RECEIVING,P,Rizzi,LONG,38
22285061,10/3/2015,D-III,Aurora,Rockford,RECEIVING,L,Williams,REC,3
22285062,10/3/2015,D-III,Aurora,Rockford,RECEIVING,L,Williams,YDS,28
22285063,10/3/2015,D-III,Aurora,Rockford,RECEIVING,L,Williams,TD,0
22285064,10/3/2015,D-III,Aurora,Rockford,RECEIVING,L,Williams,LONG,16
22285065,10/3/2015,D-III,Aurora,Rockford,RECEIVING,C,Anderson,REC,3
22285066,10/3/2015,D-III,Aurora,Rockford,RECEIVING,C,Anderson,YDS,24
22285067,10/3/2015,D-III,Aurora,Rockford,RECEIVING,C,Anderson,TD,0
22285068,10/3/2015,D-III,Aurora,Rockford,RECEIVING,C,Anderson,LONG,16
22285069,10/3/2015,D-III,Aurora,Rockford,RECEIVING,J,Walker,REC,1
22285070,10/3/2015,D-III,Aurora,Rockford,RECEIVING,J,Walker,YDS,12
22285071,10/3/2015,D-III,Aurora,Rockford,RECEIVING,J,Walker,TD,0
22285072,10/3/2015,D-III,Aurora,Rockford,RECEIVING,J,Walker,LONG,12
22285073,10/3/2015,D-III,Aurora,Rockford,PUNTING,Z,Mirabelli,NO,4
22285074,10/3/2015,D-III,Aurora,Rockford,PUNTING,Z,Mirabelli,YDS,119
22285075,10/3/2015,D-III,Aurora,Rockford,PUNTING,Z,Mirabelli,AVG,29.8
22285076,10/3/2015,D-III,Aurora,Rockford,PUNTING,Z,Mirabelli,LONG,37
22285077,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,D,Logiurato,NO,3
22285078,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,D,Logiurato,YDS,36
22285079,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,D,Logiurato,AVG,12.0
22285080,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,D,Logiurato,LONG,24
22285081,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,P,Rizzi,NO,1
22285082,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,P,Rizzi,YDS,0
22285083,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,P,Rizzi,AVG,0.0
22285084,10/3/2015,D-III,Aurora,Rockford,PUNT RETURNS,P,Rizzi,LONG,0
