ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22714001,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Pj,Settles,ATT,19
22714002,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Pj,Settles,YDS,62
22714003,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Pj,Settles,TD,2
22714004,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Pj,Settles,LONG,17
22714005,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Alex,Chavez,ATT,12
22714006,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Alex,Chavez,YDS,33
22714007,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Alex,Chavez,TD,0
22714008,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Alex,Chavez,LONG,11
22714009,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Jonathan,Wiener,ATT,4
22714010,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Jonathan,Wiener,YDS,26
22714011,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Jonathan,Wiener,TD,0
22714012,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Jonathan,Wiener,LONG,14
22714013,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Michael,Shield,ATT,5
22714014,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Michael,Shield,YDS,17
22714015,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Michael,Shield,TD,0
22714016,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Michael,Shield,LONG,14
22714017,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Joseph,Sparkman,ATT,3
22714018,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Joseph,Sparkman,YDS,5
22714019,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Joseph,Sparkman,TD,0
22714020,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Joseph,Sparkman,LONG,3
22714021,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Casey,Joseph,ATT,3
22714022,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Casey,Joseph,YDS,5
22714023,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Casey,Joseph,TD,0
22714024,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,Casey,Joseph,LONG,3
22714025,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,,Team,ATT,2
22714026,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,,Team,YDS,-18
22714027,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,,Team,TD,0
22714028,10/31/2015,D-III,Rhodes,Hendrix,RUSHING,,Team,LONG,0
22714029,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Pj,Settles,CP-ATT-INT,9-16-1
22714030,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Pj,Settles,YDS,147
22714031,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Pj,Settles,TD,2
22714032,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Pj,Settles,LONG,47
22714033,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Austin,Henyon,CP-ATT-INT,0-1-0
22714034,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Austin,Henyon,YDS,0
22714035,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Austin,Henyon,TD,0
22714036,10/31/2015,D-III,Rhodes,Hendrix,PASSING,Austin,Henyon,LONG,0
