ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22685001,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Gerald,Childs,ATT,24
22685002,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Gerald,Childs,YDS,81
22685003,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Gerald,Childs,TD,0
22685004,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Gerald,Childs,LONG,11
22685005,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jt,Denhartog,ATT,18
22685006,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jt,Denhartog,YDS,32
22685007,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jt,Denhartog,TD,0
22685008,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jt,Denhartog,LONG,11
22685009,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,N,Vandermause,ATT,3
22685010,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,N,Vandermause,YDS,6
22685011,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,N,Vandermause,TD,0
22685012,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,N,Vandermause,LONG,3
22685013,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jake,Gorzek,ATT,2
22685014,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jake,Gorzek,YDS,2
22685015,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jake,Gorzek,TD,0
22685016,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Jake,Gorzek,LONG,1
22685017,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Joel,Newman,ATT,2
22685018,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Joel,Newman,YDS,-1
22685019,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Joel,Newman,TD,0
22685020,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RUSHING,Joel,Newman,LONG,1
22685021,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Jt,Denhartog,CP-ATT-INT,9-20-1
22685022,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Jt,Denhartog,YDS,39
22685023,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Jt,Denhartog,TD,0
22685024,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Jt,Denhartog,LONG,10
22685025,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Joel,Newman,CP-ATT-INT,0-3-0
22685026,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Joel,Newman,YDS,0
22685027,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Joel,Newman,TD,0
22685028,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PASSING,Joel,Newman,LONG,0
22685029,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Matthew,Knapp,REC,4
22685030,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Matthew,Knapp,YDS,10
22685031,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Matthew,Knapp,TD,0
22685032,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Matthew,Knapp,LONG,4
22685033,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Chris,Cummings,REC,1
22685034,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Chris,Cummings,YDS,10
22685035,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Chris,Cummings,TD,0
22685036,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Chris,Cummings,LONG,10
22685037,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Lucas,Emmerich,REC,1
22685038,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Lucas,Emmerich,YDS,8
22685039,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Lucas,Emmerich,TD,0
22685040,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Lucas,Emmerich,LONG,8
22685041,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Tyler,Korth,REC,2
22685042,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Tyler,Korth,YDS,7
22685043,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Tyler,Korth,TD,0
22685044,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Tyler,Korth,LONG,4
22685045,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Nathan,Claflin,REC,1
22685046,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Nathan,Claflin,YDS,4
22685047,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Nathan,Claflin,TD,0
22685048,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,RECEIVING,Nathan,Claflin,LONG,4
22685049,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,Ian,Scott,NO,8
22685050,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,Ian,Scott,YDS,273
22685051,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,Ian,Scott,AVG,34.1
22685052,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,Ian,Scott,LONG,54
22685053,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,,Team,NO,1
22685054,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,,Team,YDS,0
22685055,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,,Team,AVG,0.0
22685056,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNTING,,Team,LONG,0
22685057,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNT RETURNS,Dillon,Kempen,NO,1
22685058,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNT RETURNS,Dillon,Kempen,YDS,2
22685059,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNT RETURNS,Dillon,Kempen,AVG,2.0
22685060,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,PUNT RETURNS,Dillon,Kempen,LONG,2
22685061,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Matthew,Knapp,NO,3
22685062,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Matthew,Knapp,YDS,62
22685063,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Matthew,Knapp,AVG,20.7
22685064,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Matthew,Knapp,LONG,25
22685065,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Marco,Ortiz,NO,1
22685066,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Marco,Ortiz,YDS,18
22685067,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Marco,Ortiz,AVG,18.0
22685068,10/31/2015,D-III,Wis.-Eau Claire,Wis.-Whitewater,KICK RETURNS,Marco,Ortiz,LONG,18
22685069,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Jordan,Ratliffe,ATT,10
22685070,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Jordan,Ratliffe,YDS,81
22685071,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Jordan,Ratliffe,TD,2
22685072,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Jordan,Ratliffe,LONG,20
22685073,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Canton,Larson,ATT,4
22685074,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Canton,Larson,YDS,25
22685075,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Canton,Larson,TD,1
22685076,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Canton,Larson,LONG,14
22685077,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Tyler,Glass,ATT,5
22685078,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Tyler,Glass,YDS,18
22685079,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Tyler,Glass,TD,0
22685080,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Tyler,Glass,LONG,8
22685081,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Marcus,Hudson,ATT,1
22685082,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Marcus,Hudson,YDS,14
22685083,10/31/2015,D-III,Wis.-Whitewater,Wis.-Eau Claire,RUSHING,Marcus,Hudson,TD,0
