ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22955001,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Mike,Clancy,ATT,10
22955002,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Mike,Clancy,YDS,64
22955003,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Mike,Clancy,TD,0
22955004,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Mike,Clancy,LONG,16
22955005,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Adam,Davis,ATT,10
22955006,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Adam,Davis,YDS,14
22955007,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Adam,Davis,TD,0
22955008,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Adam,Davis,LONG,14
22955009,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Colin,Cashin,ATT,3
22955010,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Colin,Cashin,YDS,10
22955011,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Colin,Cashin,TD,0
22955012,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Colin,Cashin,LONG,12
22955013,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Jordan,Groff,ATT,1
22955014,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Jordan,Groff,YDS,4
22955015,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Jordan,Groff,TD,0
22955016,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Jordan,Groff,LONG,4
22955017,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Camden,Cecchini,ATT,5
22955018,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Camden,Cecchini,YDS,2
22955019,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Camden,Cecchini,TD,0
22955020,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Camden,Cecchini,LONG,4
22955021,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Ethan,Goldcamp,ATT,2
22955022,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Ethan,Goldcamp,YDS,-8
22955023,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Ethan,Goldcamp,TD,0
22955024,11/14/2015,D-III,Coast Guard,Endicott,RUSHING,Ethan,Goldcamp,LONG,0
22955025,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Ethan,Goldcamp,CP-ATT-INT,4-10-0
22955026,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Ethan,Goldcamp,YDS,13
22955027,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Ethan,Goldcamp,TD,0
22955028,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Ethan,Goldcamp,LONG,6
22955029,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Adam,Davis,CP-ATT-INT,3-10-1
22955030,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Adam,Davis,YDS,11
22955031,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Adam,Davis,TD,0
22955032,11/14/2015,D-III,Coast Guard,Endicott,PASSING,Adam,Davis,LONG,11
22955033,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mitch,Holloway,REC,2
22955034,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mitch,Holloway,YDS,17
22955035,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mitch,Holloway,TD,0
22955036,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mitch,Holloway,LONG,11
22955037,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Jordan,Groff,REC,2
22955038,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Jordan,Groff,YDS,7
22955039,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Jordan,Groff,TD,0
22955040,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Jordan,Groff,LONG,5
22955041,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Camden,Cecchini,REC,1
22955042,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Camden,Cecchini,YDS,4
22955043,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Camden,Cecchini,TD,0
22955044,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Camden,Cecchini,LONG,4
22955045,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Charles,Crowley,REC,1
22955046,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Charles,Crowley,YDS,0
22955047,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Charles,Crowley,TD,0
22955048,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Charles,Crowley,LONG,0
22955049,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mike,Clancy,REC,1
22955050,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mike,Clancy,YDS,-4
22955051,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mike,Clancy,TD,0
22955052,11/14/2015,D-III,Coast Guard,Endicott,RECEIVING,Mike,Clancy,LONG,0
22955053,11/14/2015,D-III,Coast Guard,Endicott,PUNTING,Tyler,Henning,NO,7
22955054,11/14/2015,D-III,Coast Guard,Endicott,PUNTING,Tyler,Henning,YDS,290
22955055,11/14/2015,D-III,Coast Guard,Endicott,PUNTING,Tyler,Henning,AVG,41.4
22955056,11/14/2015,D-III,Coast Guard,Endicott,PUNTING,Tyler,Henning,LONG,61
22955057,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Jacob,Pawlina,NO,1
22955058,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Jacob,Pawlina,YDS,15
22955059,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Jacob,Pawlina,AVG,15.0
22955060,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Jacob,Pawlina,LONG,15
22955061,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Will,Daniels,NO,5
22955062,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Will,Daniels,YDS,149
22955063,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Will,Daniels,AVG,29.8
22955064,11/14/2015,D-III,Coast Guard,Endicott,KICK RETURNS,Will,Daniels,LONG,41
22955065,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Lavante,Wiggins,ATT,16
22955066,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Lavante,Wiggins,YDS,73
22955067,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Lavante,Wiggins,TD,0
22955068,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Lavante,Wiggins,LONG,31
22955069,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Dante,Correa,ATT,13
22955070,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Dante,Correa,YDS,57
22955071,11/14/2015,D-III,Endicott,Coast Guard,RUSHING,Dante,Correa,TD,0
