ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22977001,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,J,Williams,ATT,16
22977002,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,J,Williams,YDS,56
22977003,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,J,Williams,TD,0
22977004,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,J,Williams,LONG,16
22977005,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,ATT,3
22977006,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,YDS,9
22977007,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,TD,0
22977008,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,LONG,6
22977009,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,O,Hernandez,ATT,10
22977010,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,O,Hernandez,YDS,-2
22977011,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,O,Hernandez,TD,1
22977012,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,O,Hernandez,LONG,6
22977013,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,ATT,1
22977014,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,YDS,-2
22977015,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,TD,0
22977016,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RUSHING,,Team,LONG,0
22977017,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,O,Hernandez,CP-ATT-INT,10-17-0
22977018,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,O,Hernandez,YDS,120
22977019,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,O,Hernandez,TD,1
22977020,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,O,Hernandez,LONG,29
22977021,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,,Team,CP-ATT-INT,5-11-0
22977022,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,,Team,YDS,85
22977023,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,,Team,TD,1
22977024,11/14/2015,D-III,Elmhurst,N. Central (Ill.),PASSING,,Team,LONG,39
22977025,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RECEIVING,,Team,REC,5
22977026,11/14/2015,D-III,Elmhurst,N. Central (Ill.),RECEIVING,,Team,YDS,73
