ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23022001,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,M,Schultz,ATT,17
23022002,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,M,Schultz,YDS,75
23022003,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,M,Schultz,TD,0
23022004,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,M,Schultz,LONG,13
23022005,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,R,Brown,ATT,10
23022006,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,R,Brown,YDS,20
23022007,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,R,Brown,TD,0
23022008,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,R,Brown,LONG,8
23022009,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,H,Williams,ATT,11
23022010,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,H,Williams,YDS,1
23022011,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,H,Williams,TD,0
23022012,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RUSHING,H,Williams,LONG,4
23022013,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,R,Brown,CP-ATT-INT,7-23-0
23022014,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,R,Brown,YDS,74
23022015,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,R,Brown,TD,1
23022016,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,R,Brown,LONG,25
23022017,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,T,Kangas,CP-ATT-INT,0-1-1
23022018,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,T,Kangas,YDS,0
23022019,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,T,Kangas,TD,0
23022020,11/14/2015,D-III,Finlandia,Mt. St. Joseph,PASSING,T,Kangas,LONG,0
23022021,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Robinson,REC,4
23022022,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Robinson,YDS,57
23022023,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Robinson,TD,1
23022024,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Robinson,LONG,25
23022025,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Sinclair,REC,1
23022026,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Sinclair,YDS,11
23022027,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Sinclair,TD,0
23022028,11/14/2015,D-III,Finlandia,Mt. St. Joseph,RECEIVING,D,Sinclair,LONG,11
