ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23059001,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,John,Iwaniec,ATT,23
23059002,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,John,Iwaniec,YDS,73
23059003,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,John,Iwaniec,TD,0
23059004,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,John,Iwaniec,LONG,11
23059005,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Vic,Jerald,ATT,16
23059006,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Vic,Jerald,YDS,66
23059007,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Vic,Jerald,TD,0
23059008,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Vic,Jerald,LONG,13
23059009,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Brendon,Brown,ATT,2
23059010,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Brendon,Brown,YDS,12
23059011,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Brendon,Brown,TD,0
23059012,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Brendon,Brown,LONG,7
23059013,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Willie,Coleman,ATT,1
23059014,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Willie,Coleman,YDS,7
23059015,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Willie,Coleman,TD,0
23059016,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Willie,Coleman,LONG,7
23059017,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Luke,Bailey,ATT,8
23059018,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Luke,Bailey,YDS,1
23059019,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Luke,Bailey,TD,1
23059020,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,Luke,Bailey,LONG,6
23059021,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,,Team,ATT,1
23059022,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,,Team,YDS,-15
23059023,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,,Team,TD,0
23059024,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RUSHING,,Team,LONG,0
23059025,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,PASSING,Luke,Bailey,CP-ATT-INT,16-27-1
23059026,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,PASSING,Luke,Bailey,YDS,149
23059027,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,PASSING,Luke,Bailey,TD,2
23059028,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,PASSING,Luke,Bailey,LONG,17
23059029,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RECEIVING,Nick,Haas,REC,8
23059030,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RECEIVING,Nick,Haas,YDS,67
23059031,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RECEIVING,Nick,Haas,TD,0
23059032,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RECEIVING,Nick,Haas,LONG,13
23059033,11/28/2015,D-III,Huntingdon,M. Hardin-Baylor,RECEIVING,Darius,Dawsey,REC,2
