ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22849001,11/7/2015,D-III,Becker,Castleton,RUSHING,Matthew,Romasco,ATT,14
22849002,11/7/2015,D-III,Becker,Castleton,RUSHING,Matthew,Romasco,YDS,75
22849003,11/7/2015,D-III,Becker,Castleton,RUSHING,Matthew,Romasco,TD,0
22849004,11/7/2015,D-III,Becker,Castleton,RUSHING,Matthew,Romasco,LONG,35
22849005,11/7/2015,D-III,Becker,Castleton,RUSHING,Brandon,Mulling,ATT,14
22849006,11/7/2015,D-III,Becker,Castleton,RUSHING,Brandon,Mulling,YDS,65
22849007,11/7/2015,D-III,Becker,Castleton,RUSHING,Brandon,Mulling,TD,1
22849008,11/7/2015,D-III,Becker,Castleton,RUSHING,Brandon,Mulling,LONG,12
22849009,11/7/2015,D-III,Becker,Castleton,RUSHING,Jacob,Holmes,ATT,16
22849010,11/7/2015,D-III,Becker,Castleton,RUSHING,Jacob,Holmes,YDS,43
22849011,11/7/2015,D-III,Becker,Castleton,RUSHING,Jacob,Holmes,TD,1
22849012,11/7/2015,D-III,Becker,Castleton,RUSHING,Jacob,Holmes,LONG,10
22849013,11/7/2015,D-III,Becker,Castleton,RUSHING,N,Sinkfield-sh,ATT,6
22849014,11/7/2015,D-III,Becker,Castleton,RUSHING,N,Sinkfield-sh,YDS,37
22849015,11/7/2015,D-III,Becker,Castleton,RUSHING,N,Sinkfield-sh,TD,0
22849016,11/7/2015,D-III,Becker,Castleton,RUSHING,N,Sinkfield-sh,LONG,20
22849017,11/7/2015,D-III,Becker,Castleton,PASSING,N,Sinkfield-sh,CP-ATT-INT,17-34-1
22849018,11/7/2015,D-III,Becker,Castleton,PASSING,N,Sinkfield-sh,YDS,342
22849019,11/7/2015,D-III,Becker,Castleton,PASSING,N,Sinkfield-sh,TD,3
22849020,11/7/2015,D-III,Becker,Castleton,PASSING,N,Sinkfield-sh,LONG,60
22849021,11/7/2015,D-III,Becker,Castleton,RECEIVING,Dejahn,Dawkins,REC,6
22849022,11/7/2015,D-III,Becker,Castleton,RECEIVING,Dejahn,Dawkins,YDS,161
22849023,11/7/2015,D-III,Becker,Castleton,RECEIVING,Dejahn,Dawkins,TD,2
22849024,11/7/2015,D-III,Becker,Castleton,RECEIVING,Dejahn,Dawkins,LONG,59
22849025,11/7/2015,D-III,Becker,Castleton,RECEIVING,Jacob,Holmes,REC,1
22849026,11/7/2015,D-III,Becker,Castleton,RECEIVING,Jacob,Holmes,YDS,60
22849027,11/7/2015,D-III,Becker,Castleton,RECEIVING,Jacob,Holmes,TD,0
22849028,11/7/2015,D-III,Becker,Castleton,RECEIVING,Jacob,Holmes,LONG,60
22849029,11/7/2015,D-III,Becker,Castleton,RECEIVING,Ryan,Mccarthy,REC,4
22849030,11/7/2015,D-III,Becker,Castleton,RECEIVING,Ryan,Mccarthy,YDS,56
22849031,11/7/2015,D-III,Becker,Castleton,RECEIVING,Ryan,Mccarthy,TD,0
22849032,11/7/2015,D-III,Becker,Castleton,RECEIVING,Ryan,Mccarthy,LONG,22
22849033,11/7/2015,D-III,Becker,Castleton,RECEIVING,Brandon,Mulling,REC,2
22849034,11/7/2015,D-III,Becker,Castleton,RECEIVING,Brandon,Mulling,YDS,30
22849035,11/7/2015,D-III,Becker,Castleton,RECEIVING,Brandon,Mulling,TD,1
22849036,11/7/2015,D-III,Becker,Castleton,RECEIVING,Brandon,Mulling,LONG,24
22849037,11/7/2015,D-III,Becker,Castleton,RECEIVING,N,Paradise,REC,2
22849038,11/7/2015,D-III,Becker,Castleton,RECEIVING,N,Paradise,YDS,19
22849039,11/7/2015,D-III,Becker,Castleton,RECEIVING,N,Paradise,TD,0
22849040,11/7/2015,D-III,Becker,Castleton,RECEIVING,N,Paradise,LONG,17
22849041,11/7/2015,D-III,Becker,Castleton,RECEIVING,Marlon,Gober,REC,2
22849042,11/7/2015,D-III,Becker,Castleton,RECEIVING,Marlon,Gober,YDS,16
22849043,11/7/2015,D-III,Becker,Castleton,RECEIVING,Marlon,Gober,TD,0
22849044,11/7/2015,D-III,Becker,Castleton,RECEIVING,Marlon,Gober,LONG,10
22849045,11/7/2015,D-III,Becker,Castleton,PUNTING,Dejahn,Dawkins,NO,6
22849046,11/7/2015,D-III,Becker,Castleton,PUNTING,Dejahn,Dawkins,YDS,162
22849047,11/7/2015,D-III,Becker,Castleton,PUNTING,Dejahn,Dawkins,AVG,27.0
22849048,11/7/2015,D-III,Becker,Castleton,PUNTING,Dejahn,Dawkins,LONG,36
22849049,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,Cemal,Black,NO,1
22849050,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,Cemal,Black,YDS,0
22849051,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,Cemal,Black,AVG,0.0
22849052,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,Cemal,Black,LONG,0
22849053,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,L,Carter,NO,1
22849054,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,L,Carter,YDS,-1
22849055,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,L,Carter,AVG,-1.0
22849056,11/7/2015,D-III,Becker,Castleton,PUNT RETURNS,L,Carter,LONG,0
22849057,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Davin,Collins,NO,1
22849058,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Davin,Collins,YDS,58
22849059,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Davin,Collins,AVG,58.0
22849060,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Davin,Collins,LONG,58
22849061,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Hugh,Holmes,NO,1
22849062,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Hugh,Holmes,YDS,14
22849063,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Hugh,Holmes,AVG,14.0
22849064,11/7/2015,D-III,Becker,Castleton,KICK RETURNS,Hugh,Holmes,LONG,14
22849065,11/7/2015,D-III,Castleton,Becker,RUSHING,Moe,Harris,ATT,27
22849066,11/7/2015,D-III,Castleton,Becker,RUSHING,Moe,Harris,YDS,161
22849067,11/7/2015,D-III,Castleton,Becker,RUSHING,Moe,Harris,TD,1
22849068,11/7/2015,D-III,Castleton,Becker,RUSHING,Moe,Harris,LONG,19
22849069,11/7/2015,D-III,Castleton,Becker,RUSHING,Corey,Brimmer,ATT,9
22849070,11/7/2015,D-III,Castleton,Becker,RUSHING,Corey,Brimmer,YDS,35
22849071,11/7/2015,D-III,Castleton,Becker,RUSHING,Corey,Brimmer,TD,0
22849072,11/7/2015,D-III,Castleton,Becker,RUSHING,Corey,Brimmer,LONG,10
22849073,11/7/2015,D-III,Castleton,Becker,RUSHING,George,Busharis,ATT,4
22849074,11/7/2015,D-III,Castleton,Becker,RUSHING,George,Busharis,YDS,12
22849075,11/7/2015,D-III,Castleton,Becker,RUSHING,George,Busharis,TD,0
22849076,11/7/2015,D-III,Castleton,Becker,RUSHING,George,Busharis,LONG,10
22849077,11/7/2015,D-III,Castleton,Becker,RUSHING,S,Pelz-walsh,ATT,1
22849078,11/7/2015,D-III,Castleton,Becker,RUSHING,S,Pelz-walsh,YDS,2
22849079,11/7/2015,D-III,Castleton,Becker,RUSHING,S,Pelz-walsh,TD,0
22849080,11/7/2015,D-III,Castleton,Becker,RUSHING,S,Pelz-walsh,LONG,2
22849081,11/7/2015,D-III,Castleton,Becker,RUSHING,Chris,Oettinger,ATT,1
22849082,11/7/2015,D-III,Castleton,Becker,RUSHING,Chris,Oettinger,YDS,1
22849083,11/7/2015,D-III,Castleton,Becker,RUSHING,Chris,Oettinger,TD,0
22849084,11/7/2015,D-III,Castleton,Becker,RUSHING,Chris,Oettinger,LONG,1
22849085,11/7/2015,D-III,Castleton,Becker,PASSING,George,Busharis,CP-ATT-INT,28-47-1
22849086,11/7/2015,D-III,Castleton,Becker,PASSING,George,Busharis,YDS,258
22849087,11/7/2015,D-III,Castleton,Becker,PASSING,George,Busharis,TD,2
22849088,11/7/2015,D-III,Castleton,Becker,PASSING,George,Busharis,LONG,21
22849089,11/7/2015,D-III,Castleton,Becker,PASSING,Luke,Tancreti,CP-ATT-INT,0-1-0
22849090,11/7/2015,D-III,Castleton,Becker,PASSING,Luke,Tancreti,YDS,0
22849091,11/7/2015,D-III,Castleton,Becker,PASSING,Luke,Tancreti,TD,0
22849092,11/7/2015,D-III,Castleton,Becker,PASSING,Luke,Tancreti,LONG,0
22849093,11/7/2015,D-III,Castleton,Becker,RECEIVING,Makai,Hawkins,REC,7
22849094,11/7/2015,D-III,Castleton,Becker,RECEIVING,Makai,Hawkins,YDS,65
22849095,11/7/2015,D-III,Castleton,Becker,RECEIVING,Makai,Hawkins,TD,1
22849096,11/7/2015,D-III,Castleton,Becker,RECEIVING,Makai,Hawkins,LONG,19
22849097,11/7/2015,D-III,Castleton,Becker,RECEIVING,Jordan,Goodrich,REC,6
22849098,11/7/2015,D-III,Castleton,Becker,RECEIVING,Jordan,Goodrich,YDS,59
22849099,11/7/2015,D-III,Castleton,Becker,RECEIVING,Jordan,Goodrich,TD,1
22849100,11/7/2015,D-III,Castleton,Becker,RECEIVING,Jordan,Goodrich,LONG,21
22849101,11/7/2015,D-III,Castleton,Becker,RECEIVING,A,Porcelli,REC,5
22849102,11/7/2015,D-III,Castleton,Becker,RECEIVING,A,Porcelli,YDS,49
22849103,11/7/2015,D-III,Castleton,Becker,RECEIVING,A,Porcelli,TD,0
22849104,11/7/2015,D-III,Castleton,Becker,RECEIVING,A,Porcelli,LONG,19
22849105,11/7/2015,D-III,Castleton,Becker,RECEIVING,S,Pelz-walsh,REC,6
22849106,11/7/2015,D-III,Castleton,Becker,RECEIVING,S,Pelz-walsh,YDS,49
22849107,11/7/2015,D-III,Castleton,Becker,RECEIVING,S,Pelz-walsh,TD,0
22849108,11/7/2015,D-III,Castleton,Becker,RECEIVING,S,Pelz-walsh,LONG,15
22849109,11/7/2015,D-III,Castleton,Becker,RECEIVING,Cyle,Machia,REC,3
22849110,11/7/2015,D-III,Castleton,Becker,RECEIVING,Cyle,Machia,YDS,27
22849111,11/7/2015,D-III,Castleton,Becker,RECEIVING,Cyle,Machia,TD,0
22849112,11/7/2015,D-III,Castleton,Becker,RECEIVING,Cyle,Machia,LONG,14
22849113,11/7/2015,D-III,Castleton,Becker,RECEIVING,Moe,Harris,REC,1
22849114,11/7/2015,D-III,Castleton,Becker,RECEIVING,Moe,Harris,YDS,9
22849115,11/7/2015,D-III,Castleton,Becker,RECEIVING,Moe,Harris,TD,0
22849116,11/7/2015,D-III,Castleton,Becker,RECEIVING,Moe,Harris,LONG,9
22849117,11/7/2015,D-III,Castleton,Becker,PUNTING,B,Lineberger,NO,10
22849118,11/7/2015,D-III,Castleton,Becker,PUNTING,B,Lineberger,YDS,274
22849119,11/7/2015,D-III,Castleton,Becker,PUNTING,B,Lineberger,AVG,27.4
22849120,11/7/2015,D-III,Castleton,Becker,PUNTING,B,Lineberger,LONG,45
22849121,11/7/2015,D-III,Castleton,Becker,PUNTING,,Team,NO,1
22849122,11/7/2015,D-III,Castleton,Becker,PUNTING,,Team,YDS,0
22849123,11/7/2015,D-III,Castleton,Becker,PUNTING,,Team,AVG,0.0
22849124,11/7/2015,D-III,Castleton,Becker,PUNTING,,Team,LONG,0
22849125,11/7/2015,D-III,Castleton,Becker,PUNT RETURNS,J,Dealesandro,NO,1
22849126,11/7/2015,D-III,Castleton,Becker,PUNT RETURNS,J,Dealesandro,YDS,6
22849127,11/7/2015,D-III,Castleton,Becker,PUNT RETURNS,J,Dealesandro,AVG,6.0
22849128,11/7/2015,D-III,Castleton,Becker,PUNT RETURNS,J,Dealesandro,LONG,0
22849129,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,J,Dealesandro,NO,3
22849130,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,J,Dealesandro,YDS,56
22849131,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,J,Dealesandro,AVG,18.7
22849132,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,J,Dealesandro,LONG,22
22849133,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,Moe,Harris,NO,3
22849134,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,Moe,Harris,YDS,68
22849135,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,Moe,Harris,AVG,22.7
22849136,11/7/2015,D-III,Castleton,Becker,KICK RETURNS,Moe,Harris,LONG,33
