ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22795001,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Jake,Rourke,ATT,7
22795002,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Jake,Rourke,YDS,14
22795003,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Jake,Rourke,TD,0
22795004,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Jake,Rourke,LONG,4
22795005,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Daniel,Barone,ATT,1
22795006,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Daniel,Barone,YDS,2
22795007,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Daniel,Barone,TD,0
22795008,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Daniel,Barone,LONG,2
22795009,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Noah,Nelson,ATT,6
22795010,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Noah,Nelson,YDS,-22
22795011,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Noah,Nelson,TD,0
22795012,11/7/2015,D-III,Bowdoin,Bates,RUSHING,Noah,Nelson,LONG,7
22795013,11/7/2015,D-III,Bowdoin,Bates,PASSING,Noah,Nelson,CP-ATT-INT,21-54-2
22795014,11/7/2015,D-III,Bowdoin,Bates,PASSING,Noah,Nelson,YDS,180
22795015,11/7/2015,D-III,Bowdoin,Bates,PASSING,Noah,Nelson,TD,0
22795016,11/7/2015,D-III,Bowdoin,Bates,PASSING,Noah,Nelson,LONG,21
22795017,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Daniel,Barone,REC,9
22795018,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Daniel,Barone,YDS,71
22795019,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Daniel,Barone,TD,0
22795020,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Daniel,Barone,LONG,17
22795021,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Nick,Vailas,REC,8
22795022,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Nick,Vailas,YDS,66
22795023,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Nick,Vailas,TD,0
22795024,11/7/2015,D-III,Bowdoin,Bates,RECEIVING,Nick,Vailas,LONG,14
