ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22804001,11/7/2015,D-III,Husson,Norwich,RUSHING,John,Smith,ATT,33
22804002,11/7/2015,D-III,Husson,Norwich,RUSHING,John,Smith,YDS,173
22804003,11/7/2015,D-III,Husson,Norwich,RUSHING,John,Smith,TD,1
22804004,11/7/2015,D-III,Husson,Norwich,RUSHING,John,Smith,LONG,40
22804005,11/7/2015,D-III,Husson,Norwich,RUSHING,R,Saintard,ATT,5
22804006,11/7/2015,D-III,Husson,Norwich,RUSHING,R,Saintard,YDS,26
22804007,11/7/2015,D-III,Husson,Norwich,RUSHING,R,Saintard,TD,0
22804008,11/7/2015,D-III,Husson,Norwich,RUSHING,R,Saintard,LONG,11
22804009,11/7/2015,D-III,Husson,Norwich,RUSHING,Joe,Seccareccia,ATT,2
22804010,11/7/2015,D-III,Husson,Norwich,RUSHING,Joe,Seccareccia,YDS,7
22804011,11/7/2015,D-III,Husson,Norwich,RUSHING,Joe,Seccareccia,TD,0
22804012,11/7/2015,D-III,Husson,Norwich,RUSHING,Joe,Seccareccia,LONG,5
22804013,11/7/2015,D-III,Husson,Norwich,RUSHING,Jon,Geagan,ATT,1
22804014,11/7/2015,D-III,Husson,Norwich,RUSHING,Jon,Geagan,YDS,-23
22804015,11/7/2015,D-III,Husson,Norwich,RUSHING,Jon,Geagan,TD,0
22804016,11/7/2015,D-III,Husson,Norwich,RUSHING,Jon,Geagan,LONG,0
22804017,11/7/2015,D-III,Husson,Norwich,PASSING,Joe,Seccareccia,CP-ATT-INT,13-28-1
22804018,11/7/2015,D-III,Husson,Norwich,PASSING,Joe,Seccareccia,YDS,169
22804019,11/7/2015,D-III,Husson,Norwich,PASSING,Joe,Seccareccia,TD,0
22804020,11/7/2015,D-III,Husson,Norwich,PASSING,Joe,Seccareccia,LONG,47
22804021,11/7/2015,D-III,Husson,Norwich,PASSING,Cory,Brandon,CP-ATT-INT,4-6-0
22804022,11/7/2015,D-III,Husson,Norwich,PASSING,Cory,Brandon,YDS,37
22804023,11/7/2015,D-III,Husson,Norwich,PASSING,Cory,Brandon,TD,1
22804024,11/7/2015,D-III,Husson,Norwich,PASSING,Cory,Brandon,LONG,19
22804025,11/7/2015,D-III,Husson,Norwich,RECEIVING,Greg,Moore,REC,3
22804026,11/7/2015,D-III,Husson,Norwich,RECEIVING,Greg,Moore,YDS,74
22804027,11/7/2015,D-III,Husson,Norwich,RECEIVING,Greg,Moore,TD,0
22804028,11/7/2015,D-III,Husson,Norwich,RECEIVING,Greg,Moore,LONG,47
22804029,11/7/2015,D-III,Husson,Norwich,RECEIVING,Jon,Saban,REC,4
22804030,11/7/2015,D-III,Husson,Norwich,RECEIVING,Jon,Saban,YDS,50
