ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22856001,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,,Team,ATT,16
22856002,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,,Team,YDS,43
22856003,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,,Team,TD,0
22856004,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,,Team,LONG,11
22856005,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,B,Hicks,ATT,13
22856006,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,B,Hicks,YDS,-20
22856007,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,B,Hicks,TD,0
22856008,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RUSHING,B,Hicks,LONG,14
22856009,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,B,Hicks,CP-ATT-INT,22-38-0
22856010,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,B,Hicks,YDS,226
22856011,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,B,Hicks,TD,1
22856012,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,B,Hicks,LONG,22
22856013,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,,Team,CP-ATT-INT,1-1-0
22856014,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,,Team,YDS,74
22856015,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,,Team,TD,1
22856016,11/7/2015,D-III,S'western (Texas),Trinity (Texas),PASSING,,Team,LONG,74
22856017,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RECEIVING,,Team,REC,1
22856018,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RECEIVING,,Team,YDS,74
22856019,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RECEIVING,,Team,TD,1
22856020,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RECEIVING,,Team,LONG,74
22856021,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RECEIVING,B,Patterson,REC,2
22856022,11/7/2015,D-III,S'western (Texas),Trinity (Texas),RECEIVING,B,Patterson,YDS,29
