ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22880001,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,D,Linzenmeyer,ATT,14
22880002,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,D,Linzenmeyer,YDS,100
22880003,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,D,Linzenmeyer,TD,1
22880004,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,D,Linzenmeyer,LONG,36
22880005,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Dylan,Hecker,ATT,11
22880006,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Dylan,Hecker,YDS,63
22880007,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Dylan,Hecker,TD,1
22880008,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Dylan,Hecker,LONG,13
22880009,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Beau,Ash,ATT,2
22880010,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Beau,Ash,YDS,18
22880011,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Beau,Ash,TD,0
22880012,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Beau,Ash,LONG,9
22880013,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Zach,Kasuboski,ATT,3
22880014,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Zach,Kasuboski,YDS,15
22880015,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Zach,Kasuboski,TD,0
22880016,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Zach,Kasuboski,LONG,9
22880017,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,,Team,ATT,1
22880018,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,,Team,YDS,-1
22880019,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,,Team,TD,0
22880020,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,,Team,LONG,0
22880021,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Brett,Kasper,ATT,8
22880022,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Brett,Kasper,YDS,-13
22880023,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Brett,Kasper,TD,0
22880024,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,RUSHING,Brett,Kasper,LONG,5
22880025,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,PASSING,Brett,Kasper,CP-ATT-INT,23-32-0
22880026,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,PASSING,Brett,Kasper,YDS,236
22880027,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,PASSING,Brett,Kasper,TD,1
22880028,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,PASSING,Brett,Kasper,LONG,24
22880029,11/7/2015,D-III,Wis.-Oshkosh,Wis.-La Crosse,PASSING,Sam,Mentkowski,CP-ATT-INT,1-1-0
