ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21899001,9/11/2015,D-III,WPI,Worcester State,RUSHING,Zach,Grasis,ATT,28
21899002,9/11/2015,D-III,WPI,Worcester State,RUSHING,Zach,Grasis,YDS,74
21899003,9/11/2015,D-III,WPI,Worcester State,RUSHING,Zach,Grasis,TD,1
21899004,9/11/2015,D-III,WPI,Worcester State,RUSHING,Zach,Grasis,LONG,9
21899005,9/11/2015,D-III,WPI,Worcester State,RUSHING,Brian,Marsh,ATT,6
21899006,9/11/2015,D-III,WPI,Worcester State,RUSHING,Brian,Marsh,YDS,8
21899007,9/11/2015,D-III,WPI,Worcester State,RUSHING,Brian,Marsh,TD,1
21899008,9/11/2015,D-III,WPI,Worcester State,RUSHING,Brian,Marsh,LONG,14
21899009,9/11/2015,D-III,WPI,Worcester State,RUSHING,Dan,Eckler,ATT,4
21899010,9/11/2015,D-III,WPI,Worcester State,RUSHING,Dan,Eckler,YDS,1
21899011,9/11/2015,D-III,WPI,Worcester State,RUSHING,Dan,Eckler,TD,0
21899012,9/11/2015,D-III,WPI,Worcester State,RUSHING,Dan,Eckler,LONG,10
21899013,9/11/2015,D-III,WPI,Worcester State,RUSHING,,Team,ATT,2
21899014,9/11/2015,D-III,WPI,Worcester State,RUSHING,,Team,YDS,-3
21899015,9/11/2015,D-III,WPI,Worcester State,RUSHING,,Team,TD,0
21899016,9/11/2015,D-III,WPI,Worcester State,RUSHING,,Team,LONG,0
21899017,9/11/2015,D-III,WPI,Worcester State,PASSING,Dan,Eckler,CP-ATT-INT,21-31-0
21899018,9/11/2015,D-III,WPI,Worcester State,PASSING,Dan,Eckler,YDS,381
21899019,9/11/2015,D-III,WPI,Worcester State,PASSING,Dan,Eckler,TD,1
21899020,9/11/2015,D-III,WPI,Worcester State,PASSING,Dan,Eckler,LONG,96
21899021,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Brandon,Eccher,REC,8
21899022,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Brandon,Eccher,YDS,168
21899023,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Brandon,Eccher,TD,1
21899024,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Brandon,Eccher,LONG,96
21899025,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Mitch,Celaj,REC,6
21899026,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Mitch,Celaj,YDS,57
21899027,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Mitch,Celaj,TD,0
21899028,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Mitch,Celaj,LONG,26
21899029,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Joe,Igoe,REC,2
21899030,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Joe,Igoe,YDS,41
21899031,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Joe,Igoe,TD,0
21899032,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Joe,Igoe,LONG,33
21899033,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Steven,Thulin,REC,1
21899034,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Steven,Thulin,YDS,35
21899035,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Steven,Thulin,TD,0
21899036,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Steven,Thulin,LONG,35
21899037,9/11/2015,D-III,WPI,Worcester State,RECEIVING,M,Middleton,REC,2
21899038,9/11/2015,D-III,WPI,Worcester State,RECEIVING,M,Middleton,YDS,34
21899039,9/11/2015,D-III,WPI,Worcester State,RECEIVING,M,Middleton,TD,0
21899040,9/11/2015,D-III,WPI,Worcester State,RECEIVING,M,Middleton,LONG,27
21899041,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Andrew,Boynton,REC,1
21899042,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Andrew,Boynton,YDS,33
21899043,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Andrew,Boynton,TD,0
21899044,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Andrew,Boynton,LONG,33
21899045,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Alex,Domond,REC,1
21899046,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Alex,Domond,YDS,13
21899047,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Alex,Domond,TD,0
21899048,9/11/2015,D-III,WPI,Worcester State,RECEIVING,Alex,Domond,LONG,13
21899049,9/11/2015,D-III,WPI,Worcester State,PUNTING,V,Tavernelli,NO,3
21899050,9/11/2015,D-III,WPI,Worcester State,PUNTING,V,Tavernelli,YDS,139
21899051,9/11/2015,D-III,WPI,Worcester State,PUNTING,V,Tavernelli,AVG,46.3
21899052,9/11/2015,D-III,WPI,Worcester State,PUNTING,V,Tavernelli,LONG,56
21899053,9/11/2015,D-III,WPI,Worcester State,PUNT RETURNS,Brandon,Eccher,NO,1
21899054,9/11/2015,D-III,WPI,Worcester State,PUNT RETURNS,Brandon,Eccher,YDS,1
21899055,9/11/2015,D-III,WPI,Worcester State,PUNT RETURNS,Brandon,Eccher,AVG,1.0
21899056,9/11/2015,D-III,WPI,Worcester State,PUNT RETURNS,Brandon,Eccher,LONG,1
21899057,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Brian,Marsh,NO,2
21899058,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Brian,Marsh,YDS,55
21899059,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Brian,Marsh,AVG,27.5
21899060,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Brian,Marsh,LONG,36
21899061,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Sean,Murphy,NO,1
21899062,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Sean,Murphy,YDS,8
21899063,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Sean,Murphy,AVG,8.0
21899064,9/11/2015,D-III,WPI,Worcester State,KICK RETURNS,Sean,Murphy,LONG,8
21899065,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dexter,Andrews,ATT,8
21899066,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dexter,Andrews,YDS,40
21899067,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dexter,Andrews,TD,1
21899068,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dexter,Andrews,LONG,10
21899069,9/11/2015,D-III,Worcester State,WPI,RUSHING,Kemani,Jones,ATT,9
21899070,9/11/2015,D-III,Worcester State,WPI,RUSHING,Kemani,Jones,YDS,24
21899071,9/11/2015,D-III,Worcester State,WPI,RUSHING,Kemani,Jones,TD,0
21899072,9/11/2015,D-III,Worcester State,WPI,RUSHING,Kemani,Jones,LONG,12
21899073,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dana,Valentine,ATT,4
21899074,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dana,Valentine,YDS,11
21899075,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dana,Valentine,TD,0
21899076,9/11/2015,D-III,Worcester State,WPI,RUSHING,Dana,Valentine,LONG,6
21899077,9/11/2015,D-III,Worcester State,WPI,RUSHING,Trevor,Vassey,ATT,7
21899078,9/11/2015,D-III,Worcester State,WPI,RUSHING,Trevor,Vassey,YDS,-15
21899079,9/11/2015,D-III,Worcester State,WPI,RUSHING,Trevor,Vassey,TD,0
21899080,9/11/2015,D-III,Worcester State,WPI,RUSHING,Trevor,Vassey,LONG,4
21899081,9/11/2015,D-III,Worcester State,WPI,PASSING,Trevor,Vassey,CP-ATT-INT,35-49-1
21899082,9/11/2015,D-III,Worcester State,WPI,PASSING,Trevor,Vassey,YDS,296
21899083,9/11/2015,D-III,Worcester State,WPI,PASSING,Trevor,Vassey,TD,1
21899084,9/11/2015,D-III,Worcester State,WPI,PASSING,Trevor,Vassey,LONG,19
21899085,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Isaiah,King,REC,10
21899086,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Isaiah,King,YDS,79
21899087,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Isaiah,King,TD,0
21899088,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Isaiah,King,LONG,18
21899089,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Arron,Witkus,REC,8
21899090,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Arron,Witkus,YDS,78
21899091,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Arron,Witkus,TD,1
21899092,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Arron,Witkus,LONG,14
21899093,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Tyler,Barrie,REC,6
21899094,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Tyler,Barrie,YDS,54
21899095,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Tyler,Barrie,TD,0
21899096,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Tyler,Barrie,LONG,17
21899097,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Kemani,Jones,REC,4
21899098,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Kemani,Jones,YDS,23
21899099,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Kemani,Jones,TD,0
21899100,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Kemani,Jones,LONG,8
21899101,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Terrence,Gibson,REC,3
21899102,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Terrence,Gibson,YDS,20
21899103,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Terrence,Gibson,TD,0
21899104,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Terrence,Gibson,LONG,7
21899105,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Matthew,Stewart,REC,1
21899106,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Matthew,Stewart,YDS,19
21899107,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Matthew,Stewart,TD,0
21899108,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Matthew,Stewart,LONG,19
21899109,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Mark,Parker,REC,1
21899110,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Mark,Parker,YDS,11
21899111,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Mark,Parker,TD,0
21899112,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Mark,Parker,LONG,11
21899113,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dexter,Andrews,REC,1
21899114,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dexter,Andrews,YDS,8
21899115,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dexter,Andrews,TD,0
21899116,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dexter,Andrews,LONG,8
21899117,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dana,Valentine,REC,1
21899118,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dana,Valentine,YDS,4
21899119,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dana,Valentine,TD,0
21899120,9/11/2015,D-III,Worcester State,WPI,RECEIVING,Dana,Valentine,LONG,4
21899121,9/11/2015,D-III,Worcester State,WPI,PUNTING,Pat,Tuohy,NO,4
21899122,9/11/2015,D-III,Worcester State,WPI,PUNTING,Pat,Tuohy,YDS,136
21899123,9/11/2015,D-III,Worcester State,WPI,PUNTING,Pat,Tuohy,AVG,34.0
21899124,9/11/2015,D-III,Worcester State,WPI,PUNTING,Pat,Tuohy,LONG,45
21899125,9/11/2015,D-III,Worcester State,WPI,PUNT RETURNS,Aurian,Dawkins,NO,1
21899126,9/11/2015,D-III,Worcester State,WPI,PUNT RETURNS,Aurian,Dawkins,YDS,5
21899127,9/11/2015,D-III,Worcester State,WPI,PUNT RETURNS,Aurian,Dawkins,AVG,5.0
21899128,9/11/2015,D-III,Worcester State,WPI,PUNT RETURNS,Aurian,Dawkins,LONG,5
21899129,9/11/2015,D-III,Worcester State,WPI,KICK RETURNS,Jacob,Maher,NO,3
21899130,9/11/2015,D-III,Worcester State,WPI,KICK RETURNS,Jacob,Maher,YDS,12
21899131,9/11/2015,D-III,Worcester State,WPI,KICK RETURNS,Jacob,Maher,AVG,4.0
21899132,9/11/2015,D-III,Worcester State,WPI,KICK RETURNS,Jacob,Maher,LONG,6
21899133,9/11/2015,D-III,Worcester State,WPI,KICK RETURNS,Samie,Jean,NO,1
