ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21916001,9/12/2015,D-III,Hamline,Macalester,RUSHING,Austin,Duncan,ATT,30
21916002,9/12/2015,D-III,Hamline,Macalester,RUSHING,Austin,Duncan,YDS,119
21916003,9/12/2015,D-III,Hamline,Macalester,RUSHING,Austin,Duncan,TD,0
21916004,9/12/2015,D-III,Hamline,Macalester,RUSHING,Austin,Duncan,LONG,19
21916005,9/12/2015,D-III,Hamline,Macalester,RUSHING,Kyle,Johnson,ATT,5
21916006,9/12/2015,D-III,Hamline,Macalester,RUSHING,Kyle,Johnson,YDS,33
21916007,9/12/2015,D-III,Hamline,Macalester,RUSHING,Kyle,Johnson,TD,1
21916008,9/12/2015,D-III,Hamline,Macalester,RUSHING,Kyle,Johnson,LONG,27
21916009,9/12/2015,D-III,Hamline,Macalester,RUSHING,Josiah,Harris,ATT,3
21916010,9/12/2015,D-III,Hamline,Macalester,RUSHING,Josiah,Harris,YDS,22
21916011,9/12/2015,D-III,Hamline,Macalester,RUSHING,Josiah,Harris,TD,0
21916012,9/12/2015,D-III,Hamline,Macalester,RUSHING,Josiah,Harris,LONG,19
21916013,9/12/2015,D-III,Hamline,Macalester,RUSHING,Ryan,Ferkinhoff,ATT,1
21916014,9/12/2015,D-III,Hamline,Macalester,RUSHING,Ryan,Ferkinhoff,YDS,0
21916015,9/12/2015,D-III,Hamline,Macalester,RUSHING,Ryan,Ferkinhoff,TD,0
21916016,9/12/2015,D-III,Hamline,Macalester,RUSHING,Ryan,Ferkinhoff,LONG,0
21916017,9/12/2015,D-III,Hamline,Macalester,RUSHING,,Team,ATT,3
21916018,9/12/2015,D-III,Hamline,Macalester,RUSHING,,Team,YDS,0
21916019,9/12/2015,D-III,Hamline,Macalester,RUSHING,,Team,TD,0
21916020,9/12/2015,D-III,Hamline,Macalester,RUSHING,,Team,LONG,0
21916021,9/12/2015,D-III,Hamline,Macalester,RUSHING,Naji,El-araby,ATT,3
21916022,9/12/2015,D-III,Hamline,Macalester,RUSHING,Naji,El-araby,YDS,-2
21916023,9/12/2015,D-III,Hamline,Macalester,RUSHING,Naji,El-araby,TD,0
21916024,9/12/2015,D-III,Hamline,Macalester,RUSHING,Naji,El-araby,LONG,7
21916025,9/12/2015,D-III,Hamline,Macalester,PASSING,Kyle,Johnson,CP-ATT-INT,19-29-2
21916026,9/12/2015,D-III,Hamline,Macalester,PASSING,Kyle,Johnson,YDS,301
21916027,9/12/2015,D-III,Hamline,Macalester,PASSING,Kyle,Johnson,TD,3
21916028,9/12/2015,D-III,Hamline,Macalester,PASSING,Kyle,Johnson,LONG,50
21916029,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Nick,Kampa,REC,7
21916030,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Nick,Kampa,YDS,100
21916031,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Nick,Kampa,TD,2
21916032,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Nick,Kampa,LONG,50
21916033,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Austin,Duncan,REC,2
21916034,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Austin,Duncan,YDS,57
21916035,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Austin,Duncan,TD,0
21916036,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Austin,Duncan,LONG,39
21916037,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Naji,El-araby,REC,2
21916038,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Naji,El-araby,YDS,51
21916039,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Naji,El-araby,TD,1
21916040,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Naji,El-araby,LONG,45
21916041,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Philip,Sherman,REC,4
21916042,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Philip,Sherman,YDS,47
21916043,9/12/2015,D-III,Hamline,Macalester,RECEIVING,Philip,Sherman,TD,0
