ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22090001,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Cory,Archer,ATT,7
22090002,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Cory,Archer,YDS,110
22090003,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Cory,Archer,TD,2
22090004,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Cory,Archer,LONG,74
22090005,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,N,Fitzgerald,ATT,12
22090006,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,N,Fitzgerald,YDS,59
22090007,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,N,Fitzgerald,TD,1
22090008,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,N,Fitzgerald,LONG,12
22090009,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Max,Barkalow,ATT,4
22090010,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Max,Barkalow,YDS,45
22090011,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Max,Barkalow,TD,0
22090012,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Max,Barkalow,LONG,26
22090013,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Pat,Gray,ATT,7
22090014,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Pat,Gray,YDS,35
22090015,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Pat,Gray,TD,1
22090016,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Pat,Gray,LONG,8
22090017,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Adam,Lindell,ATT,7
22090018,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Adam,Lindell,YDS,28
22090019,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Adam,Lindell,TD,0
22090020,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Adam,Lindell,LONG,6
22090021,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Riley,Gray,ATT,2
22090022,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Riley,Gray,YDS,6
22090023,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Riley,Gray,TD,0
22090024,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Riley,Gray,LONG,5
22090025,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Kohle,Helle,ATT,1
22090026,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Kohle,Helle,YDS,6
22090027,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Kohle,Helle,TD,0
22090028,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Kohle,Helle,LONG,6
22090029,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Taylor,Cox,ATT,1
22090030,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Taylor,Cox,YDS,2
22090031,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Taylor,Cox,TD,0
22090032,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,Taylor,Cox,LONG,2
22090033,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,,Team,ATT,2
22090034,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,,Team,YDS,-4
22090035,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,,Team,TD,0
22090036,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RUSHING,,Team,LONG,0
22090037,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Nate,Boland,CP-ATT-INT,7-11-0
22090038,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Nate,Boland,YDS,124
22090039,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Nate,Boland,TD,0
22090040,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Nate,Boland,LONG,34
22090041,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Kohle,Helle,CP-ATT-INT,6-9-0
22090042,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Kohle,Helle,YDS,100
22090043,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Kohle,Helle,TD,2
22090044,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Kohle,Helle,LONG,32
22090045,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Riley,Gray,CP-ATT-INT,5-7-0
22090046,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Riley,Gray,YDS,81
22090047,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Riley,Gray,TD,1
22090048,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PASSING,Riley,Gray,LONG,35
22090049,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Sam,Markham,REC,6
22090050,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Sam,Markham,YDS,98
22090051,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Sam,Markham,TD,2
22090052,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Sam,Markham,LONG,35
22090053,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Taylor,Cox,REC,3
22090054,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Taylor,Cox,YDS,72
22090055,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Taylor,Cox,TD,1
22090056,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Taylor,Cox,LONG,32
22090057,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Pj,Carey,REC,3
22090058,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Pj,Carey,YDS,54
22090059,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Pj,Carey,TD,0
22090060,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Pj,Carey,LONG,34
22090061,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Kyle,Gritsch,REC,3
22090062,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Kyle,Gritsch,YDS,44
22090063,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Kyle,Gritsch,TD,0
22090064,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Kyle,Gritsch,LONG,20
22090065,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jake,Wassenaar,REC,1
22090066,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jake,Wassenaar,YDS,19
22090067,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jake,Wassenaar,TD,0
22090068,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jake,Wassenaar,LONG,19
22090069,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jeremy,Shannon,REC,1
22090070,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jeremy,Shannon,YDS,10
22090071,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jeremy,Shannon,TD,0
22090072,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Jeremy,Shannon,LONG,10
22090073,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Tucker,Ormsby,REC,1
22090074,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Tucker,Ormsby,YDS,8
22090075,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Tucker,Ormsby,TD,0
22090076,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,RECEIVING,Tucker,Ormsby,LONG,8
22090077,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNTING,Cam,Kiner,NO,1
22090078,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNTING,Cam,Kiner,YDS,32
22090079,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNTING,Cam,Kiner,AVG,32.0
22090080,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNTING,Cam,Kiner,LONG,32
22090081,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Zack,Martinelli,NO,1
22090082,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Zack,Martinelli,YDS,25
22090083,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Zack,Martinelli,AVG,25.0
22090084,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Zack,Martinelli,LONG,25
22090085,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Taylor,Cox,NO,1
22090086,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Taylor,Cox,YDS,16
22090087,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Taylor,Cox,AVG,16.0
22090088,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Taylor,Cox,LONG,16
22090089,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Johnny,Higgins,NO,1
22090090,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Johnny,Higgins,YDS,1
22090091,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Johnny,Higgins,AVG,1.0
22090092,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,PUNT RETURNS,Johnny,Higgins,LONG,1
22090093,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,KICK RETURNS,Pat,Gray,NO,1
22090094,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,KICK RETURNS,Pat,Gray,YDS,99
22090095,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,KICK RETURNS,Pat,Gray,AVG,99.0
22090096,9/19/2015,D-III,Central (Iowa),Maranatha Bapt.,KICK RETURNS,Pat,Gray,LONG,99
22090097,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Ben,Weber,ATT,11
22090098,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Ben,Weber,YDS,3
22090099,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Ben,Weber,TD,0
22090100,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Ben,Weber,LONG,8
22090101,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Clint,Saxon,ATT,11
22090102,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Clint,Saxon,YDS,1
22090103,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Clint,Saxon,TD,0
22090104,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Clint,Saxon,LONG,4
22090105,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Tanner,Carrillo,ATT,2
22090106,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Tanner,Carrillo,YDS,-10
22090107,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Tanner,Carrillo,TD,0
22090108,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Tanner,Carrillo,LONG,2
22090109,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Craig,Griffith,ATT,2
22090110,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Craig,Griffith,YDS,-15
22090111,9/19/2015,D-III,Maranatha Bapt.,Central (Iowa),RUSHING,Craig,Griffith,TD,0
