ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
22030001,9/19/2015,D-III,Wooster,DePauw,RUSHING,Russell,Boston,ATT,18
22030002,9/19/2015,D-III,Wooster,DePauw,RUSHING,Russell,Boston,YDS,64
22030003,9/19/2015,D-III,Wooster,DePauw,RUSHING,Russell,Boston,TD,0
22030004,9/19/2015,D-III,Wooster,DePauw,RUSHING,Russell,Boston,LONG,13
22030005,9/19/2015,D-III,Wooster,DePauw,RUSHING,Antonio,Bailey,ATT,9
22030006,9/19/2015,D-III,Wooster,DePauw,RUSHING,Antonio,Bailey,YDS,62
22030007,9/19/2015,D-III,Wooster,DePauw,RUSHING,Antonio,Bailey,TD,1
22030008,9/19/2015,D-III,Wooster,DePauw,RUSHING,Antonio,Bailey,LONG,49
22030009,9/19/2015,D-III,Wooster,DePauw,RUSHING,Gary,Muntean,ATT,9
22030010,9/19/2015,D-III,Wooster,DePauw,RUSHING,Gary,Muntean,YDS,49
22030011,9/19/2015,D-III,Wooster,DePauw,RUSHING,Gary,Muntean,TD,1
22030012,9/19/2015,D-III,Wooster,DePauw,RUSHING,Gary,Muntean,LONG,30
22030013,9/19/2015,D-III,Wooster,DePauw,RUSHING,Connor,Allan,ATT,5
22030014,9/19/2015,D-III,Wooster,DePauw,RUSHING,Connor,Allan,YDS,15
22030015,9/19/2015,D-III,Wooster,DePauw,RUSHING,Connor,Allan,TD,0
22030016,9/19/2015,D-III,Wooster,DePauw,RUSHING,Connor,Allan,LONG,8
22030017,9/19/2015,D-III,Wooster,DePauw,RUSHING,David,Smith,ATT,7
22030018,9/19/2015,D-III,Wooster,DePauw,RUSHING,David,Smith,YDS,-21
22030019,9/19/2015,D-III,Wooster,DePauw,RUSHING,David,Smith,TD,0
22030020,9/19/2015,D-III,Wooster,DePauw,RUSHING,David,Smith,LONG,6
22030021,9/19/2015,D-III,Wooster,DePauw,PASSING,David,Smith,CP-ATT-INT,23-34-1
22030022,9/19/2015,D-III,Wooster,DePauw,PASSING,David,Smith,YDS,170
22030023,9/19/2015,D-III,Wooster,DePauw,PASSING,David,Smith,TD,1
22030024,9/19/2015,D-III,Wooster,DePauw,PASSING,David,Smith,LONG,19
22030025,9/19/2015,D-III,Wooster,DePauw,PASSING,Gary,Muntean,CP-ATT-INT,8-13-0
22030026,9/19/2015,D-III,Wooster,DePauw,PASSING,Gary,Muntean,YDS,52
22030027,9/19/2015,D-III,Wooster,DePauw,PASSING,Gary,Muntean,TD,0
22030028,9/19/2015,D-III,Wooster,DePauw,PASSING,Gary,Muntean,LONG,13
22030029,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Tyson,Vogel,REC,15
22030030,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Tyson,Vogel,YDS,104
22030031,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Tyson,Vogel,TD,1
22030032,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Tyson,Vogel,LONG,19
22030033,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Alex,Woods,REC,2
22030034,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Alex,Woods,YDS,24
22030035,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Alex,Woods,TD,0
22030036,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Alex,Woods,LONG,15
22030037,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Dan,Gorzynski,REC,3
22030038,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Dan,Gorzynski,YDS,22
22030039,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Dan,Gorzynski,TD,0
22030040,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Dan,Gorzynski,LONG,11
22030041,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Nate,Huwar,REC,3
22030042,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Nate,Huwar,YDS,21
22030043,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Nate,Huwar,TD,0
22030044,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Nate,Huwar,LONG,11
22030045,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jack,Reider,REC,2
22030046,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jack,Reider,YDS,18
22030047,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jack,Reider,TD,0
22030048,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jack,Reider,LONG,13
22030049,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Peyton,Graham,REC,1
22030050,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Peyton,Graham,YDS,12
22030051,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Peyton,Graham,TD,0
22030052,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Peyton,Graham,LONG,12
22030053,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Russell,Boston,REC,3
22030054,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Russell,Boston,YDS,8
22030055,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Russell,Boston,TD,0
22030056,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Russell,Boston,LONG,6
22030057,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jefferson,Zwers,REC,1
22030058,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jefferson,Zwers,YDS,8
22030059,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jefferson,Zwers,TD,0
22030060,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Jefferson,Zwers,LONG,8
22030061,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Antonio,Bailey,REC,1
22030062,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Antonio,Bailey,YDS,5
22030063,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Antonio,Bailey,TD,0
22030064,9/19/2015,D-III,Wooster,DePauw,RECEIVING,Antonio,Bailey,LONG,5
22030065,9/19/2015,D-III,Wooster,DePauw,PUNTING,Trevor,Bowden,NO,4
22030066,9/19/2015,D-III,Wooster,DePauw,PUNTING,Trevor,Bowden,YDS,125
22030067,9/19/2015,D-III,Wooster,DePauw,PUNTING,Trevor,Bowden,AVG,31.2
22030068,9/19/2015,D-III,Wooster,DePauw,PUNTING,Trevor,Bowden,LONG,41
22030069,9/19/2015,D-III,Wooster,DePauw,KICK RETURNS,Russell,Boston,NO,3
22030070,9/19/2015,D-III,Wooster,DePauw,KICK RETURNS,Russell,Boston,YDS,69
22030071,9/19/2015,D-III,Wooster,DePauw,KICK RETURNS,Russell,Boston,AVG,23.0
22030072,9/19/2015,D-III,Wooster,DePauw,KICK RETURNS,Russell,Boston,LONG,27
22030073,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jason,Kirchhoff,ATT,18
22030074,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jason,Kirchhoff,YDS,111
22030075,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jason,Kirchhoff,TD,1
22030076,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jason,Kirchhoff,LONG,17
22030077,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jack,Gruber,ATT,12
22030078,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jack,Gruber,YDS,61
22030079,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jack,Gruber,TD,0
22030080,9/19/2015,D-III,DePauw,Wooster,RUSHING,Jack,Gruber,LONG,15
22030081,9/19/2015,D-III,DePauw,Wooster,RUSHING,Matt,Hunt,ATT,7
22030082,9/19/2015,D-III,DePauw,Wooster,RUSHING,Matt,Hunt,YDS,61
22030083,9/19/2015,D-III,DePauw,Wooster,RUSHING,Matt,Hunt,TD,2
22030084,9/19/2015,D-III,DePauw,Wooster,RUSHING,Matt,Hunt,LONG,24
22030085,9/19/2015,D-III,DePauw,Wooster,RUSHING,Amen,Galley,ATT,6
22030086,9/19/2015,D-III,DePauw,Wooster,RUSHING,Amen,Galley,YDS,32
22030087,9/19/2015,D-III,DePauw,Wooster,RUSHING,Amen,Galley,TD,0
22030088,9/19/2015,D-III,DePauw,Wooster,RUSHING,Amen,Galley,LONG,13
22030089,9/19/2015,D-III,DePauw,Wooster,PASSING,Matt,Hunt,CP-ATT-INT,18-25-0
22030090,9/19/2015,D-III,DePauw,Wooster,PASSING,Matt,Hunt,YDS,264
22030091,9/19/2015,D-III,DePauw,Wooster,PASSING,Matt,Hunt,TD,4
22030092,9/19/2015,D-III,DePauw,Wooster,PASSING,Matt,Hunt,LONG,62
22030093,9/19/2015,D-III,DePauw,Wooster,PASSING,,Team,CP-ATT-INT,0-1-0
22030094,9/19/2015,D-III,DePauw,Wooster,PASSING,,Team,YDS,0
22030095,9/19/2015,D-III,DePauw,Wooster,PASSING,,Team,TD,0
22030096,9/19/2015,D-III,DePauw,Wooster,PASSING,,Team,LONG,0
22030097,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Jake,Hagan,REC,3
22030098,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Jake,Hagan,YDS,101
22030099,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Jake,Hagan,TD,2
22030100,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Jake,Hagan,LONG,62
22030101,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Connor,Jeffers,REC,3
22030102,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Connor,Jeffers,YDS,40
22030103,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Connor,Jeffers,TD,1
22030104,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Connor,Jeffers,LONG,22
22030105,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Nolan,Ayres,REC,3
22030106,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Nolan,Ayres,YDS,35
22030107,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Nolan,Ayres,TD,0
22030108,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Nolan,Ayres,LONG,15
22030109,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ryan,Grizzard,REC,1
22030110,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ryan,Grizzard,YDS,20
22030111,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ryan,Grizzard,TD,0
22030112,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ryan,Grizzard,LONG,20
22030113,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Amen,Galley,REC,2
22030114,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Amen,Galley,YDS,18
22030115,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Amen,Galley,TD,0
22030116,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Amen,Galley,LONG,13
22030117,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Andy,Hunt,REC,2
22030118,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Andy,Hunt,YDS,17
22030119,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Andy,Hunt,TD,0
22030120,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Andy,Hunt,LONG,10
22030121,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ben,Wilson,REC,2
22030122,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ben,Wilson,YDS,16
22030123,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ben,Wilson,TD,0
22030124,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Ben,Wilson,LONG,9
22030125,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Chase,Sadler,REC,1
22030126,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Chase,Sadler,YDS,11
22030127,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Chase,Sadler,TD,1
22030128,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Chase,Sadler,LONG,11
22030129,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Bil,Mcclamroch,REC,1
22030130,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Bil,Mcclamroch,YDS,6
22030131,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Bil,Mcclamroch,TD,0
22030132,9/19/2015,D-III,DePauw,Wooster,RECEIVING,Bil,Mcclamroch,LONG,6
22030133,9/19/2015,D-III,DePauw,Wooster,PUNTING,Marko,Adams,NO,3
22030134,9/19/2015,D-III,DePauw,Wooster,PUNTING,Marko,Adams,YDS,109
22030135,9/19/2015,D-III,DePauw,Wooster,PUNTING,Marko,Adams,AVG,36.3
22030136,9/19/2015,D-III,DePauw,Wooster,PUNTING,Marko,Adams,LONG,44
22030137,9/19/2015,D-III,DePauw,Wooster,PUNT RETURNS,Jason,Kirchhoff,NO,3
22030138,9/19/2015,D-III,DePauw,Wooster,PUNT RETURNS,Jason,Kirchhoff,YDS,27
22030139,9/19/2015,D-III,DePauw,Wooster,PUNT RETURNS,Jason,Kirchhoff,AVG,9.0
22030140,9/19/2015,D-III,DePauw,Wooster,PUNT RETURNS,Jason,Kirchhoff,LONG,16
22030141,9/19/2015,D-III,DePauw,Wooster,KICK RETURNS,Connor,Jeffers,NO,3
22030142,9/19/2015,D-III,DePauw,Wooster,KICK RETURNS,Connor,Jeffers,YDS,55
22030143,9/19/2015,D-III,DePauw,Wooster,KICK RETURNS,Connor,Jeffers,AVG,18.3
22030144,9/19/2015,D-III,DePauw,Wooster,KICK RETURNS,Connor,Jeffers,LONG,21
