ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
21818001,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Tre,Jones,ATT,16
21818002,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Tre,Jones,YDS,136
21818003,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Tre,Jones,TD,2
21818004,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Tre,Jones,LONG,81
21818005,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dale,Stewart,ATT,8
21818006,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dale,Stewart,YDS,77
21818007,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dale,Stewart,TD,1
21818008,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dale,Stewart,LONG,24
21818009,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,ATT,7
21818010,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,YDS,72
21818011,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,TD,1
21818012,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,LONG,31
21818013,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Kyle,Hoppy,ATT,6
21818014,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Kyle,Hoppy,YDS,39
21818015,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Kyle,Hoppy,TD,0
21818016,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Kyle,Hoppy,LONG,18
21818017,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Justin,Medley,ATT,2
21818018,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Justin,Medley,YDS,21
21818019,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Justin,Medley,TD,0
21818020,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Justin,Medley,LONG,11
21818021,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dan,Serignese,ATT,2
21818022,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dan,Serignese,YDS,15
21818023,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dan,Serignese,TD,0
21818024,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Dan,Serignese,LONG,13
21818025,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Aaron,Ertel,ATT,1
21818026,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Aaron,Ertel,YDS,6
21818027,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Aaron,Ertel,TD,0
21818028,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,Aaron,Ertel,LONG,6
21818029,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,ATT,3
21818030,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,YDS,-27
21818031,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,TD,0
21818032,9/5/2015,D-III,Buffalo State,Otterbein,RUSHING,,Team,LONG,0
21818033,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Kyle,Hoppy,CP-ATT-INT,8-15-0
21818034,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Kyle,Hoppy,YDS,88
21818035,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Kyle,Hoppy,TD,0
21818036,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Kyle,Hoppy,LONG,24
21818037,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Dan,Serignese,CP-ATT-INT,7-13-0
21818038,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Dan,Serignese,YDS,63
21818039,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Dan,Serignese,TD,0
21818040,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Dan,Serignese,LONG,15
21818041,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Aaron,Ertel,CP-ATT-INT,2-3-0
21818042,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Aaron,Ertel,YDS,11
21818043,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Aaron,Ertel,TD,0
21818044,9/5/2015,D-III,Buffalo State,Otterbein,PASSING,Aaron,Ertel,LONG,6
21818045,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Had,Bryant,REC,3
21818046,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Had,Bryant,YDS,44
21818047,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Had,Bryant,TD,0
21818048,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Had,Bryant,LONG,24
21818049,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Justin,Medley,REC,4
21818050,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Justin,Medley,YDS,35
21818051,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Justin,Medley,TD,0
21818052,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Justin,Medley,LONG,15
21818053,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Mad,Wesolowski,REC,2
21818054,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Mad,Wesolowski,YDS,20
21818055,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Mad,Wesolowski,TD,0
21818056,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Mad,Wesolowski,LONG,13
21818057,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Tre,Jones,REC,1
21818058,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Tre,Jones,YDS,16
21818059,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Tre,Jones,TD,0
21818060,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Tre,Jones,LONG,16
21818061,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Stephen,Johnson,REC,1
21818062,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Stephen,Johnson,YDS,15
21818063,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Stephen,Johnson,TD,0
21818064,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Stephen,Johnson,LONG,15
21818065,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Joe,Oca,REC,2
21818066,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Joe,Oca,YDS,12
21818067,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Joe,Oca,TD,0
21818068,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Joe,Oca,LONG,7
21818069,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Billy,Joiner,REC,2
21818070,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Billy,Joiner,YDS,11
21818071,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Billy,Joiner,TD,0
21818072,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Billy,Joiner,LONG,6
21818073,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Iaaiah,Clarke,REC,1
21818074,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Iaaiah,Clarke,YDS,7
21818075,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Iaaiah,Clarke,TD,0
21818076,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Iaaiah,Clarke,LONG,7
21818077,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Dale,Stewart,REC,1
21818078,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Dale,Stewart,YDS,2
21818079,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Dale,Stewart,TD,0
21818080,9/5/2015,D-III,Buffalo State,Otterbein,RECEIVING,Dale,Stewart,LONG,2
21818081,9/5/2015,D-III,Buffalo State,Otterbein,PUNTING,Ryan,Mutterer,NO,3
21818082,9/5/2015,D-III,Buffalo State,Otterbein,PUNTING,Ryan,Mutterer,YDS,102
21818083,9/5/2015,D-III,Buffalo State,Otterbein,PUNTING,Ryan,Mutterer,AVG,34.0
21818084,9/5/2015,D-III,Buffalo State,Otterbein,PUNTING,Ryan,Mutterer,LONG,40
21818085,9/5/2015,D-III,Buffalo State,Otterbein,PUNT RETURNS,Iaaiah,Clarke,NO,1
21818086,9/5/2015,D-III,Buffalo State,Otterbein,PUNT RETURNS,Iaaiah,Clarke,YDS,12
21818087,9/5/2015,D-III,Buffalo State,Otterbein,PUNT RETURNS,Iaaiah,Clarke,AVG,12.0
21818088,9/5/2015,D-III,Buffalo State,Otterbein,PUNT RETURNS,Iaaiah,Clarke,LONG,12
21818089,9/5/2015,D-III,Buffalo State,Otterbein,KICK RETURNS,Dale,Stewart,NO,1
21818090,9/5/2015,D-III,Buffalo State,Otterbein,KICK RETURNS,Dale,Stewart,YDS,16
21818091,9/5/2015,D-III,Buffalo State,Otterbein,KICK RETURNS,Dale,Stewart,AVG,16.0
21818092,9/5/2015,D-III,Buffalo State,Otterbein,KICK RETURNS,Dale,Stewart,LONG,16
21818093,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Speedy,Hammond,ATT,9
21818094,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Speedy,Hammond,YDS,17
21818095,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Speedy,Hammond,TD,0
21818096,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Speedy,Hammond,LONG,6
21818097,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,John,Pyles,ATT,4
21818098,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,John,Pyles,YDS,9
21818099,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,John,Pyles,TD,0
21818100,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,John,Pyles,LONG,3
21818101,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Dakota,Smith,ATT,2
21818102,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Dakota,Smith,YDS,9
21818103,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Dakota,Smith,TD,0
21818104,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Dakota,Smith,LONG,8
21818105,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Joey,Longhino,ATT,4
21818106,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Joey,Longhino,YDS,8
21818107,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Joey,Longhino,TD,0
21818108,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Joey,Longhino,LONG,9
21818109,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Cole,Benner,ATT,1
21818110,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Cole,Benner,YDS,5
21818111,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Cole,Benner,TD,0
21818112,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Cole,Benner,LONG,5
21818113,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Noah,Durst,ATT,0
21818114,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Noah,Durst,YDS,-6
21818115,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Noah,Durst,TD,0
21818116,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,Noah,Durst,LONG,0
21818117,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,,Team,ATT,1
21818118,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,,Team,YDS,-13
21818119,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,,Team,TD,0
21818120,9/5/2015,D-III,Otterbein,Buffalo State,RUSHING,,Team,LONG,0
