ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23499001,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Savant,ATT,25
23499002,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Savant,YDS,131
23499003,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Savant,TD,0
23499004,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Savant,LONG,18
23499005,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Palladino,ATT,7
23499006,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Palladino,YDS,28
23499007,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Palladino,TD,1
23499008,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Palladino,LONG,19
23499009,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Lamb,ATT,1
23499010,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Lamb,YDS,0
23499011,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Lamb,TD,0
23499012,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Nick,Lamb,LONG,0
23499013,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,,Team,ATT,2
23499014,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,,Team,YDS,0
23499015,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,,Team,TD,0
23499016,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,,Team,LONG,0
23499017,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Ryan,Delaney,ATT,1
23499018,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Ryan,Delaney,YDS,-1
23499019,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Ryan,Delaney,TD,0
23499020,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Ryan,Delaney,LONG,0
23499021,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Matt,Stickney,ATT,1
23499022,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Matt,Stickney,YDS,-6
23499023,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Matt,Stickney,TD,0
23499024,10/1/2016,D-III,Muhlenberg,Susquehanna,RUSHING,Matt,Stickney,LONG,0
23499025,10/1/2016,D-III,Muhlenberg,Susquehanna,PASSING,Nick,Palladino,CP-ATT-INT,13-29-1
23499026,10/1/2016,D-III,Muhlenberg,Susquehanna,PASSING,Nick,Palladino,YDS,270
23499027,10/1/2016,D-III,Muhlenberg,Susquehanna,PASSING,Nick,Palladino,TD,2
23499028,10/1/2016,D-III,Muhlenberg,Susquehanna,PASSING,Nick,Palladino,LONG,75
23499029,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Lamb,REC,5
23499030,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Lamb,YDS,132
23499031,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Lamb,TD,1
23499032,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Lamb,LONG,75
23499033,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Savant,REC,1
23499034,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Savant,YDS,73
23499035,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Savant,TD,1
23499036,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Nick,Savant,LONG,73
23499037,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Ryan,Delaney,REC,5
23499038,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Ryan,Delaney,YDS,51
23499039,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Ryan,Delaney,TD,0
23499040,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Ryan,Delaney,LONG,23
23499041,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Sean,Robbins,REC,1
23499042,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Sean,Robbins,YDS,9
23499043,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Sean,Robbins,TD,0
23499044,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Sean,Robbins,LONG,9
23499045,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Josiah,Wright,REC,1
23499046,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Josiah,Wright,YDS,5
23499047,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Josiah,Wright,TD,0
23499048,10/1/2016,D-III,Muhlenberg,Susquehanna,RECEIVING,Josiah,Wright,LONG,5
23499049,10/1/2016,D-III,Muhlenberg,Susquehanna,PUNTING,Anthony,Natale,NO,4
23499050,10/1/2016,D-III,Muhlenberg,Susquehanna,PUNTING,Anthony,Natale,YDS,164
23499051,10/1/2016,D-III,Muhlenberg,Susquehanna,PUNTING,Anthony,Natale,AVG,41.0
23499052,10/1/2016,D-III,Muhlenberg,Susquehanna,PUNTING,Anthony,Natale,LONG,53
23499053,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Ryan,Delaney,NO,3
23499054,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Ryan,Delaney,YDS,45
23499055,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Ryan,Delaney,AVG,15.0
23499056,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Ryan,Delaney,LONG,27
23499057,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Nick,Lamb,NO,4
23499058,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Nick,Lamb,YDS,138
23499059,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Nick,Lamb,AVG,34.5
23499060,10/1/2016,D-III,Muhlenberg,Susquehanna,KICK RETURNS,Nick,Lamb,LONG,91
23499061,10/1/2016,D-III,Susquehanna,Muhlenberg,RUSHING,Cameron,Ott,ATT,19
23499062,10/1/2016,D-III,Susquehanna,Muhlenberg,RUSHING,Cameron,Ott,YDS,106
23499063,10/1/2016,D-III,Susquehanna,Muhlenberg,RUSHING,Cameron,Ott,TD,0
23499064,10/1/2016,D-III,Susquehanna,Muhlenberg,RUSHING,Cameron,Ott,LONG,14
