ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23586001,10/1/2016,D-III,Occidental,Redlands,RUSHING,Max,Gruber,ATT,22
23586002,10/1/2016,D-III,Occidental,Redlands,RUSHING,Max,Gruber,YDS,101
23586003,10/1/2016,D-III,Occidental,Redlands,RUSHING,Max,Gruber,TD,1
23586004,10/1/2016,D-III,Occidental,Redlands,RUSHING,Max,Gruber,LONG,20
23586005,10/1/2016,D-III,Occidental,Redlands,RUSHING,Bryan,Scott,ATT,13
23586006,10/1/2016,D-III,Occidental,Redlands,RUSHING,Bryan,Scott,YDS,61
23586007,10/1/2016,D-III,Occidental,Redlands,RUSHING,Bryan,Scott,TD,1
23586008,10/1/2016,D-III,Occidental,Redlands,RUSHING,Bryan,Scott,LONG,13
23586009,10/1/2016,D-III,Occidental,Redlands,RUSHING,C,Rom-toribio,ATT,5
23586010,10/1/2016,D-III,Occidental,Redlands,RUSHING,C,Rom-toribio,YDS,14
23586011,10/1/2016,D-III,Occidental,Redlands,RUSHING,C,Rom-toribio,TD,0
23586012,10/1/2016,D-III,Occidental,Redlands,RUSHING,C,Rom-toribio,LONG,7
23586013,10/1/2016,D-III,Occidental,Redlands,RUSHING,Austin,Santino,ATT,1
23586014,10/1/2016,D-III,Occidental,Redlands,RUSHING,Austin,Santino,YDS,4
23586015,10/1/2016,D-III,Occidental,Redlands,RUSHING,Austin,Santino,TD,0
23586016,10/1/2016,D-III,Occidental,Redlands,RUSHING,Austin,Santino,LONG,4
23586017,10/1/2016,D-III,Occidental,Redlands,PASSING,Bryan,Scott,CP-ATT-INT,29-46-0
23586018,10/1/2016,D-III,Occidental,Redlands,PASSING,Bryan,Scott,YDS,311
23586019,10/1/2016,D-III,Occidental,Redlands,PASSING,Bryan,Scott,TD,2
23586020,10/1/2016,D-III,Occidental,Redlands,PASSING,Bryan,Scott,LONG,36
23586021,10/1/2016,D-III,Occidental,Redlands,RECEIVING,D,Gittelman-eg,REC,10
23586022,10/1/2016,D-III,Occidental,Redlands,RECEIVING,D,Gittelman-eg,YDS,111
23586023,10/1/2016,D-III,Occidental,Redlands,RECEIVING,D,Gittelman-eg,TD,0
23586024,10/1/2016,D-III,Occidental,Redlands,RECEIVING,D,Gittelman-eg,LONG,22
23586025,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Cordell,Harris,REC,8
23586026,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Cordell,Harris,YDS,73
23586027,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Cordell,Harris,TD,1
23586028,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Cordell,Harris,LONG,36
23586029,10/1/2016,D-III,Occidental,Redlands,RECEIVING,B,Hohengarten,REC,2
23586030,10/1/2016,D-III,Occidental,Redlands,RECEIVING,B,Hohengarten,YDS,56
23586031,10/1/2016,D-III,Occidental,Redlands,RECEIVING,B,Hohengarten,TD,0
23586032,10/1/2016,D-III,Occidental,Redlands,RECEIVING,B,Hohengarten,LONG,33
23586033,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Carlton,O'neal,REC,4
23586034,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Carlton,O'neal,YDS,35
23586035,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Carlton,O'neal,TD,1
23586036,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Carlton,O'neal,LONG,13
23586037,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Max,Gruber,REC,3
23586038,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Max,Gruber,YDS,27
23586039,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Max,Gruber,TD,0
23586040,10/1/2016,D-III,Occidental,Redlands,RECEIVING,Max,Gruber,LONG,12
23586041,10/1/2016,D-III,Occidental,Redlands,RECEIVING,C,Rom-toribio,REC,1
23586042,10/1/2016,D-III,Occidental,Redlands,RECEIVING,C,Rom-toribio,YDS,5
23586043,10/1/2016,D-III,Occidental,Redlands,RECEIVING,C,Rom-toribio,TD,0
