ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23838001,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Sean,Bowman,ATT,19
23838002,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Sean,Bowman,YDS,59
23838003,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Sean,Bowman,TD,1
23838004,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Sean,Bowman,LONG,12
23838005,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Kelly,Hall,ATT,6
23838006,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Kelly,Hall,YDS,33
23838007,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Kelly,Hall,TD,0
23838008,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Kelly,Hall,LONG,10
23838009,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Travis,Jones,ATT,4
23838010,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Travis,Jones,YDS,18
23838011,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Travis,Jones,TD,0
23838012,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,Travis,Jones,LONG,10
23838013,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,,Team,ATT,2
23838014,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,,Team,YDS,-22
23838015,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,,Team,TD,0
23838016,10/22/2016,D-III,Averett,Maryville (Tenn.),RUSHING,,Team,LONG,0
23838017,10/22/2016,D-III,Averett,Maryville (Tenn.),PASSING,Kelly,Hall,CP-ATT-INT,28-45-1
23838018,10/22/2016,D-III,Averett,Maryville (Tenn.),PASSING,Kelly,Hall,YDS,323
23838019,10/22/2016,D-III,Averett,Maryville (Tenn.),PASSING,Kelly,Hall,TD,2
23838020,10/22/2016,D-III,Averett,Maryville (Tenn.),PASSING,Kelly,Hall,LONG,40
23838021,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Terrance,Owens,REC,11
23838022,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Terrance,Owens,YDS,142
23838023,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Terrance,Owens,TD,2
23838024,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Terrance,Owens,LONG,40
23838025,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Travis,Jones,REC,9
23838026,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Travis,Jones,YDS,84
23838027,10/22/2016,D-III,Averett,Maryville (Tenn.),RECEIVING,Travis,Jones,TD,0
