ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23932001,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Ben,Buthe,ATT,24
23932002,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Ben,Buthe,YDS,145
23932003,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Ben,Buthe,TD,0
23932004,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Ben,Buthe,LONG,18
23932005,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Zach,Edwards,ATT,11
23932006,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Zach,Edwards,YDS,25
23932007,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Zach,Edwards,TD,0
23932008,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Zach,Edwards,LONG,11
23932009,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Eric,Soderberg,ATT,6
23932010,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Eric,Soderberg,YDS,23
23932011,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Eric,Soderberg,TD,0
23932012,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RUSHING,Eric,Soderberg,LONG,16
23932013,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Zach,Edwards,CP-ATT-INT,7-17-1
23932014,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Zach,Edwards,YDS,115
23932015,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Zach,Edwards,TD,2
23932016,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Zach,Edwards,LONG,24
23932017,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Eric,Soderberg,CP-ATT-INT,5-10-2
23932018,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Eric,Soderberg,YDS,52
23932019,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Eric,Soderberg,TD,1
23932020,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Eric,Soderberg,LONG,18
23932021,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Aaron,Olson,CP-ATT-INT,0-1-1
23932022,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Aaron,Olson,YDS,0
23932023,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Aaron,Olson,TD,0
23932024,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PASSING,Aaron,Olson,LONG,0
23932025,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Aaron,Olson,REC,6
23932026,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Aaron,Olson,YDS,101
23932027,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Aaron,Olson,TD,3
23932028,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Aaron,Olson,LONG,24
23932029,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Tj,Williams,REC,4
23932030,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Tj,Williams,YDS,51
23932031,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Tj,Williams,TD,0
23932032,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Tj,Williams,LONG,22
23932033,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Ben,Buthe,REC,2
23932034,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Ben,Buthe,YDS,15
23932035,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Ben,Buthe,TD,0
23932036,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,RECEIVING,Ben,Buthe,LONG,8
23932037,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNTING,Jason,Senger,NO,3
23932038,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNTING,Jason,Senger,YDS,108
23932039,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNTING,Jason,Senger,AVG,36.0
23932040,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNTING,Jason,Senger,LONG,41
23932041,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Ben,Buthe,NO,1
23932042,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Ben,Buthe,YDS,44
23932043,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Ben,Buthe,AVG,44.0
23932044,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Ben,Buthe,LONG,44
23932045,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Aaron,Olson,NO,1
23932046,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Aaron,Olson,YDS,0
23932047,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Aaron,Olson,AVG,0.0
23932048,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Aaron,Olson,LONG,0
23932049,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Kenneth,Jinkins,NO,1
23932050,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Kenneth,Jinkins,YDS,11
23932051,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Kenneth,Jinkins,AVG,11.0
23932052,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,PUNT RETURNS,Kenneth,Jinkins,LONG,11
23932053,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Kenneth,Jinkins,NO,3
23932054,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Kenneth,Jinkins,YDS,64
23932055,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Kenneth,Jinkins,AVG,21.3
23932056,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Kenneth,Jinkins,LONG,26
23932057,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Jack,Peru,NO,4
23932058,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Jack,Peru,YDS,115
23932059,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Jack,Peru,AVG,28.8
23932060,10/22/2016,D-III,St. Scholastica,Minnesota-Morris,KICK RETURNS,Jack,Peru,LONG,38
23932061,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,J,Cummings,ATT,14
23932062,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,J,Cummings,YDS,41
23932063,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,J,Cummings,TD,0
23932064,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,J,Cummings,LONG,9
23932065,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,D,Mavencamp,ATT,17
23932066,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,D,Mavencamp,YDS,16
23932067,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,D,Mavencamp,TD,0
23932068,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,D,Mavencamp,LONG,16
23932069,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,S,Mejia,ATT,4
23932070,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,S,Mejia,YDS,8
23932071,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,S,Mejia,TD,0
23932072,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,S,Mejia,LONG,6
23932073,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,T,Holleman,ATT,1
23932074,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,T,Holleman,YDS,4
23932075,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,T,Holleman,TD,0
23932076,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,T,Holleman,LONG,4
23932077,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,E,Guffey,ATT,1
23932078,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,E,Guffey,YDS,4
23932079,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,E,Guffey,TD,1
23932080,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,E,Guffey,LONG,4
23932081,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,,Team,ATT,1
23932082,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,,Team,YDS,-1
23932083,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,,Team,TD,0
23932084,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RUSHING,,Team,LONG,0
23932085,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PASSING,D,Mavencamp,CP-ATT-INT,17-28-0
23932086,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PASSING,D,Mavencamp,YDS,183
23932087,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PASSING,D,Mavencamp,TD,3
23932088,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PASSING,D,Mavencamp,LONG,37
23932089,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,E,Guffey,REC,7
23932090,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,E,Guffey,YDS,97
23932091,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,E,Guffey,TD,2
23932092,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,E,Guffey,LONG,37
23932093,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,T,Holleman,REC,4
23932094,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,T,Holleman,YDS,44
23932095,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,T,Holleman,TD,0
23932096,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,T,Holleman,LONG,15
23932097,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,K,Petermeier,REC,3
23932098,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,K,Petermeier,YDS,32
23932099,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,K,Petermeier,TD,0
23932100,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,K,Petermeier,LONG,13
23932101,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,S,Severson,REC,1
23932102,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,S,Severson,YDS,8
23932103,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,S,Severson,TD,0
23932104,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,S,Severson,LONG,8
23932105,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,J,Cummings,REC,2
23932106,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,J,Cummings,YDS,2
23932107,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,J,Cummings,TD,1
23932108,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,RECEIVING,J,Cummings,LONG,6
23932109,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PUNTING,D,Shipley,NO,6
23932110,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PUNTING,D,Shipley,YDS,238
23932111,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PUNTING,D,Shipley,AVG,39.7
23932112,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,PUNTING,D,Shipley,LONG,51
23932113,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,C,Erickson,NO,1
23932114,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,C,Erickson,YDS,18
23932115,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,C,Erickson,AVG,18.0
23932116,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,C,Erickson,LONG,18
23932117,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,E,Guffey,NO,1
23932118,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,E,Guffey,YDS,28
23932119,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,E,Guffey,AVG,28.0
23932120,10/22/2016,D-III,Minnesota-Morris,St. Scholastica,KICK RETURNS,E,Guffey,LONG,28
