ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23906001,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Sean,Studer,ATT,23
23906002,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Sean,Studer,YDS,122
23906003,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Sean,Studer,TD,0
23906004,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Sean,Studer,LONG,19
23906005,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Tom,Kelly,ATT,17
23906006,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Tom,Kelly,YDS,66
23906007,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Tom,Kelly,TD,0
23906008,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Tom,Kelly,LONG,7
23906009,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Q,Buschbacher,ATT,6
23906010,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Q,Buschbacher,YDS,31
23906011,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Q,Buschbacher,TD,0
23906012,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Q,Buschbacher,LONG,12
23906013,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Wyatt,Thompson,ATT,2
23906014,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Wyatt,Thompson,YDS,5
23906015,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Wyatt,Thompson,TD,0
23906016,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,Wyatt,Thompson,LONG,5
23906017,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,,Team,ATT,1
23906018,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,,Team,YDS,-2
23906019,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,,Team,TD,0
23906020,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RUSHING,,Team,LONG,0
23906021,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,PASSING,Tom,Kelly,CP-ATT-INT,10-19-0
23906022,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,PASSING,Tom,Kelly,YDS,84
23906023,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,PASSING,Tom,Kelly,TD,1
23906024,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,PASSING,Tom,Kelly,LONG,16
23906025,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RECEIVING,Patrick,Sheehan,REC,3
23906026,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RECEIVING,Patrick,Sheehan,YDS,30
23906027,10/22/2016,D-III,Wis.-Platteville,Wis.-Oshkosh,RECEIVING,Patrick,Sheehan,TD,0
