ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23976001,10/29/2016,D-III,Knox,Lake Forest,RUSHING,M,Mccaffrey,ATT,13
23976002,10/29/2016,D-III,Knox,Lake Forest,RUSHING,M,Mccaffrey,YDS,87
23976003,10/29/2016,D-III,Knox,Lake Forest,RUSHING,M,Mccaffrey,TD,1
23976004,10/29/2016,D-III,Knox,Lake Forest,RUSHING,M,Mccaffrey,LONG,28
23976005,10/29/2016,D-III,Knox,Lake Forest,RUSHING,B,Westfall,ATT,18
23976006,10/29/2016,D-III,Knox,Lake Forest,RUSHING,B,Westfall,YDS,60
23976007,10/29/2016,D-III,Knox,Lake Forest,RUSHING,B,Westfall,TD,0
23976008,10/29/2016,D-III,Knox,Lake Forest,RUSHING,B,Westfall,LONG,10
23976009,10/29/2016,D-III,Knox,Lake Forest,RUSHING,J,Auger,ATT,7
23976010,10/29/2016,D-III,Knox,Lake Forest,RUSHING,J,Auger,YDS,21
23976011,10/29/2016,D-III,Knox,Lake Forest,RUSHING,J,Auger,TD,0
23976012,10/29/2016,D-III,Knox,Lake Forest,RUSHING,J,Auger,LONG,10
23976013,10/29/2016,D-III,Knox,Lake Forest,RUSHING,K,Shutter,ATT,2
23976014,10/29/2016,D-III,Knox,Lake Forest,RUSHING,K,Shutter,YDS,15
23976015,10/29/2016,D-III,Knox,Lake Forest,RUSHING,K,Shutter,TD,0
23976016,10/29/2016,D-III,Knox,Lake Forest,RUSHING,K,Shutter,LONG,11
23976017,10/29/2016,D-III,Knox,Lake Forest,RUSHING,D,James,ATT,1
23976018,10/29/2016,D-III,Knox,Lake Forest,RUSHING,D,James,YDS,11
23976019,10/29/2016,D-III,Knox,Lake Forest,RUSHING,D,James,TD,0
23976020,10/29/2016,D-III,Knox,Lake Forest,RUSHING,D,James,LONG,11
23976021,10/29/2016,D-III,Knox,Lake Forest,RUSHING,,Team,ATT,2
23976022,10/29/2016,D-III,Knox,Lake Forest,RUSHING,,Team,YDS,-7
23976023,10/29/2016,D-III,Knox,Lake Forest,RUSHING,,Team,TD,0
23976024,10/29/2016,D-III,Knox,Lake Forest,RUSHING,,Team,LONG,0
23976025,10/29/2016,D-III,Knox,Lake Forest,PASSING,M,Mccaffrey,CP-ATT-INT,15-27-0
23976026,10/29/2016,D-III,Knox,Lake Forest,PASSING,M,Mccaffrey,YDS,140
23976027,10/29/2016,D-III,Knox,Lake Forest,PASSING,M,Mccaffrey,TD,0
23976028,10/29/2016,D-III,Knox,Lake Forest,PASSING,M,Mccaffrey,LONG,24
23976029,10/29/2016,D-III,Knox,Lake Forest,PASSING,K,Shutter,CP-ATT-INT,3-5-0
23976030,10/29/2016,D-III,Knox,Lake Forest,PASSING,K,Shutter,YDS,23
23976031,10/29/2016,D-III,Knox,Lake Forest,PASSING,K,Shutter,TD,1
23976032,10/29/2016,D-III,Knox,Lake Forest,PASSING,K,Shutter,LONG,12
23976033,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,D,James,REC,6
23976034,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,D,James,YDS,63
23976035,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,D,James,TD,1
23976036,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,D,James,LONG,17
23976037,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,J,Auger,REC,5
23976038,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,J,Auger,YDS,50
23976039,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,J,Auger,TD,0
23976040,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,J,Auger,LONG,24
23976041,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,P,Marzolino,REC,3
23976042,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,P,Marzolino,YDS,39
23976043,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,P,Marzolino,TD,0
23976044,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,P,Marzolino,LONG,18
23976045,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Hamilton,REC,2
23976046,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Hamilton,YDS,10
23976047,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Hamilton,TD,0
23976048,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Hamilton,LONG,6
23976049,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,B,Raab,REC,1
23976050,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,B,Raab,YDS,1
23976051,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,B,Raab,TD,0
23976052,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,B,Raab,LONG,1
23976053,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Holmes,REC,1
23976054,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Holmes,YDS,0
23976055,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Holmes,TD,0
23976056,10/29/2016,D-III,Knox,Lake Forest,RECEIVING,M,Holmes,LONG,0
23976057,10/29/2016,D-III,Knox,Lake Forest,PUNTING,G,Rau,NO,6
23976058,10/29/2016,D-III,Knox,Lake Forest,PUNTING,G,Rau,YDS,174
23976059,10/29/2016,D-III,Knox,Lake Forest,PUNTING,G,Rau,AVG,29.0
23976060,10/29/2016,D-III,Knox,Lake Forest,PUNTING,G,Rau,LONG,40
23976061,10/29/2016,D-III,Knox,Lake Forest,KICK RETURNS,D,James,NO,6
23976062,10/29/2016,D-III,Knox,Lake Forest,KICK RETURNS,D,James,YDS,89
23976063,10/29/2016,D-III,Knox,Lake Forest,KICK RETURNS,D,James,AVG,14.8
23976064,10/29/2016,D-III,Knox,Lake Forest,KICK RETURNS,D,James,LONG,22
23976065,10/29/2016,D-III,Lake Forest,Knox,RUSHING,Joey,Valdivia,ATT,14
23976066,10/29/2016,D-III,Lake Forest,Knox,RUSHING,Joey,Valdivia,YDS,203
23976067,10/29/2016,D-III,Lake Forest,Knox,RUSHING,Joey,Valdivia,TD,6
23976068,10/29/2016,D-III,Lake Forest,Knox,RUSHING,Joey,Valdivia,LONG,45
23976069,10/29/2016,D-III,Lake Forest,Knox,RUSHING,Charlie,Quinn,ATT,12
