ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24033001,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Ryan,Wilder,ATT,13
24033002,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Ryan,Wilder,YDS,34
24033003,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Ryan,Wilder,TD,1
24033004,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Ryan,Wilder,LONG,11
24033005,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Travon,Holder,ATT,10
24033006,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Travon,Holder,YDS,6
24033007,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Travon,Holder,TD,0
24033008,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Travon,Holder,LONG,5
24033009,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,S,Brathwaite,ATT,6
24033010,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,S,Brathwaite,YDS,4
24033011,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,S,Brathwaite,TD,0
24033012,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,S,Brathwaite,LONG,7
24033013,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Justin,Beck,ATT,7
24033014,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Justin,Beck,YDS,1
24033015,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Justin,Beck,TD,0
24033016,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Justin,Beck,LONG,12
24033017,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Duane,Roberts,ATT,1
24033018,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Duane,Roberts,YDS,1
24033019,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Duane,Roberts,TD,0
24033020,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Duane,Roberts,LONG,1
24033021,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Evan,Garvey,ATT,3
24033022,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Evan,Garvey,YDS,-2
24033023,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Evan,Garvey,TD,0
24033024,10/29/2016,D-III,Westfield State,Fitchburg State,RUSHING,Evan,Garvey,LONG,1
24033025,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,Justin,Beck,CP-ATT-INT,5-16-1
24033026,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,Justin,Beck,YDS,43
24033027,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,Justin,Beck,TD,0
24033028,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,Justin,Beck,LONG,21
24033029,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,S,Brathwaite,CP-ATT-INT,3-6-0
24033030,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,S,Brathwaite,YDS,30
24033031,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,S,Brathwaite,TD,0
24033032,10/29/2016,D-III,Westfield State,Fitchburg State,PASSING,S,Brathwaite,LONG,29
24033033,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Cam,Card,REC,4
24033034,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Cam,Card,YDS,47
24033035,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Cam,Card,TD,0
24033036,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Cam,Card,LONG,29
24033037,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Matt,Thall,REC,2
24033038,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Matt,Thall,YDS,17
24033039,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Matt,Thall,TD,0
24033040,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Matt,Thall,LONG,21
24033041,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Tyler,Bevan,REC,1
24033042,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Tyler,Bevan,YDS,11
24033043,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Tyler,Bevan,TD,0
24033044,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Tyler,Bevan,LONG,11
24033045,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Travon,Holder,REC,1
24033046,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Travon,Holder,YDS,-2
24033047,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Travon,Holder,TD,0
24033048,10/29/2016,D-III,Westfield State,Fitchburg State,RECEIVING,Travon,Holder,LONG,0
24033049,10/29/2016,D-III,Westfield State,Fitchburg State,PUNTING,John,Ollari,NO,8
24033050,10/29/2016,D-III,Westfield State,Fitchburg State,PUNTING,John,Ollari,YDS,301
24033051,10/29/2016,D-III,Westfield State,Fitchburg State,PUNTING,John,Ollari,AVG,37.6
24033052,10/29/2016,D-III,Westfield State,Fitchburg State,PUNTING,John,Ollari,LONG,50
24033053,10/29/2016,D-III,Westfield State,Fitchburg State,PUNT RETURNS,Ryan,Wilder,NO,1
24033054,10/29/2016,D-III,Westfield State,Fitchburg State,PUNT RETURNS,Ryan,Wilder,YDS,4
24033055,10/29/2016,D-III,Westfield State,Fitchburg State,PUNT RETURNS,Ryan,Wilder,AVG,4.0
24033056,10/29/2016,D-III,Westfield State,Fitchburg State,PUNT RETURNS,Ryan,Wilder,LONG,4
24033057,10/29/2016,D-III,Westfield State,Fitchburg State,KICK RETURNS,Evan,Garvey,NO,2
24033058,10/29/2016,D-III,Westfield State,Fitchburg State,KICK RETURNS,Evan,Garvey,YDS,66
24033059,10/29/2016,D-III,Westfield State,Fitchburg State,KICK RETURNS,Evan,Garvey,AVG,33.0
24033060,10/29/2016,D-III,Westfield State,Fitchburg State,KICK RETURNS,Evan,Garvey,LONG,49
24033061,10/29/2016,D-III,Westfield State,Fitchburg State,KICK RETURNS,Duane,Roberts,NO,2
