ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24318001,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,ATT,21
24318002,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,YDS,39
24318003,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,TD,0
24318004,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,LONG,16
24318005,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Dezmon,Eddie,ATT,2
24318006,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Dezmon,Eddie,YDS,11
24318007,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Dezmon,Eddie,TD,0
24318008,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Dezmon,Eddie,LONG,2
24318009,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Eldrada,Meeks,ATT,2
24318010,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Eldrada,Meeks,YDS,-2
24318011,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Eldrada,Meeks,TD,0
24318012,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,Eldrada,Meeks,LONG,0
24318013,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,ATT,1
24318014,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,YDS,-21
24318015,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,TD,0
24318016,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RUSHING,,Team,LONG,0
24318017,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,,Team,CP-ATT-INT,18-33-1
24318018,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,,Team,YDS,339
24318019,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,,Team,TD,3
24318020,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,,Team,LONG,93
24318021,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,Jody,Harrison,CP-ATT-INT,0-1-0
24318022,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,Jody,Harrison,YDS,0
24318023,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,Jody,Harrison,TD,0
24318024,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PASSING,Jody,Harrison,LONG,0
24318025,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Kezlow,Smith,REC,6
24318026,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Kezlow,Smith,YDS,187
24318027,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Kezlow,Smith,TD,1
24318028,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Kezlow,Smith,LONG,93
24318029,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Jody,Harrison,REC,5
24318030,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Jody,Harrison,YDS,101
24318031,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Jody,Harrison,TD,1
24318032,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Jody,Harrison,LONG,57
24318033,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Michael,Wynn,REC,3
24318034,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Michael,Wynn,YDS,20
24318035,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Michael,Wynn,TD,1
24318036,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Michael,Wynn,LONG,13
24318037,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmon,Eddie,REC,2
24318038,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmon,Eddie,YDS,14
24318039,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmon,Eddie,TD,0
24318040,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmon,Eddie,LONG,9
24318041,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmen,Morse,REC,1
24318042,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmen,Morse,YDS,13
24318043,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmen,Morse,TD,0
24318044,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,Dezmen,Morse,LONG,13
24318045,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,,Team,REC,1
24318046,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,,Team,YDS,4
24318047,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,,Team,TD,0
24318048,11/19/2016,D-III,Lakeland,Wis.-Whitewater,RECEIVING,,Team,LONG,4
24318049,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PUNTING,,Team,NO,6
24318050,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PUNTING,,Team,YDS,154
24318051,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PUNTING,,Team,AVG,25.7
24318052,11/19/2016,D-III,Lakeland,Wis.-Whitewater,PUNTING,,Team,LONG,34
24318053,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Michael,Wynn,NO,7
24318054,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Michael,Wynn,YDS,120
24318055,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Michael,Wynn,AVG,17.1
24318056,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Michael,Wynn,LONG,29
24318057,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Kezlow,Smith,NO,1
24318058,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Kezlow,Smith,YDS,43
24318059,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Kezlow,Smith,AVG,43.0
24318060,11/19/2016,D-III,Lakeland,Wis.-Whitewater,KICK RETURNS,Kezlow,Smith,LONG,43
24318061,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Josh,Ringelberg,ATT,27
24318062,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Josh,Ringelberg,YDS,142
24318063,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Josh,Ringelberg,TD,3
24318064,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Josh,Ringelberg,LONG,45
24318065,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Cam,Maly,ATT,11
24318066,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Cam,Maly,YDS,44
24318067,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Cam,Maly,TD,0
24318068,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Cam,Maly,LONG,12
24318069,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Ronny,Ponick,ATT,9
24318070,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Ronny,Ponick,YDS,36
24318071,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Ronny,Ponick,TD,0
24318072,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,Ronny,Ponick,LONG,10
24318073,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,J,Prostinak,ATT,6
24318074,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,J,Prostinak,YDS,28
24318075,11/19/2016,D-III,Wis.-Whitewater,Lakeland,RUSHING,J,Prostinak,TD,0
