ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
24180001,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Canton,Meadows,ATT,10
24180002,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Canton,Meadows,YDS,28
24180003,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Canton,Meadows,TD,0
24180004,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Canton,Meadows,LONG,9
24180005,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Lawrence,Watson,ATT,1
24180006,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Lawrence,Watson,YDS,23
24180007,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Lawrence,Watson,TD,0
24180008,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Lawrence,Watson,LONG,23
24180009,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tarik,Wallace,ATT,2
24180010,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tarik,Wallace,YDS,6
24180011,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tarik,Wallace,TD,0
24180012,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tarik,Wallace,LONG,5
24180013,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Alvin,Anthony,ATT,1
24180014,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Alvin,Anthony,YDS,2
24180015,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Alvin,Anthony,TD,0
24180016,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Alvin,Anthony,LONG,2
24180017,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Joell,Dixon,ATT,3
24180018,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Joell,Dixon,YDS,0
24180019,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Joell,Dixon,TD,0
24180020,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Joell,Dixon,LONG,3
24180021,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Timel,Benton,ATT,3
24180022,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Timel,Benton,YDS,-2
24180023,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Timel,Benton,TD,0
24180024,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Timel,Benton,LONG,3
24180025,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Elisha,Spinosi,ATT,1
24180026,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Elisha,Spinosi,YDS,-2
24180027,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Elisha,Spinosi,TD,0
24180028,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Elisha,Spinosi,LONG,0
24180029,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tony,Libit,ATT,2
24180030,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tony,Libit,YDS,-5
24180031,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tony,Libit,TD,0
24180032,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Tony,Libit,LONG,2
24180033,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,A,Mckinney,ATT,13
24180034,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,A,Mckinney,YDS,-12
24180035,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,A,Mckinney,TD,0
24180036,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,A,Mckinney,LONG,5
24180037,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Spencer,Maples,ATT,1
24180038,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Spencer,Maples,YDS,-17
24180039,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Spencer,Maples,TD,0
24180040,11/5/2016,D-III,Gallaudet,Anna Maria,RUSHING,Spencer,Maples,LONG,0
24180041,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,A,Mckinney,CP-ATT-INT,7-24-4
24180042,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,A,Mckinney,YDS,58
24180043,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,A,Mckinney,TD,0
24180044,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,A,Mckinney,LONG,11
24180045,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,Tony,Libit,CP-ATT-INT,3-6-0
24180046,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,Tony,Libit,YDS,32
24180047,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,Tony,Libit,TD,1
24180048,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,Tony,Libit,LONG,18
24180049,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,Timel,Benton,CP-ATT-INT,1-1-0
24180050,11/5/2016,D-III,Gallaudet,Anna Maria,PASSING,Timel,Benton,YDS,3
