ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23261001,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,P,Williams,ATT,14
23261002,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,P,Williams,YDS,41
23261003,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,P,Williams,TD,1
23261004,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,P,Williams,LONG,14
23261005,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,,Team,ATT,8
23261006,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,,Team,YDS,22
23261007,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,,Team,TD,0
23261008,9/10/2016,D-III,Mt. St. Joseph,DePauw,RUSHING,,Team,LONG,4
23261009,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,CP-ATT-INT,24-37-2
23261010,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,YDS,257
23261011,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,TD,1
23261012,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,LONG,37
23261013,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,P,Williams,CP-ATT-INT,0-1-0
23261014,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,P,Williams,YDS,0
23261015,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,P,Williams,TD,0
23261016,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,P,Williams,LONG,0
23261017,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,CP-ATT-INT,0-2-1
23261018,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,YDS,0
23261019,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,TD,0
23261020,9/10/2016,D-III,Mt. St. Joseph,DePauw,PASSING,,Team,LONG,0
23261021,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,REC,5
23261022,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,YDS,86
23261023,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,TD,1
23261024,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,LONG,37
23261025,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,P,Williams,REC,2
23261026,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,P,Williams,YDS,32
23261027,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,P,Williams,TD,0
23261028,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,P,Williams,LONG,19
23261029,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,REC,3
23261030,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,YDS,25
23261031,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,TD,0
23261032,9/10/2016,D-III,Mt. St. Joseph,DePauw,RECEIVING,,Team,LONG,11
23261033,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNTING,,Team,NO,7
23261034,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNTING,,Team,YDS,253
23261035,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNTING,,Team,AVG,36.1
23261036,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNTING,,Team,LONG,53
23261037,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNT RETURNS,,Team,NO,3
23261038,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNT RETURNS,,Team,YDS,49
23261039,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNT RETURNS,,Team,AVG,16.3
23261040,9/10/2016,D-III,Mt. St. Joseph,DePauw,PUNT RETURNS,,Team,LONG,21
23261041,9/10/2016,D-III,Mt. St. Joseph,DePauw,KICK RETURNS,,Team,NO,1
23261042,9/10/2016,D-III,Mt. St. Joseph,DePauw,KICK RETURNS,,Team,YDS,29
23261043,9/10/2016,D-III,Mt. St. Joseph,DePauw,KICK RETURNS,,Team,AVG,29.0
23261044,9/10/2016,D-III,Mt. St. Joseph,DePauw,KICK RETURNS,,Team,LONG,29
23261045,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Jason,Kirchhoff,ATT,22
23261046,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Jason,Kirchhoff,YDS,102
23261047,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Jason,Kirchhoff,TD,1
23261048,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Jason,Kirchhoff,LONG,26
23261049,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Matt,Hunt,ATT,15
23261050,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Matt,Hunt,YDS,61
23261051,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Matt,Hunt,TD,0
23261052,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Matt,Hunt,LONG,13
23261053,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Hunter,Sego,ATT,1
23261054,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Hunter,Sego,YDS,24
23261055,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Hunter,Sego,TD,0
23261056,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Hunter,Sego,LONG,24
23261057,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Andy,Hunt,ATT,1
23261058,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Andy,Hunt,YDS,14
23261059,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Andy,Hunt,TD,0
23261060,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Andy,Hunt,LONG,14
23261061,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Nick,Delgado,ATT,4
23261062,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Nick,Delgado,YDS,9
23261063,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Nick,Delgado,TD,0
23261064,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Nick,Delgado,LONG,5
23261065,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Ramon,Lopez,ATT,2
23261066,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Ramon,Lopez,YDS,1
23261067,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Ramon,Lopez,TD,0
23261068,9/10/2016,D-III,DePauw,Mt. St. Joseph,RUSHING,Ramon,Lopez,LONG,3
23261069,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Hunt,CP-ATT-INT,31-46-1
23261070,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Hunt,YDS,327
23261071,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Hunt,TD,3
23261072,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Hunt,LONG,40
23261073,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Jake,Lasky,CP-ATT-INT,0-1-0
23261074,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Jake,Lasky,YDS,0
23261075,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Jake,Lasky,TD,0
23261076,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Jake,Lasky,LONG,0
23261077,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Labus,CP-ATT-INT,0-1-0
23261078,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Labus,YDS,0
23261079,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Labus,TD,0
23261080,9/10/2016,D-III,DePauw,Mt. St. Joseph,PASSING,Matt,Labus,LONG,0
23261081,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Andy,Hunt,REC,12
23261082,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Andy,Hunt,YDS,131
23261083,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Andy,Hunt,TD,0
23261084,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Andy,Hunt,LONG,40
23261085,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Ian,Good,REC,4
23261086,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Ian,Good,YDS,68
23261087,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Ian,Good,TD,1
23261088,9/10/2016,D-III,DePauw,Mt. St. Joseph,RECEIVING,Ian,Good,LONG,34
