ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23339001,9/17/2016,D-III,Capital,Muskingum,RUSHING,Cory,Heeter,ATT,20
23339002,9/17/2016,D-III,Capital,Muskingum,RUSHING,Cory,Heeter,YDS,87
23339003,9/17/2016,D-III,Capital,Muskingum,RUSHING,Cory,Heeter,TD,3
23339004,9/17/2016,D-III,Capital,Muskingum,RUSHING,Cory,Heeter,LONG,24
23339005,9/17/2016,D-III,Capital,Muskingum,RUSHING,Thomas,Wibbeler,ATT,4
23339006,9/17/2016,D-III,Capital,Muskingum,RUSHING,Thomas,Wibbeler,YDS,25
23339007,9/17/2016,D-III,Capital,Muskingum,RUSHING,Thomas,Wibbeler,TD,0
23339008,9/17/2016,D-III,Capital,Muskingum,RUSHING,Thomas,Wibbeler,LONG,9
23339009,9/17/2016,D-III,Capital,Muskingum,RUSHING,Isaiah,Lyle,ATT,3
23339010,9/17/2016,D-III,Capital,Muskingum,RUSHING,Isaiah,Lyle,YDS,25
23339011,9/17/2016,D-III,Capital,Muskingum,RUSHING,Isaiah,Lyle,TD,0
23339012,9/17/2016,D-III,Capital,Muskingum,RUSHING,Isaiah,Lyle,LONG,18
23339013,9/17/2016,D-III,Capital,Muskingum,RUSHING,Christian,Peach,ATT,2
23339014,9/17/2016,D-III,Capital,Muskingum,RUSHING,Christian,Peach,YDS,11
23339015,9/17/2016,D-III,Capital,Muskingum,RUSHING,Christian,Peach,TD,0
23339016,9/17/2016,D-III,Capital,Muskingum,RUSHING,Christian,Peach,LONG,6
23339017,9/17/2016,D-III,Capital,Muskingum,RUSHING,Keegan,Irwin,ATT,1
23339018,9/17/2016,D-III,Capital,Muskingum,RUSHING,Keegan,Irwin,YDS,3
23339019,9/17/2016,D-III,Capital,Muskingum,RUSHING,Keegan,Irwin,TD,0
23339020,9/17/2016,D-III,Capital,Muskingum,RUSHING,Keegan,Irwin,LONG,3
23339021,9/17/2016,D-III,Capital,Muskingum,RUSHING,Nick,Waters,ATT,3
23339022,9/17/2016,D-III,Capital,Muskingum,RUSHING,Nick,Waters,YDS,1
23339023,9/17/2016,D-III,Capital,Muskingum,RUSHING,Nick,Waters,TD,0
23339024,9/17/2016,D-III,Capital,Muskingum,RUSHING,Nick,Waters,LONG,5
23339025,9/17/2016,D-III,Capital,Muskingum,RUSHING,,Team,ATT,1
23339026,9/17/2016,D-III,Capital,Muskingum,RUSHING,,Team,YDS,-1
23339027,9/17/2016,D-III,Capital,Muskingum,RUSHING,,Team,TD,0
23339028,9/17/2016,D-III,Capital,Muskingum,RUSHING,,Team,LONG,0
23339029,9/17/2016,D-III,Capital,Muskingum,PASSING,Thomas,Wibbeler,CP-ATT-INT,16-33-0
23339030,9/17/2016,D-III,Capital,Muskingum,PASSING,Thomas,Wibbeler,YDS,261
23339031,9/17/2016,D-III,Capital,Muskingum,PASSING,Thomas,Wibbeler,TD,2
23339032,9/17/2016,D-III,Capital,Muskingum,PASSING,Thomas,Wibbeler,LONG,51
23339033,9/17/2016,D-III,Capital,Muskingum,RECEIVING,David,Barnett,REC,5
23339034,9/17/2016,D-III,Capital,Muskingum,RECEIVING,David,Barnett,YDS,96
23339035,9/17/2016,D-III,Capital,Muskingum,RECEIVING,David,Barnett,TD,1
23339036,9/17/2016,D-III,Capital,Muskingum,RECEIVING,David,Barnett,LONG,39
23339037,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Nick,Waters,REC,5
23339038,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Nick,Waters,YDS,72
23339039,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Nick,Waters,TD,0
23339040,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Nick,Waters,LONG,34
23339041,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Trey,Reese,REC,1
23339042,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Trey,Reese,YDS,51
23339043,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Trey,Reese,TD,0
23339044,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Trey,Reese,LONG,51
23339045,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Cory,Heeter,REC,2
23339046,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Cory,Heeter,YDS,31
23339047,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Cory,Heeter,TD,0
23339048,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Cory,Heeter,LONG,24
23339049,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Chase,Longwell,REC,1
23339050,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Chase,Longwell,YDS,6
23339051,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Chase,Longwell,TD,1
23339052,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Chase,Longwell,LONG,6
23339053,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Tyler,O'keefe,REC,1
23339054,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Tyler,O'keefe,YDS,5
23339055,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Tyler,O'keefe,TD,0
23339056,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Tyler,O'keefe,LONG,5
23339057,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Hunter,Smith,REC,1
23339058,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Hunter,Smith,YDS,0
23339059,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Hunter,Smith,TD,0
23339060,9/17/2016,D-III,Capital,Muskingum,RECEIVING,Hunter,Smith,LONG,0
23339061,9/17/2016,D-III,Capital,Muskingum,PUNTING,Wyatt,Pertuset,NO,4
23339062,9/17/2016,D-III,Capital,Muskingum,PUNTING,Wyatt,Pertuset,YDS,134
23339063,9/17/2016,D-III,Capital,Muskingum,PUNTING,Wyatt,Pertuset,AVG,33.5
23339064,9/17/2016,D-III,Capital,Muskingum,PUNTING,Wyatt,Pertuset,LONG,38
23339065,9/17/2016,D-III,Capital,Muskingum,PUNT RETURNS,Nick,Waters,NO,1
23339066,9/17/2016,D-III,Capital,Muskingum,PUNT RETURNS,Nick,Waters,YDS,20
23339067,9/17/2016,D-III,Capital,Muskingum,PUNT RETURNS,Nick,Waters,AVG,20.0
23339068,9/17/2016,D-III,Capital,Muskingum,PUNT RETURNS,Nick,Waters,LONG,20
23339069,9/17/2016,D-III,Capital,Muskingum,KICK RETURNS,Nick,Waters,NO,3
23339070,9/17/2016,D-III,Capital,Muskingum,KICK RETURNS,Nick,Waters,YDS,106
23339071,9/17/2016,D-III,Capital,Muskingum,KICK RETURNS,Nick,Waters,AVG,35.3
23339072,9/17/2016,D-III,Capital,Muskingum,KICK RETURNS,Nick,Waters,LONG,41
23339073,9/17/2016,D-III,Muskingum,Capital,RUSHING,Jordan,Scanlon,ATT,11
23339074,9/17/2016,D-III,Muskingum,Capital,RUSHING,Jordan,Scanlon,YDS,44
23339075,9/17/2016,D-III,Muskingum,Capital,RUSHING,Jordan,Scanlon,TD,0
23339076,9/17/2016,D-III,Muskingum,Capital,RUSHING,Jordan,Scanlon,LONG,12
23339077,9/17/2016,D-III,Muskingum,Capital,RUSHING,,Team,ATT,4
23339078,9/17/2016,D-III,Muskingum,Capital,RUSHING,,Team,YDS,17
23339079,9/17/2016,D-III,Muskingum,Capital,RUSHING,,Team,TD,0
23339080,9/17/2016,D-III,Muskingum,Capital,RUSHING,,Team,LONG,7
23339081,9/17/2016,D-III,Muskingum,Capital,RUSHING,Grffin,Degener,ATT,11
23339082,9/17/2016,D-III,Muskingum,Capital,RUSHING,Grffin,Degener,YDS,13
23339083,9/17/2016,D-III,Muskingum,Capital,RUSHING,Grffin,Degener,TD,0
23339084,9/17/2016,D-III,Muskingum,Capital,RUSHING,Grffin,Degener,LONG,8
23339085,9/17/2016,D-III,Muskingum,Capital,RUSHING,Damon,Jones,ATT,2
23339086,9/17/2016,D-III,Muskingum,Capital,RUSHING,Damon,Jones,YDS,10
23339087,9/17/2016,D-III,Muskingum,Capital,RUSHING,Damon,Jones,TD,0
23339088,9/17/2016,D-III,Muskingum,Capital,RUSHING,Damon,Jones,LONG,6
23339089,9/17/2016,D-III,Muskingum,Capital,RUSHING,Warren,Wilson,ATT,2
23339090,9/17/2016,D-III,Muskingum,Capital,RUSHING,Warren,Wilson,YDS,1
23339091,9/17/2016,D-III,Muskingum,Capital,RUSHING,Warren,Wilson,TD,0
23339092,9/17/2016,D-III,Muskingum,Capital,RUSHING,Warren,Wilson,LONG,2
23339093,9/17/2016,D-III,Muskingum,Capital,RUSHING,Eric,Harris,ATT,1
23339094,9/17/2016,D-III,Muskingum,Capital,RUSHING,Eric,Harris,YDS,-1
23339095,9/17/2016,D-III,Muskingum,Capital,RUSHING,Eric,Harris,TD,0
23339096,9/17/2016,D-III,Muskingum,Capital,RUSHING,Eric,Harris,LONG,0
23339097,9/17/2016,D-III,Muskingum,Capital,RUSHING,D,Granstaff,ATT,1
