ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23432001,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tyler,Balla,ATT,6
23432002,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tyler,Balla,YDS,11
23432003,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tyler,Balla,TD,0
23432004,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tyler,Balla,LONG,5
23432005,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Brandon,Sellers,ATT,2
23432006,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Brandon,Sellers,YDS,7
23432007,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Brandon,Sellers,TD,0
23432008,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Brandon,Sellers,LONG,7
23432009,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,,Team,ATT,2
23432010,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,,Team,YDS,5
23432011,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,,Team,TD,0
23432012,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,,Team,LONG,3
23432013,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Alex,Victor,ATT,1
23432014,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Alex,Victor,YDS,3
23432015,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Alex,Victor,TD,0
23432016,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Alex,Victor,LONG,3
23432017,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tonye,Hamilton,ATT,2
23432018,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tonye,Hamilton,YDS,0
23432019,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tonye,Hamilton,TD,0
23432020,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Tonye,Hamilton,LONG,2
23432021,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Logan,Lee,ATT,11
23432022,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Logan,Lee,YDS,-25
23432023,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Logan,Lee,TD,0
23432024,9/24/2016,D-III,Allegheny,Kenyon,RUSHING,Logan,Lee,LONG,10
23432025,9/24/2016,D-III,Allegheny,Kenyon,PASSING,Logan,Lee,CP-ATT-INT,14-28-0
23432026,9/24/2016,D-III,Allegheny,Kenyon,PASSING,Logan,Lee,YDS,174
23432027,9/24/2016,D-III,Allegheny,Kenyon,PASSING,Logan,Lee,TD,1
23432028,9/24/2016,D-III,Allegheny,Kenyon,PASSING,Logan,Lee,LONG,85
23432029,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alex,Victor,REC,1
23432030,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alex,Victor,YDS,85
23432031,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alex,Victor,TD,1
23432032,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alex,Victor,LONG,85
23432033,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,John,Mcfarland,REC,7
23432034,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,John,Mcfarland,YDS,45
23432035,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,John,Mcfarland,TD,0
23432036,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,John,Mcfarland,LONG,11
23432037,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Ben,Bachik,REC,2
23432038,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Ben,Bachik,YDS,21
23432039,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Ben,Bachik,TD,0
23432040,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Ben,Bachik,LONG,13
23432041,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Thomas,jr,REC,1
23432042,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Thomas,jr,YDS,13
23432043,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Thomas,jr,TD,0
23432044,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Thomas,jr,LONG,13
23432045,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tonye,Hamilton,REC,1
23432046,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tonye,Hamilton,YDS,7
23432047,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tonye,Hamilton,TD,0
23432048,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tonye,Hamilton,LONG,7
23432049,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alec,Hutchin,REC,1
23432050,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alec,Hutchin,YDS,5
23432051,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alec,Hutchin,TD,0
23432052,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Alec,Hutchin,LONG,5
23432053,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tyler,Balla,REC,1
23432054,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tyler,Balla,YDS,-2
23432055,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tyler,Balla,TD,0
23432056,9/24/2016,D-III,Allegheny,Kenyon,RECEIVING,Tyler,Balla,LONG,0
23432057,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,,Team,NO,9
23432058,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,,Team,YDS,334
23432059,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,,Team,AVG,37.1
23432060,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,,Team,LONG,50
23432061,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,Logan,Lee,NO,1
23432062,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,Logan,Lee,YDS,38
23432063,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,Logan,Lee,AVG,38.0
23432064,9/24/2016,D-III,Allegheny,Kenyon,PUNTING,Logan,Lee,LONG,38
23432065,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Tristan,Rhoades,NO,1
23432066,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Tristan,Rhoades,YDS,10
23432067,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Tristan,Rhoades,AVG,10.0
23432068,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Tristan,Rhoades,LONG,10
23432069,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Alex,Victor,NO,2
23432070,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Alex,Victor,YDS,55
23432071,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Alex,Victor,AVG,27.5
23432072,9/24/2016,D-III,Allegheny,Kenyon,PUNT RETURNS,Alex,Victor,LONG,53
23432073,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Tyler,Balla,NO,4
23432074,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Tyler,Balla,YDS,74
23432075,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Tyler,Balla,AVG,18.5
23432076,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Tyler,Balla,LONG,20
23432077,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Cole,Morris,NO,2
23432078,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Cole,Morris,YDS,37
23432079,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Cole,Morris,AVG,18.5
23432080,9/24/2016,D-III,Allegheny,Kenyon,KICK RETURNS,Cole,Morris,LONG,20
23432081,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Nat,Henry,ATT,25
23432082,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Nat,Henry,YDS,73
23432083,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Nat,Henry,TD,2
23432084,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Nat,Henry,LONG,14
23432085,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Brian,Hunca,ATT,1
23432086,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Brian,Hunca,YDS,9
23432087,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Brian,Hunca,TD,0
23432088,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,Brian,Hunca,LONG,9
23432089,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,John,Clark,ATT,5
23432090,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,John,Clark,YDS,6
23432091,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,John,Clark,TD,0
23432092,9/24/2016,D-III,Kenyon,Allegheny,RUSHING,John,Clark,LONG,5
