ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23107001,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Michael,Frye,ATT,13
23107002,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Michael,Frye,YDS,81
23107003,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Michael,Frye,TD,1
23107004,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Michael,Frye,LONG,25
23107005,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Lakeith,Hopkins,ATT,5
23107006,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Lakeith,Hopkins,YDS,68
23107007,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Lakeith,Hopkins,TD,0
23107008,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Lakeith,Hopkins,LONG,34
23107009,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Seth,Hanson,ATT,10
23107010,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Seth,Hanson,YDS,43
23107011,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Seth,Hanson,TD,1
23107012,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Seth,Hanson,LONG,16
23107013,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,John,Harris,ATT,6
23107014,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,John,Harris,YDS,37
23107015,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,John,Harris,TD,0
23107016,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,John,Harris,LONG,16
23107017,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Keenan,Galeai,ATT,4
23107018,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Keenan,Galeai,YDS,34
23107019,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Keenan,Galeai,TD,1
23107020,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Keenan,Galeai,LONG,21
23107021,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shawn,Honeycutt,ATT,17
23107022,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shawn,Honeycutt,YDS,34
23107023,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shawn,Honeycutt,TD,1
23107024,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shawn,Honeycutt,LONG,10
23107025,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shay,Reid,ATT,8
23107026,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shay,Reid,YDS,29
23107027,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shay,Reid,TD,0
23107028,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Shay,Reid,LONG,14
23107029,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Simi,Moala,ATT,1
23107030,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Simi,Moala,YDS,11
23107031,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Simi,Moala,TD,0
23107032,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Simi,Moala,LONG,11
23107033,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Ty,Jones,ATT,1
23107034,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Ty,Jones,YDS,7
23107035,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Ty,Jones,TD,0
23107036,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Ty,Jones,LONG,7
23107037,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,,Team,ATT,2
23107038,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,,Team,YDS,-1
23107039,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,,Team,TD,0
23107040,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,,Team,LONG,0
23107041,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Morgan,Smith,ATT,1
23107042,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Morgan,Smith,YDS,-7
23107043,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Morgan,Smith,TD,0
23107044,9/3/2016,D-III,Southern Virginia,Earlham,RUSHING,Morgan,Smith,LONG,3
23107045,9/3/2016,D-III,Southern Virginia,Earlham,PASSING,Shawn,Honeycutt,CP-ATT-INT,1-6-0
23107046,9/3/2016,D-III,Southern Virginia,Earlham,PASSING,Shawn,Honeycutt,YDS,39
23107047,9/3/2016,D-III,Southern Virginia,Earlham,PASSING,Shawn,Honeycutt,TD,0
23107048,9/3/2016,D-III,Southern Virginia,Earlham,PASSING,Shawn,Honeycutt,LONG,39
23107049,9/3/2016,D-III,Southern Virginia,Earlham,RECEIVING,Michael,Carroll,REC,1
23107050,9/3/2016,D-III,Southern Virginia,Earlham,RECEIVING,Michael,Carroll,YDS,39
23107051,9/3/2016,D-III,Southern Virginia,Earlham,RECEIVING,Michael,Carroll,TD,0
23107052,9/3/2016,D-III,Southern Virginia,Earlham,RECEIVING,Michael,Carroll,LONG,39
23107053,9/3/2016,D-III,Southern Virginia,Earlham,PUNTING,Simi,Moala,NO,3
23107054,9/3/2016,D-III,Southern Virginia,Earlham,PUNTING,Simi,Moala,YDS,103
23107055,9/3/2016,D-III,Southern Virginia,Earlham,PUNTING,Simi,Moala,AVG,34.3
23107056,9/3/2016,D-III,Southern Virginia,Earlham,PUNTING,Simi,Moala,LONG,43
23107057,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Shay,Reid,NO,1
23107058,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Shay,Reid,YDS,20
23107059,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Shay,Reid,AVG,20.0
23107060,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Shay,Reid,LONG,20
23107061,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Morgan,Smith,NO,2
23107062,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Morgan,Smith,YDS,29
23107063,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Morgan,Smith,AVG,14.5
23107064,9/3/2016,D-III,Southern Virginia,Earlham,PUNT RETURNS,Morgan,Smith,LONG,15
23107065,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,John,Harris,NO,1
23107066,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,John,Harris,YDS,21
23107067,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,John,Harris,AVG,21.0
23107068,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,John,Harris,LONG,21
23107069,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,Adam,Davis,NO,2
23107070,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,Adam,Davis,YDS,47
23107071,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,Adam,Davis,AVG,23.5
23107072,9/3/2016,D-III,Southern Virginia,Earlham,KICK RETURNS,Adam,Davis,LONG,24
23107073,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,T,Anderson,ATT,9
23107074,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,T,Anderson,YDS,10
23107075,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,T,Anderson,TD,0
23107076,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,T,Anderson,LONG,17
23107077,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Malik,Reid,ATT,6
23107078,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Malik,Reid,YDS,8
23107079,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Malik,Reid,TD,0
23107080,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Malik,Reid,LONG,6
23107081,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Wes,Hundley,ATT,7
23107082,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Wes,Hundley,YDS,1
23107083,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Wes,Hundley,TD,0
23107084,9/3/2016,D-III,Earlham,Southern Virginia,RUSHING,Wes,Hundley,LONG,11
23107085,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,T,Anderson,CP-ATT-INT,10-24-3
23107086,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,T,Anderson,YDS,150
23107087,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,T,Anderson,TD,2
23107088,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,T,Anderson,LONG,37
23107089,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,Wes,Hundley,CP-ATT-INT,2-8-1
23107090,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,Wes,Hundley,YDS,40
23107091,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,Wes,Hundley,TD,0
23107092,9/3/2016,D-III,Earlham,Southern Virginia,PASSING,Wes,Hundley,LONG,29
