ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
23181001,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Richie,Phillips,ATT,15
23181002,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Richie,Phillips,YDS,100
23181003,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Richie,Phillips,TD,3
23181004,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Richie,Phillips,LONG,32
23181005,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Kenny,Pierce,ATT,9
23181006,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Kenny,Pierce,YDS,31
23181007,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Kenny,Pierce,TD,0
23181008,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Kenny,Pierce,LONG,11
23181009,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,A,Decarteret,ATT,6
23181010,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,A,Decarteret,YDS,19
23181011,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,A,Decarteret,TD,0
23181012,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,A,Decarteret,LONG,5
23181013,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Chris,Haggerty,ATT,5
23181014,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Chris,Haggerty,YDS,9
23181015,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Chris,Haggerty,TD,0
23181016,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Chris,Haggerty,LONG,6
23181017,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Shane,Haggerty,ATT,2
23181018,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Shane,Haggerty,YDS,2
23181019,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Shane,Haggerty,TD,0
23181020,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,Shane,Haggerty,LONG,4
23181021,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,,Team,ATT,1
23181022,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,,Team,YDS,-2
23181023,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,,Team,TD,0
23181024,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RUSHING,,Team,LONG,0
23181025,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,PASSING,Chris,Haggerty,CP-ATT-INT,16-30-2
23181026,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,PASSING,Chris,Haggerty,YDS,229
23181027,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,PASSING,Chris,Haggerty,TD,1
23181028,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,PASSING,Chris,Haggerty,LONG,83
23181029,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Paul,Sances,REC,4
23181030,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Paul,Sances,YDS,118
23181031,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Paul,Sances,TD,1
23181032,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Paul,Sances,LONG,83
23181033,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Shane,Haggerty,REC,6
23181034,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Shane,Haggerty,YDS,55
23181035,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Shane,Haggerty,TD,0
23181036,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Shane,Haggerty,LONG,14
23181037,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Richie,Phillips,REC,2
23181038,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Richie,Phillips,YDS,22
23181039,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Richie,Phillips,TD,0
23181040,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Richie,Phillips,LONG,25
23181041,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Kenny,Pierce,REC,2
23181042,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Kenny,Pierce,YDS,18
23181043,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Kenny,Pierce,TD,0
23181044,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Kenny,Pierce,LONG,9
23181045,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Derek,Stegman,REC,1
23181046,9/9/2016,D-III,Mass. Maritime,SUNY Maritime,RECEIVING,Derek,Stegman,YDS,10
