ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25258001,10/28/2017,D-III,Trine,Adrian,RUSHING,Lamar,Carswell,ATT,19
25258002,10/28/2017,D-III,Trine,Adrian,RUSHING,Lamar,Carswell,YDS,205
25258003,10/28/2017,D-III,Trine,Adrian,RUSHING,Lamar,Carswell,TD,3
25258004,10/28/2017,D-III,Trine,Adrian,RUSHING,Lamar,Carswell,LONG,90
25258005,10/28/2017,D-III,Trine,Adrian,RUSHING,Evan,Wyse,ATT,17
25258006,10/28/2017,D-III,Trine,Adrian,RUSHING,Evan,Wyse,YDS,150
25258007,10/28/2017,D-III,Trine,Adrian,RUSHING,Evan,Wyse,TD,1
25258008,10/28/2017,D-III,Trine,Adrian,RUSHING,Evan,Wyse,LONG,35
25258009,10/28/2017,D-III,Trine,Adrian,RUSHING,Seth,Boggs,ATT,5
25258010,10/28/2017,D-III,Trine,Adrian,RUSHING,Seth,Boggs,YDS,31
25258011,10/28/2017,D-III,Trine,Adrian,RUSHING,Seth,Boggs,TD,1
25258012,10/28/2017,D-III,Trine,Adrian,RUSHING,Seth,Boggs,LONG,16
25258013,10/28/2017,D-III,Trine,Adrian,RUSHING,Jeffery,Barnett,ATT,1
25258014,10/28/2017,D-III,Trine,Adrian,RUSHING,Jeffery,Barnett,YDS,20
25258015,10/28/2017,D-III,Trine,Adrian,RUSHING,Jeffery,Barnett,TD,0
25258016,10/28/2017,D-III,Trine,Adrian,RUSHING,Jeffery,Barnett,LONG,20
25258017,10/28/2017,D-III,Trine,Adrian,RUSHING,Mark,Wilson,ATT,1
25258018,10/28/2017,D-III,Trine,Adrian,RUSHING,Mark,Wilson,YDS,12
25258019,10/28/2017,D-III,Trine,Adrian,RUSHING,Mark,Wilson,TD,0
25258020,10/28/2017,D-III,Trine,Adrian,RUSHING,Mark,Wilson,LONG,12
25258021,10/28/2017,D-III,Trine,Adrian,RUSHING,Nishawn,Jones,ATT,3
25258022,10/28/2017,D-III,Trine,Adrian,RUSHING,Nishawn,Jones,YDS,1
25258023,10/28/2017,D-III,Trine,Adrian,RUSHING,Nishawn,Jones,TD,0
25258024,10/28/2017,D-III,Trine,Adrian,RUSHING,Nishawn,Jones,LONG,6
25258025,10/28/2017,D-III,Trine,Adrian,PASSING,Evan,Wyse,CP-ATT-INT,9-14-0
