ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25584001,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Vic,Jerald,ATT,15
25584002,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Vic,Jerald,YDS,56
25584003,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Vic,Jerald,TD,0
25584004,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Vic,Jerald,LONG,11
25584005,11/18/2017,D-III,Huntingdon,Berry,RUSHING,,Team,ATT,14
25584006,11/18/2017,D-III,Huntingdon,Berry,RUSHING,,Team,YDS,40
25584007,11/18/2017,D-III,Huntingdon,Berry,RUSHING,,Team,TD,1
25584008,11/18/2017,D-III,Huntingdon,Berry,RUSHING,,Team,LONG,15
25584009,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Eric,Thomas,ATT,6
25584010,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Eric,Thomas,YDS,12
25584011,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Eric,Thomas,TD,0
25584012,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Eric,Thomas,LONG,7
25584013,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Kobe,Smith,ATT,2
25584014,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Kobe,Smith,YDS,1
25584015,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Kobe,Smith,TD,0
25584016,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Kobe,Smith,LONG,1
25584017,11/18/2017,D-III,Huntingdon,Berry,RUSHING,P.,Samoden,ATT,1
25584018,11/18/2017,D-III,Huntingdon,Berry,RUSHING,P.,Samoden,YDS,-7
25584019,11/18/2017,D-III,Huntingdon,Berry,RUSHING,P.,Samoden,TD,0
25584020,11/18/2017,D-III,Huntingdon,Berry,RUSHING,P.,Samoden,LONG,0
25584021,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Michael,Lambert,ATT,7
25584022,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Michael,Lambert,YDS,-42
25584023,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Michael,Lambert,TD,0
25584024,11/18/2017,D-III,Huntingdon,Berry,RUSHING,Michael,Lambert,LONG,3
25584025,11/18/2017,D-III,Huntingdon,Berry,PASSING,Michael,Lambert,CP-ATT-INT,7-16-0
25584026,11/18/2017,D-III,Huntingdon,Berry,PASSING,Michael,Lambert,YDS,117
25584027,11/18/2017,D-III,Huntingdon,Berry,PASSING,Michael,Lambert,TD,1
25584028,11/18/2017,D-III,Huntingdon,Berry,PASSING,Michael,Lambert,LONG,39
25584029,11/18/2017,D-III,Huntingdon,Berry,PASSING,P.,Samoden,CP-ATT-INT,2-9-0
25584030,11/18/2017,D-III,Huntingdon,Berry,PASSING,P.,Samoden,YDS,37
25584031,11/18/2017,D-III,Huntingdon,Berry,PASSING,P.,Samoden,TD,0
25584032,11/18/2017,D-III,Huntingdon,Berry,PASSING,P.,Samoden,LONG,28
25584033,11/18/2017,D-III,Huntingdon,Berry,RECEIVING,Otis,Porter,REC,6
25584034,11/18/2017,D-III,Huntingdon,Berry,RECEIVING,Otis,Porter,YDS,77
25584035,11/18/2017,D-III,Huntingdon,Berry,RECEIVING,Otis,Porter,TD,1
25584036,11/18/2017,D-III,Huntingdon,Berry,RECEIVING,Otis,Porter,LONG,39
25584037,11/18/2017,D-III,Huntingdon,Berry,RECEIVING,C.J.,Pugh,REC,1
