ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
25604001,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Lodico,",Zane,ATT,18
25604002,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Lodico,",Zane,YDS,64
25604003,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Lodico,",Zane,TD,2
25604004,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Lodico,",Zane,LONG,14
25604005,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Muoghalu,",Dominick,ATT,14
25604006,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Muoghalu,",Dominick,YDS,59
25604007,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Muoghalu,",Dominick,TD,0
25604008,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Muoghalu,",Dominick,LONG,18
25604009,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Beesley,",Jake,ATT,3
25604010,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Beesley,",Jake,YDS,7
25604011,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Beesley,",Jake,TD,0
25604012,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Beesley,",Jake,LONG,9
25604013,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Rutter,",Broc,ATT,5
25604014,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Rutter,",Broc,YDS,-7
25604015,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Rutter,",Broc,TD,0
25604016,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RUSHING,"Rutter,",Broc,LONG,3
25604017,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PASSING,"Rutter,",Broc,CP-ATT-INT,20-37-1
25604018,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PASSING,"Rutter,",Broc,YDS,238
25604019,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PASSING,"Rutter,",Broc,TD,1
25604020,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PASSING,"Rutter,",Broc,LONG,38
25604021,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Sfikas,",Michael,REC,9
25604022,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Sfikas,",Michael,YDS,131
25604023,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Sfikas,",Michael,TD,1
25604024,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Sfikas,",Michael,LONG,38
25604025,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Kamienski,",Andrew,REC,8
25604026,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Kamienski,",Andrew,YDS,82
25604027,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Kamienski,",Andrew,TD,0
25604028,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Kamienski,",Andrew,LONG,18
25604029,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Beesley,",Jake,REC,1
25604030,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Beesley,",Jake,YDS,12
25604031,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Beesley,",Jake,TD,0
25604032,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Beesley,",Jake,LONG,12
25604033,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Hartema,",Cory,REC,1
25604034,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Hartema,",Cory,YDS,8
25604035,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Hartema,",Cory,TD,0
25604036,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Hartema,",Cory,LONG,8
25604037,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Dennis,",Jalen,REC,1
25604038,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Dennis,",Jalen,YDS,5
25604039,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Dennis,",Jalen,TD,0
25604040,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,RECEIVING,"Dennis,",Jalen,LONG,5
25604041,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PUNTING,"Lodico,",Zane,NO,6
25604042,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PUNTING,"Lodico,",Zane,YDS,207
25604043,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PUNTING,"Lodico,",Zane,AVG,34.5
25604044,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,PUNTING,"Lodico,",Zane,LONG,43
25604045,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Oakley,",Tyler,NO,1
25604046,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Oakley,",Tyler,YDS,32
25604047,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Oakley,",Tyler,AVG,32.0
25604048,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Oakley,",Tyler,LONG,32
25604049,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Kamienski,",Andrew,NO,1
25604050,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Kamienski,",Andrew,YDS,13
25604051,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Kamienski,",Andrew,AVG,13.0
25604052,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Kamienski,",Andrew,LONG,13
25604053,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Lodico,",Zane,NO,2
25604054,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Lodico,",Zane,YDS,36
25604055,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Lodico,",Zane,AVG,18.0
25604056,11/25/2017,D-III,N. Central (Ill.),Wis.-Oshkosh,KICK RETURNS,"Lodico,",Zane,LONG,22
25604057,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dylan,Hecker,ATT,14
25604058,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dylan,Hecker,YDS,113
25604059,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dylan,Hecker,TD,0
25604060,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dylan,Hecker,LONG,47
25604061,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dom,Todarello,ATT,3
25604062,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dom,Todarello,YDS,54
25604063,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dom,Todarello,TD,0
25604064,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Dom,Todarello,LONG,47
25604065,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,JP,Peerenboom,ATT,5
25604066,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,JP,Peerenboom,YDS,50
25604067,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,JP,Peerenboom,TD,0
25604068,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,JP,Peerenboom,LONG,29
25604069,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Mitch,Gerhartz,ATT,7
25604070,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Mitch,Gerhartz,YDS,24
25604071,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Mitch,Gerhartz,TD,0
25604072,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Mitch,Gerhartz,LONG,6
25604073,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Brett,Kasper,ATT,2
25604074,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Brett,Kasper,YDS,15
25604075,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Brett,Kasper,TD,0
25604076,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Brett,Kasper,LONG,10
25604077,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Riley,Kallas,ATT,2
25604078,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Riley,Kallas,YDS,12
25604079,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Riley,Kallas,TD,0
25604080,11/25/2017,D-III,Wis.-Oshkosh,N. Central (Ill.),RUSHING,Riley,Kallas,LONG,8
